hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-SynWH7803_0240	CT971583.1	240	795	UG35__UvrD	2.9000000000000002e-65	218.0	0.453	0.497	102	496
gene-SynWH7803_0240	CT971583.1	240	795	Gabija__GajB_2	1.4999999999999999e-97	324.8	0.772	0.87	6	697
gene-SynWH7803_0263	CT971583.1	263	407	Veles__VlsB1	7.3e-124	410.8	0.959	0.929	15	392
gene-SynWH7803_0263	CT971583.1	263	407	Veles__VlsB2	8.399999999999999e-125	413.9	0.921	0.926	15	391
gene-SynWH7803_0448	CT971583.1	448	381	CBASS__AG_E1_ThiF	1.5e-57	192.0	0.98	0.614	12	245
gene-SynWH7803_0475	CT971583.1	475	159	Veles__VlsC2	3.2e-34	115.3	0.953	0.95	5	155
gene-SynWH7803_0475	CT971583.1	475	159	Veles__VlsC1	8.1e-35	117.3	0.973	0.975	1	155
gene-SynWH7803_0510	CT971583.1	510	220	ShosTA__ShosT	1.2e-08	32.2	0.481	0.555	84	205
gene-SynWH7803_0523	CT971583.1	523	368	PsyrTA__PsyrA	2.8e-21	73.1	0.447	0.505	101	286
gene-SynWH7803_0523	CT971583.1	523	368	ShosTA__ShosA	7.2e-48	160.4	0.667	0.552	84	286
gene-SynWH7803_0542	CT971583.1	542	495	PsyrTA__PsyrT	2.9e-86	287.3	0.495	0.677	6	340
gene-SynWH7803_0658	CT971583.1	658	252	Dpd__FolE	9.400000000000001e-30	100.8	0.983	0.71	66	244
gene-SynWH7803_0748	CT971583.1	748	722	Dodola__DolB	2.4e-25	86.6	0.661	0.391	412	693
gene-SynWH7803_0831	CT971583.1	831	150	Veles__VlsC2	1.2e-14	51.8	0.879	0.953	4	146
gene-SynWH7803_0831	CT971583.1	831	150	Veles__VlsC1	2.7e-15	54.0	0.892	0.973	1	146
gene-SynWH7803_1043	CT971583.1	1043	272	DEDDh_I_II_III_IV_V_VI_1	1.1e-24	84.6	1.0	0.57	45	199
gene-SynWH7803_1073	CT971583.1	1073	693	UG6__DnaG	3.6e-26	89.1	0.838	0.43	38	335
gene-SynWH7803_1188	CT971583.1	1188	796	BREX__brxHI	6.1e-50	167.5	0.75	0.686	2	547
gene-SynWH7803_1238	CT971583.1	1238	633	RM_Type_II__Type_II_REase06	4e-12	43.6	0.688	0.613	15	402
gene-SynWH7803_1263	CT971583.1	1263	393	Dnd__DndA	1.4e-80	268.3	0.984	0.957	9	384
gene-SynWH7803_1508	CT971583.1	1508	1229	Gabija__GajB_2	2.9e-33	112.5	0.523	0.389	400	877
gene-SynWH7803_1535	CT971583.1	1535	844	Dodola__DolB	3.2e-22	76.3	0.432	0.207	508	682
gene-SynWH7803_1553	CT971583.1	1553	331	narp1_adps	4e-62	207.2	0.889	0.837	52	328
gene-SynWH7803_1617	CT971583.1	1617	996	UG9__DNA_pol	2.2999999999999998e-23	80.0	0.719	0.415	569	981
gene-SynWH7803_1676	CT971583.1	1676	103	Retron_IX__HEPN	3.7e-07	27.6	0.675	0.874	2	91
gene-SynWH7803_2007	CT971583.1	2007	438	Eleos__LeoA	5.2e-13	46.0	0.417	0.493	38	253
gene-SynWH7803_2040	CT971583.1	2040	924	Hachiman__HamB	7.3e-48	160.6	0.401	0.423	31	421
gene-SynWH7803_2063	CT971583.1	2063	261	Gao_Qat__QatD	1e-13	48.4	0.965	0.981	3	258
gene-SynWH7803_2124	CT971583.1	2124	1201	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	7.1e-06	21.5	0.57	0.236	750	1033
gene-SynWH7803_2124	CT971583.1	2124	1201	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	6.8e-10	35.8	0.614	0.337	754	1158
gene-SynWH7803_2147	CT971583.1	2147	422	Dnd__DndA	9.999999999999999e-42	140.3	0.61	0.543	34	262
gene-SynWH7803_2159	CT971583.1	2159	467	DISARM__drmC	9.7e-14	48.7	0.521	0.317	290	437
gene-SynWH7803_2212	CT971583.1	2212	306	Dpd__QueD	5.1e-09	33.7	0.783	0.353	161	268
gene-SynWH7803_2311	CT971583.1	2311	392	Dnd__DndA	7.5e-118	390.9	0.979	0.936	17	383
gene-SynWH7803_2377	CT971583.1	2377	921	Dodola__DolB	6e-21	72.1	0.416	0.183	608	776
gene-SynWH7803_2394	CT971583.1	2394	620	Pycsar__AG_cyclase	3e-24	83.0	0.638	0.324	388	588
gene-SynWH7803_2400	CT971583.1	2400	1070	Zorya_TypeI__ZorD	6e-91	303.0	0.458	0.441	575	1046
gene-SynWH7803_2462	CT971583.1	2462	208	Dpd__QueE	2e-12	44.3	0.615	0.63	77	207
gene-SynWH7803_2469	CT971583.1	2469	229	CBASS__QueC	1.7e-17	61.3	0.564	0.498	100	213
gene-SynWH7803_2469	CT971583.1	2469	229	Dpd__QueC	3.2e-38	128.4	0.941	0.921	9	219
