	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
2586	NC_008296.2	RefSeq	gene	1.0	249.0	.	+	.	gene-BSV9_gp1	BSV9_gp1	Gene	protein_coding	BSV9_gp1	gene-BSV9_gp1	late promoter transcriptional regulator	late promoter transcriptional regulator	254	transcription regulation	early	middle
2587	NC_008296.2	RefSeq	gene	246.0	845.0	.	+	.	gene-BSV9_gp2	59	Gene	protein_coding	BSV9_gp2	59	DNA helicase loader	DNA helicase loader	269	DNA, RNA and nucleotide metabolism	early	middle
2588	NC_008296.2	RefSeq	gene	842.0	1177.0	.	+	.	gene-BSV9_gp3	BSV9_gp3	Gene	protein_coding	BSV9_gp3	gene-BSV9_gp3	gp3	hypothetical protein	468	unknown function	early	middle
2589	NC_008296.2	RefSeq	gene	1245.0	2192.0	.	+	.	gene-BSV9_gp4	32	Gene	protein_coding	BSV9_gp4	32	single strand DNA binding protein	single strand DNA binding protein	224	DNA, RNA and nucleotide metabolism	early	middle
2590	NC_008296.2	RefSeq	gene	2189.0	2524.0	.	+	.	gene-BSV9_gp5	BSV9_gp5	Gene	protein_coding	BSV9_gp5	gene-BSV9_gp5	gp5	hypothetical protein	3309	unknown function	early	middle
2591	NC_008296.2	RefSeq	gene	2524.0	3027.0	.	+	.	gene-BSV9_gp6	BSV9_gp6	Gene	protein_coding	BSV9_gp6	gene-BSV9_gp6	2OG-Fe(II) oxygenase	2OG-Fe(II) oxygenase	81	moron, auxiliary metabolic gene and host takeover	early	middle
2592	NC_008296.2	RefSeq	gene	3063.0	3245.0	.	-	.	gene-BSV9_gp7	BSV9_gp7	Gene	protein_coding	BSV9_gp7	gene-BSV9_gp7	gp7	hypothetical protein	628	unknown function	early	middle
2593	NC_008296.2	RefSeq	gene	3235.0	4128.0	.	-	.	gene-BSV9_gp8	BSV9_gp8	Gene	protein_coding	BSV9_gp8	gene-BSV9_gp8	baseplate wedge subunit	baseplate wedge subunit	232	tail	early	late
2594	NC_008296.2	RefSeq	gene	4128.0	5141.0	.	-	.	gene-BSV9_gp9	BSV9_gp9	Gene	protein_coding	BSV9_gp9	gene-BSV9_gp9	baseplate tail tube cap	baseplate tail tube cap	230	tail	middle	late
2595	NC_008296.2	RefSeq	gene	5179.0	5598.0	.	+	.	gene-BSV9_gp10	4	Gene	protein_coding	BSV9_gp10	4	head closure	head closure	218	connector	late	late
2596	NC_008296.2	RefSeq	gene	5600.0	6445.0	.	+	.	gene-BSV9_gp11	BSV9_gp11	Gene	protein_coding	BSV9_gp11	gene-BSV9_gp11	gp11	tail tube	45	tail	early	late
2597	NC_008296.2	RefSeq	gene	6478.0	7200.0	.	+	.	gene-BSV9_gp12	BSV9_gp12	Gene	protein_coding	BSV9_gp12	gene-BSV9_gp12	baseplate hub	baseplate hub	150	tail	late	late
2598	NC_008296.2	RefSeq	gene	7248.0	7391.0	.	+	.	gene-BSV9_gp13	BSV9_gp13	Gene	protein_coding	BSV9_gp13	gene-BSV9_gp13	baseplate hub assembly catalyst	baseplate hub assembly catalyst	634	tail	late	late
2599	NC_008296.2	RefSeq	gene	7388.0	10723.0	.	+	.	gene-BSV9_gp14	BSV9_gp14	Gene	protein_coding	BSV9_gp14	gene-BSV9_gp14	gp14	hypothetical protein	12696	unknown function	middle	late
2600	NC_008296.2	RefSeq	gene	10727.0	13882.0	.	+	.	gene-BSV9_gp15	BSV9_gp15	Gene	protein_coding	BSV9_gp15	gene-BSV9_gp15	gp15	hypothetical protein	13530	unknown function	middle	late
2601	NC_008296.2	RefSeq	gene	13887.0	15290.0	.	+	.	gene-BSV9_gp16	BSV9_gp16	Gene	protein_coding	BSV9_gp16	gene-BSV9_gp16	tail protein	tail protein	350	tail	early	middle
2602	NC_008296.2	RefSeq	gene	15325.0	15537.0	.	+	.	gene-BSV9_gp17	BSV9_gp17	Gene	protein_coding	BSV9_gp17	gene-BSV9_gp17	gp17	hypothetical protein	627	unknown function	early	middle
2603	NC_008296.2	RefSeq	gene	15497.0	15982.0	.	+	.	gene-BSV9_gp18	BSV9_gp18	Gene	protein_coding	BSV9_gp18	gene-BSV9_gp18	CpeT-like antenna protein	CpeT-like antenna protein	488	moron, auxiliary metabolic gene and host takeover	early	middle
2604	NC_008296.2	RefSeq	gene	15973.0	16044.0	.	+	.	gene-BSV9_gt19	BSV9_gt19	Gene	tRNA	BSV9_gt19	gene-BSV9_gt19	tRNA-Val	tRNA-Val	No_PHROG	tRNA	early	middle
2605	NC_008296.2	RefSeq	gene	16124.0	18631.0	.	+	.	gene-BSV9_gp20	BSV9_gp20	Gene	protein_coding	BSV9_gp20	gene-BSV9_gp20	baseplate hub and tail lysozyme	baseplate hub and tail lysozyme	694	tail	early	late
2606	NC_008296.2	RefSeq	gene	18679.0	18873.0	.	+	.	gene-BSV9_gp21	BSV9_gp21	Gene	protein_coding	BSV9_gp21	gene-BSV9_gp21	gp21	hypothetical protein	662	unknown function	early	early
2607	NC_008296.2	RefSeq	gene	18873.0	19103.0	.	+	.	gene-BSV9_gp22	BSV9_gp22	Gene	protein_coding	BSV9_gp22	gene-BSV9_gp22	Phd-like antitoxin	Phd-like antitoxin	375	moron, auxiliary metabolic gene and host takeover	early	early
2608	NC_008296.2	RefSeq	gene	19125.0	19718.0	.	+	.	gene-BSV9_gp23	BSV9_gp23	Gene	protein_coding	BSV9_gp23	gene-BSV9_gp23	DNA endonuclease V	DNA endonuclease V	274	DNA, RNA and nucleotide metabolism	early	middle
2609	NC_008296.2	RefSeq	gene	19728.0	19812.0	.	+	.	gene-BSV9_gt24	BSV9_gt24	Gene	tRNA	BSV9_gt24	gene-BSV9_gt24	tRNA-Leu	tRNA-Leu	No_PHROG	tRNA	early	middle
2610	NC_008296.2	RefSeq	gene	19817.0	20023.0	.	+	.	gene-BSV9_gp25	BSV9_gp25	Gene	protein_coding	BSV9_gp25	gene-BSV9_gp25	gp25	hypothetical protein	741	unknown function	early	middle
2611	NC_008296.2	RefSeq	gene	20001.0	20074.0	.	+	.	gene-BSV9_gt26	BSV9_gt26	Gene	tRNA	BSV9_gt26	gene-BSV9_gt26	tRNA-Thr	tRNA-Thr	No_PHROG	tRNA	early	middle
2612	NC_008296.2	RefSeq	gene	20078.0	20150.0	.	+	.	gene-BSV9_gt27	BSV9_gt27	Gene	tRNA	BSV9_gt27	gene-BSV9_gt27	tRNA-Ala	tRNA-Ala	No_PHROG	tRNA	early	middle
2613	NC_008296.2	RefSeq	gene	20225.0	20297.0	.	+	.	gene-BSV9_gt28	BSV9_gt28	Gene	tRNA	BSV9_gt28	gene-BSV9_gt28	tRNA-Asn	tRNA-Asn	No_PHROG	tRNA	early	middle
2614	NC_008296.2	RefSeq	gene	20485.0	20706.0	.	+	.	gene-BSV9_gp29	BSV9_gp29	Gene	protein_coding	BSV9_gp29	gene-BSV9_gp29	gp29	hypothetical protein	558	unknown function	early	middle
2615	NC_008296.2	RefSeq	gene	20690.0	20926.0	.	+	.	gene-BSV9_gp30	BSV9_gp30	Gene	protein_coding	BSV9_gp30	gene-BSV9_gp30	gp30	hypothetical protein	535	unknown function	early	middle
2616	NC_008296.2	RefSeq	gene	20874.0	21041.0	.	+	.	gene-BSV9_gp31	BSV9_gp31	Gene	protein_coding	BSV9_gp31	gene-BSV9_gp31	gp31	hypothetical protein	7447	unknown function	early	middle
2617	NC_008296.2	RefSeq	gene	21068.0	22396.0	.	+	.	gene-BSV9_gp32	BSV9_gp32	Gene	protein_coding	BSV9_gp32	gene-BSV9_gp32	virion structural protein	virion structural protein	692	head and packaging	early	late
2618	NC_008296.2	RefSeq	gene	22406.0	23911.0	.	+	.	gene-BSV9_gp33	BSV9_gp33	Gene	protein_coding	BSV9_gp33	gene-BSV9_gp33	tail fiber protein	tail fiber protein	693	tail	middle	late
2619	NC_008296.2	RefSeq	gene	23951.0	27904.0	.	+	.	gene-BSV9_gp34	BSV9_gp34	Gene	protein_coding	BSV9_gp34	gene-BSV9_gp34	tail fiber protein	tail fiber protein	529	tail	middle	late
2620	NC_008296.2	RefSeq	gene	27931.0	28848.0	.	+	.	gene-BSV9_gp35	BSV9_gp35	Gene	protein_coding	BSV9_gp35	gene-BSV9_gp35	gp35	hypothetical protein	7459	unknown function	middle	late
2621	NC_008296.2	RefSeq	gene	28855.0	29805.0	.	+	.	gene-BSV9_gp36	BSV9_gp36	Gene	protein_coding	BSV9_gp36	gene-BSV9_gp36	gp36	hypothetical protein	1589	unknown function	middle	late
2622	NC_008296.2	RefSeq	gene	29805.0	30311.0	.	+	.	gene-BSV9_gp37	BSV9_gp37	Gene	protein_coding	BSV9_gp37	gene-BSV9_gp37	gp37	hypothetical protein	No_PHROG	unknown function	early	late
2623	NC_008296.2	RefSeq	gene	30343.0	31143.0	.	+	.	gene-BSV9_gp38	BSV9_gp38	Gene	protein_coding	BSV9_gp38	gene-BSV9_gp38	tail fiber assembly	tail fiber assembly	863	tail	early	middle
2624	NC_008296.2	RefSeq	gene	31149.0	32327.0	.	+	.	gene-BSV9_gp39	BSV9_gp39	Gene	protein_coding	BSV9_gp39	gene-BSV9_gp39	tail fiber assembly	tail fiber assembly	863	tail	early	late
2625	NC_008296.2	RefSeq	gene	32454.0	32948.0	.	+	.	gene-BSV9_gp40	BSV9_gp40	Gene	protein_coding	BSV9_gp40	gene-BSV9_gp40	gp40	hypothetical protein	1787	unknown function	middle	late
2626	NC_008296.2	RefSeq	gene	32965.0	34488.0	.	+	.	gene-BSV9_gp41	BSV9_gp41	Gene	protein_coding	BSV9_gp41	gene-BSV9_gp41	tryptophan halogenase	tryptophan halogenase	2928	other	early	middle
2627	NC_008296.2	RefSeq	gene	34478.0	36070.0	.	+	.	gene-BSV9_gp42	BSV9_gp42	Gene	protein_coding	BSV9_gp42	gene-BSV9_gp42	tryptophan halogenase	tryptophan halogenase	2928	other	early	late
2628	NC_008296.2	RefSeq	gene	36054.0	36842.0	.	+	.	gene-BSV9_gp43	BSV9_gp43	Gene	protein_coding	BSV9_gp43	gene-BSV9_gp43	gp43	hypothetical protein	7084	unknown function	early	middle
2629	NC_008296.2	RefSeq	gene	36839.0	37060.0	.	+	.	gene-BSV9_gp44	BSV9_gp44	Gene	protein_coding	BSV9_gp44	gene-BSV9_gp44	gp44	hypothetical protein	No_PHROG	unknown function	early	late
2630	NC_008296.2	RefSeq	gene	37053.0	37706.0	.	+	.	gene-BSV9_gp45	BSV9_gp45	Gene	protein_coding	BSV9_gp45	gene-BSV9_gp45	2OG-Fe(II) oxygenase	2OG-Fe(II) oxygenase	81	moron, auxiliary metabolic gene and host takeover	early	late
2631	NC_008296.2	RefSeq	gene	37681.0	38472.0	.	+	.	gene-BSV9_gp46	BSV9_gp46	Gene	protein_coding	BSV9_gp46	gene-BSV9_gp46	minor coat protein	minor coat protein	1644	head and packaging	early	middle
