hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-TX72_RS00900	NC_005070	176	797	Gabija__GajB_1	3.9e-37	125.4	0.908	0.813	20	667
gene-TX72_RS00900	NC_005070	176	797	UG35__UvrD	3.1999999999999996e-67	224.5	0.454	0.497	102	497
gene-TX72_RS00900	NC_005070	176	797	Gabija__GajB_2	2e-99	331.0	0.772	0.868	6	697
gene-TX72_RS01095	NC_005070	215	411	Veles__VlsB1	2.8e-126	418.8	0.965	0.925	13	392
gene-TX72_RS01095	NC_005070	215	411	Veles__VlsB2	2.3e-126	419.1	0.923	0.92	14	391
gene-TX72_RS01370	NC_005070	269	384	Wadjet__JetC_II	5.2e-06	21.8	0.523	0.393	77	227
gene-TX72_RS01565	NC_005070	308	387	DISARM__drmC	2.6e-13	47.4	0.513	0.377	214	359
gene-TX72_RS01620	NC_005070	320	414	Dnd__DndA	1.2e-34	117.2	0.61	0.553	26	254
gene-TX72_RS01725	NC_005070	340	1203	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	5.7e-11	39.4	0.545	0.276	841	1172
gene-TX72_RS02185	NC_005070	454	403	Veles__VlsB1	8.099999999999999e-103	341.6	0.946	0.928	26	399
gene-TX72_RS02185	NC_005070	454	403	Veles__VlsB2	1.1e-106	354.3	0.938	0.95	17	399
gene-TX72_RS02245	NC_005070	476	133	Retron_IX__HEPN	2.5000000000000003e-25	86.2	0.966	0.895	7	125
gene-TX72_RS02255	NC_005070	478	127	Retron_IX__HEPN	1.4e-08	32.2	0.94	0.858	8	116
gene-TX72_RS02320	NC_005070	491	135	Retron_IX__HEPN	2.4e-25	86.3	0.966	0.919	5	128
gene-TX72_RS02440	NC_005070	515	431	Eleos__LeoA	1.6e-14	51.0	0.479	0.578	1	249
gene-TX72_RS02820	NC_005070	594	148	Retron_IX__HEPN	1e-18	64.9	0.872	0.709	6	110
gene-TX72_RS02985	NC_005070	626	262	Gao_Qat__QatD	1.5e-16	57.8	0.965	0.977	3	258
gene-TX72_RS03105	NC_005070	652	909	Hachiman__HamB	1.6e-45	152.9	0.4	0.429	22	411
gene-TX72_RS03430	NC_005070	720	981	UG9__DNA_pol	1.3e-23	81.0	0.705	0.414	562	967
gene-TX72_RS04540	NC_005070	938	147	Veles__VlsC2	1.4e-14	51.6	0.879	0.966	3	144
gene-TX72_RS04540	NC_005070	938	147	Veles__VlsC1	1.2e-14	51.9	0.878	0.973	2	144
gene-TX72_RS04550	NC_005070	940	1186	Gabija__GajB_2	2.7000000000000003e-42	142.3	0.706	0.677	16	818
gene-TX72_RS04660	NC_005070	963	846	Dodola__DolB	1.3e-21	74.4	0.432	0.207	510	684
gene-TX72_RS04810	NC_005070	990	331	narp1_adps	2.8e-63	211.1	0.889	0.837	52	328
gene-TX72_RS05065	NC_005070	1041	256	DEDDh_I_II_III_IV_V_VI_1	4.4e-24	82.7	0.994	0.602	28	181
gene-TX72_RS05180	NC_005070	1064	683	UG6__DnaG	1e-25	87.7	0.835	0.435	39	335
gene-TX72_RS06280	NC_005070	1299	390	Dnd__DndA	2.4e-74	247.8	0.966	0.951	6	376
gene-TX72_RS06645	NC_005070	1374	819	BREX__brxHI	5.4e-55	184.2	0.751	0.668	19	565
gene-TX72_RS07550	NC_005070	1586	862	Dodola__DolB	2.2e-26	90.0	0.659	0.326	560	840
gene-TX72_RS09840	NC_005070	2051	493	PsyrTA__PsyrT	5.9e-84	279.7	0.496	0.682	4	339
gene-TX72_RS09955	NC_005070	2070	336	PsyrTA__PsyrA	9.3e-28	94.5	0.51	0.619	59	266
gene-TX72_RS09955	NC_005070	2070	336	ShosTA__ShosA	4.7999999999999997e-54	180.8	0.65	0.589	59	256
gene-TX72_RS10025	NC_005070	2084	211	ShosTA__ShosT	5.6e-07	26.7	0.502	0.498	100	204
gene-TX72_RS10170	NC_005070	2122	158	Veles__VlsC2	2.8e-34	115.6	0.946	0.949	4	153
gene-TX72_RS10170	NC_005070	2122	158	Veles__VlsC1	2.4e-34	115.8	0.953	0.962	3	154
gene-TX72_RS10310	NC_005070	2149	377	CBASS__AG_E1_ThiF	5e-63	210.0	0.98	0.621	14	247
gene-TX72_RS11095	NC_005070	2300	306	Dpd__QueD	7.7e-09	33.2	0.792	0.356	161	269
gene-TX72_RS11555	NC_005070	2391	354	Dnd__DndA	1.7e-109	363.5	0.926	0.966	1	342
gene-TX72_RS11845	NC_005070	2444	900	Dodola__DolB	6.8e-23	78.6	0.659	0.313	592	873
gene-TX72_RS12300	NC_005070	2535	206	Dpd__QueE	1e-13	48.6	0.633	0.66	70	205
gene-TX72_RS12310	NC_005070	2537	226	CBASS__QueC	4.5e-18	63.3	0.559	0.5	98	210
gene-TX72_RS12310	NC_005070	2537	226	Dpd__QueC	9.399999999999999e-39	130.2	0.941	0.934	5	215
