ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-SSBP1_gp01	91	7365	hypothetical protein	unknown function	7365	79	0.578	8.932e-22	7365	99.699188	1.1172568173175552e-28	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp02	103	2543	hypothetical protein	unknown function	2543	85	0.511	3.2089999999999996e-23	2543	57.499493	3.489856536585918e-15	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp03	53	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp04	114	554	hypothetical protein	unknown function	554	130	0.58	6.003e-38	554	138.735428	1.6348750363134068e-40	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp05	62	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp06	44	1792	hypothetical protein	unknown function	1792	42	0.497	2.485e-09	1792	43.906567	3.654404659713531e-11	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp07	75	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp08	73	29942	hypothetical protein	unknown function	29942	51	0.508	1.483e-12	29942	54.132378	1.9122861478488837e-14	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp09	102	9569	hypothetical protein	unknown function	9569	147	0.707	6.261999999999999e-45	9569	152.760376	6.066311245530528e-45	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp10	44	38794	hypothetical protein	unknown function	38794	56	0.618	7.041e-14	38794	58.440666	1.318610396418556e-15	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-SSBP1_gp11	779	414	RNA polymerase	DNA, RNA and nucleotide metabolism	414	384	0.371	1.479e-117	414	741.295959	2.785890803658145e-222	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
