# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8948489_sorted.bam" "SRR8948488_sorted.bam" "SRR8948486_sorted.bam" "SRR8948487_sorted.bam" "SRR8948483_sorted.bam" "SRR8948480_sorted.bam" "SRR8948477_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8948489_sorted.bam	SRR8948488_sorted.bam	SRR8948486_sorted.bam	SRR8948487_sorted.bam	SRR8948483_sorted.bam	SRR8948480_sorted.bam	SRR8948477_sorted.bam
gene-PA0001	NC_002516.2	483	2027	+	1545	3121	3116	2269	1630	438	1336	2761
gene-PA0002	NC_002516.2	2056	3159	+	1104	1484	1399	1030	801	239	328	945
gene-PA0003	NC_002516.2	3169	4278	+	1110	1382	1521	1294	754	243	354	1521
gene-PA0004	NC_002516.2	4275	6695	+	2421	3431	2752	2818	1784	433	1107	3021
gene-PA0005	NC_002516.2	7018	7791	-	774	725	645	441	330	101	72	286
gene-PA0006	NC_002516.2	7803	8339	-	537	288	328	231	148	61	63	202
gene-PA0007	NC_002516.2	8671	10377	+	1707	332	317	304	200	120	99	331
gene-PA0008	NC_002516.2	10434	12488	-	2055	1477	784	720	619	205	413	1222
gene-PA0009	NC_002516.2	12488	13435	-	948	632	402	331	262	82	66	286
gene-PA0010	NC_002516.2	13540	14091	+	552	55	43	40	25	40	8	32
gene-PA0011	NC_002516.2	14235	15122	+	888	432	491	337	230	47	50	268
gene-PA0012	NC_002516.2	15207	15473	+	267	56	65	44	27	19	10	42
gene-PA0013	NC_002516.2	15620	16273	+	654	795	887	682	437	101	122	395
gene-PA0014	NC_002516.2	16335	16607	-	273	49	39	59	34	20	7	29
gene-PA0015	NC_002516.2	16900	17217	-	318	198	124	86	90	22	44	136
gene-PA0016	NC_002516.2	17366	18739	-	1374	720	606	467	336	124	216	772
gene-PA0017	NC_002516.2	18767	20071	-	1305	639	322	248	234	84	130	433
gene-PA0018	NC_002516.2	20068	21012	-	945	340	194	124	130	43	103	261
gene-PA0019	NC_002516.2	21067	21573	-	507	1140	1421	716	676	86	293	948
gene-PA0020	NC_002516.2	21712	22737	+	1026	2081	2035	1356	1107	117	100	704
gene-PA0021	NC_002516.2	22872	23960	+	1089	57	36	15	14	67	11	53
gene-PA0022	NC_002516.2	24001	24558	+	558	557	408	331	241	61	137	388
gene-PA0023	NC_002516.2	24568	25545	-	978	239	217	222	143	53	57	224
gene-PA0024	NC_002516.2	25736	26653	+	918	732	671	529	352	89	225	902
gene-PA0025	NC_002516.2	26711	27535	+	825	405	213	202	190	72	125	385
gene-PA0026	NC_002516.2	27646	28632	+	987	211	282	225	137	125	79	202
gene-PA0027	NC_002516.2	28613	29899	+	1287	261	220	225	114	52	53	150
gene-PA0028	NC_002516.2	29896	30498	+	603	57	55	42	30	25	7	48
gene-PA0029	NC_002516.2	30502	32055	-	1554	80	76	51	53	45	35	95
gene-PA0030	NC_002516.2	32060	32983	-	924	28	22	37	25	37	11	39
gene-PA0031	NC_002516.2	33000	34511	-	1512	63	89	57	37	112	26	84
gene-PA0032	NC_002516.2	34624	35538	+	915	102	109	89	79	74	31	95
gene-PA0032a	NC_002516.2	35549	35926	+	378	187	155	177	102	30	46	155
gene-PA0033	NC_002516.2	35905	36270	-	366	86	56	79	43	44	47	99
gene-PA0034	NC_002516.2	36278	36901	-	624	48	54	29	30	33	7	34
gene-PA0035	NC_002516.2	37087	37893	-	807	165	155	140	107	58	70	178
gene-PA0036	NC_002516.2	37890	39098	-	1209	230	227	171	112	65	60	150
gene-PA0037	NC_002516.2	39202	40089	+	888	138	88	94	84	65	42	115
gene-PA0038	NC_002516.2	40190	40405	+	216	98	94	77	59	25	14	95
gene-PA0039	NC_002516.2	40589	40816	+	228	2934	3499	2131	1520	81	239	979
gene-PA0040	NC_002516.2	41113	42801	+	1689	484	347	194	189	69	40	233
gene-PA0041	NC_002516.2	42914	53521	+	10608	2369	1610	1194	1163	668	629	2518
gene-PA0041a	NC_002516.2	54121	54822	+	702	52	59	22	32	22	2	21
gene-PA0042	NC_002516.2	56546	56941	+	396	94	170	98	72	36	43	139
gene-PA0043	NC_002516.2	57212	58594	-	1383	67	56	42	27	77	16	60
