# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8782499_sorted.bam" "SRR8782500_sorted.bam" "SRR8782496_sorted.bam" "SRR8782494_sorted.bam" "SRR8782492_sorted.bam" "SRR8782497_sorted.bam" "SRR8782493_sorted.bam" "SRR8782490_sorted.bam" "SRR8782498_sorted.bam" "SRR8782495_sorted.bam" "SRR8782501_sorted.bam" "SRR8782491_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8782499_sorted.bam	SRR8782500_sorted.bam	SRR8782496_sorted.bam	SRR8782494_sorted.bam	SRR8782492_sorted.bam	SRR8782497_sorted.bam	SRR8782493_sorted.bam	SRR8782490_sorted.bam	SRR8782498_sorted.bam	SRR8782495_sorted.bam	SRR8782501_sorted.bam	SRR8782491_sorted.bam
gene-PA0001	NC_002516.2	483	2027	+	1545	5859	5947	4684	9806	8920	5739	4987	5048	7196	6919	8030	8744
gene-PA0002	NC_002516.2	2056	3159	+	1104	4590	4656	3498	8703	6152	5305	4377	4487	5636	5079	6045	8366
gene-PA0003	NC_002516.2	3169	4278	+	1110	3371	3794	2766	7100	4994	5093	3981	3118	4657	4726	4992	4622
gene-PA0004	NC_002516.2	4275	6695	+	2421	7704	9876	6510	19261	9197	11733	9316	8365	9161	11083	11066	12122
gene-PA0005	NC_002516.2	7018	7791	-	774	588	671	356	1087	830	581	393	465	800	652	689	852
gene-PA0006	NC_002516.2	7803	8339	-	537	408	493	252	869	796	479	342	347	622	565	601	660
gene-PA0007	NC_002516.2	8671	10377	+	1707	358	391	210	356	430	271	247	358	305	336	311	808
gene-PA0008	NC_002516.2	10434	12488	-	2055	3354	4355	2826	6979	2350	4180	2359	3224	4367	5007	5422	2628
gene-PA0009	NC_002516.2	12488	13435	-	948	1944	2057	1592	4469	1338	2434	1803	1484	2257	2849	3214	1217
gene-PA0010	NC_002516.2	13540	14091	+	552	113	178	92	351	206	140	112	184	227	171	153	289
gene-PA0011	NC_002516.2	14235	15122	+	888	574	702	414	1421	731	764	529	627	629	715	721	1017
gene-PA0012	NC_002516.2	15207	15473	+	267	175	194	119	361	264	210	179	203	188	171	179	332
gene-PA0013	NC_002516.2	15620	16273	+	654	492	267	258	382	178	277	226	236	180	257	364	252
gene-PA0014	NC_002516.2	16335	16607	-	273	71	66	51	122	106	80	85	55	67	97	96	118
