replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
U00096.3	gene-b0248	klca	242	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	U00096.3_ardb_klca_acric11_14	1	1	1.0	0.8	1	ardb	mandatory	152	8.3e-63	208.8	0.828	0.941	10	152			Anti_RM	ardb_klca_acric11	Antidefense
U00096.3	gene-b1139	Lit__Lit	1108	defense-finder-models/DefenseFinder/Lit/Lit	U00096.3_Lit_3	1	1	1.0	1.0	1	Lit__Lit	mandatory	297	3.4e-82	273.9	0.962	0.98	3	293			Lit	Lit	Defense
U00096.3	gene-b1159	RM_Type_IV__Type_IV_05	1126	defense-finder-models/RM/RM/RM_Type_IV	U00096.3_RM_Type_IV_9	1	1	0.167	1.0	1	RM_Type_IV__Type_IV_05	mandatory	277	6.7e-27	93.0	0.688	0.791	50	268			RM	RM_Type_IV	Defense
U00096.3	gene-b1348	lar	1331	defense-finder-models/ADF/Anti_RM/lar	U00096.3_lar_16	1	1	1.0	1.0	1	lar	mandatory	64	1.5999999999999998e-25	86.4	0.835	0.969	1	62			Anti_RM	lar	Antidefense
U00096.3	gene-b1351	racc	1334	defense-finder-models/ADF/Anti_Retron/racc	U00096.3_racc_17	1	1	1.0	1.0	1	racc	mandatory	91	5.9999999999999996e-55	181.2	1.0	1.0	1	91			Anti_Retron	racc	Antidefense
U00096.3	gene-b2627	Hachiman__HamB	2594	defense-finder-models/DefenseFinder/Hachiman/Hachiman	U00096.3_Hachiman_1	1	1	1.0	2.0	1	Hachiman__HamB	mandatory	729	3.7e-140	466.9	0.891	0.974	17	726		U00096.3_Hachiman_II_2	Hachiman	Hachiman	Defense
U00096.3	gene-b2628	Hachiman__HamA_2	2595	defense-finder-models/DefenseFinder/Hachiman/Hachiman	U00096.3_Hachiman_1	1	1	1.0	2.0	1	Hachiman__HamA_1	mandatory	538	1.1e-247	821.1	0.989	0.998	1	537		U00096.3_Hachiman_II_2	Hachiman	Hachiman	Defense
U00096.3	gene-b2630	RnlAB__RnlA	2597	defense-finder-models/DefenseFinder/RnlAB/RnlAB	U00096.3_RnlAB_6	1	1	1.0	2.0	1	RnlAB__RnlA	mandatory	357	2.0000000000000003e-187	620.3	1.0	1.0	1	357			RnlAB	RnlAB	Defense
U00096.3	gene-b2631	RnlAB__RnlB	2598	defense-finder-models/DefenseFinder/RnlAB/RnlAB	U00096.3_RnlAB_6	1	1	1.0	2.0	1	RnlAB__RnlB	mandatory	123	2.9e-45	150.9	0.992	0.984	1	121			RnlAB	RnlAB	Defense
U00096.3	gene-b2643	klca	2607	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	U00096.3_ardb_klca_acric11_15	1	1	1.0	0.8	1	ardb	mandatory	152	4.6e-61	203.1	0.828	0.934	11	152			Anti_RM	ardb_klca_acric11	Antidefense
U00096.3	gene-b2754	cas2_I-E_2	2703	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cas2_I-E_1	accessory	94	7.900000000000001e-44	145.7	1.0	0.968	3	93		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
U00096.3	gene-b2755	cas1_I-E_1	2704	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cas1_I-E_1	mandatory	305	8.4e-113	373.9	0.996	0.856	12	272		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
U00096.3	gene-b2756	cas6e_I_II_III_IV_V_VI_1	2705	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cas6e_I_II_III_IV_V_VI_1	mandatory	199	2.8e-76	254.2	1.0	1.0	1	199		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
U00096.3	gene-b2757	cas5_I-E_3	2706	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cas5_I-E_3	mandatory	224	7.1000000000000005e-59	196.6	0.984	0.795	5	182		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
U00096.3	gene-b2758	cas7_I-E_2	2707	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cas7_I-E_16	mandatory	363	2.4000000000000004e-130	433.1	1.0	0.884	3	323		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
U00096.3	gene-b2759	cse2gr11_I-E_1	2708	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cse2gr11_I-E_2	mandatory	160	1.7e-36	123.9	0.994	0.912	9	154		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
U00096.3	gene-b2760	cas8e_I-E_1	2709	CasFinder/CAS_Class1-Subtype-I-E	U00096.3_CAS_Class1-Subtype-I-E_11	1	1	1.0	8.0	1	cas8e_I-E_1	mandatory	502	3.5e-147	489.2	1.0	0.984	2	495		U00096.3_CAS_Class1-Type-I_12,U00096.3_CAS_Cluster_13	Cas	CAS_Class1-Subtype-I-E	Defense
