	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
0	NZ_CP059180.1	RefSeq	gene	1.0	1362.0	.	+	.	gene-SAURSH1000_RS00005	dnaA	Gene	protein_coding	SAURSH1000_RS00005	dnaA	chromosomal replication initiator protein DnaA	chromosomal replication initiator protein DnaA	No_PHROG	protein_coding	None	None
1	NZ_CP059180.1	RefSeq	gene	1640.0	2773.0	.	+	.	gene-SAURSH1000_RS00010	dnaN	Gene	protein_coding	SAURSH1000_RS00010	dnaN	DNA polymerase III subunit beta	DNA polymerase III subunit beta	No_PHROG	protein_coding	None	None
2	NZ_CP059180.1	RefSeq	gene	3154.0	3399.0	.	+	.	gene-SAURSH1000_RS00015	yaaA	Gene	protein_coding	SAURSH1000_RS00015	yaaA	S4 domain-containing protein YaaA	S4 domain-containing protein YaaA	No_PHROG	protein_coding	None	None
3	NZ_CP059180.1	RefSeq	gene	3396.0	4508.0	.	+	.	gene-SAURSH1000_RS00020	recF	Gene	protein_coding	SAURSH1000_RS00020	recF	DNA replication/repair protein RecF	DNA replication/repair protein RecF	No_PHROG	protein_coding	None	None
4	NZ_CP059180.1	RefSeq	gene	4518.0	6452.0	.	+	.	gene-SAURSH1000_RS00025	gyrB	Gene	protein_coding	SAURSH1000_RS00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	DNA topoisomerase (ATP-hydrolyzing) subunit B	No_PHROG	protein_coding	None	None
5	NZ_CP059180.1	RefSeq	gene	6489.0	9152.0	.	+	.	gene-SAURSH1000_RS00030	gyrA	Gene	protein_coding	SAURSH1000_RS00030	gyrA	DNA gyrase subunit A	DNA gyrase subunit A	No_PHROG	protein_coding	None	None
6	NZ_CP059180.1	RefSeq	gene	9239.0	10051.0	.	-	.	gene-SAURSH1000_RS00035	SAURSH1000_RS00035	Gene	protein_coding	SAURSH1000_RS00035	gene-SAURSH1000_RS00035	NAD(P)H-hydrate dehydratase	NAD(P)H-hydrate dehydratase	No_PHROG	protein_coding	None	None
7	NZ_CP059180.1	RefSeq	gene	10377.0	11891.0	.	+	.	gene-SAURSH1000_RS00040	hutH	Gene	protein_coding	SAURSH1000_RS00040	hutH	histidine ammonia-lyase	histidine ammonia-lyase	No_PHROG	protein_coding	None	None
8	NZ_CP059180.1	RefSeq	gene	12270.0	13556.0	.	+	.	gene-SAURSH1000_RS00045	serS	Gene	protein_coding	SAURSH1000_RS00045	serS	serine--tRNA ligase	serine--tRNA ligase	No_PHROG	protein_coding	None	None
9	NZ_CP059180.1	RefSeq	gene	14206.0	14901.0	.	+	.	gene-SAURSH1000_RS00050	SAURSH1000_RS00050	Gene	protein_coding	SAURSH1000_RS00050	gene-SAURSH1000_RS00050	AzlC family ABC transporter permease	AzlC family ABC transporter permease	No_PHROG	protein_coding	None	None
10	NZ_CP059180.1	RefSeq	gene	14898.0	15227.0	.	+	.	gene-SAURSH1000_RS00055	SAURSH1000_RS00055	Gene	protein_coding	SAURSH1000_RS00055	gene-SAURSH1000_RS00055	AzlD domain-containing protein	AzlD domain-containing protein	No_PHROG	protein_coding	None	None
