	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
1935	KM882824.1	Genbank	gene	70.0	549.0	.	+	.	gene-SpSL1_30	SpSL1_30	Gene	protein_coding	SpSL1_30	gene-SpSL1_30	hypothetical protein	hypothetical protein	3567	unknown function	middle	late
1936	KM882824.1	Genbank	gene	542.0	2254.0	.	+	.	gene-SpSL1_31	SpSL1_31	Gene	protein_coding	SpSL1_31	gene-SpSL1_31	terminase large subunit	terminase large subunit	9	head and packaging	middle	late
1937	KM882824.1	Genbank	gene	2263.0	3405.0	.	+	.	gene-SpSL1_32	SpSL1_32	Gene	protein_coding	SpSL1_32	gene-SpSL1_32	portal protein	hypothetical protein	No_PHROG	unknown function	middle	late
1938	KM882824.1	Genbank	gene	3452.0	3994.0	.	+	.	gene-SpSL1_33	SpSL1_33	Gene	protein_coding	SpSL1_33	gene-SpSL1_33	prohead maturation protease	head maturation protease	80	head and packaging	middle	late
1939	KM882824.1	Genbank	gene	4009.0	5262.0	.	+	.	gene-SpSL1_34	SpSL1_34	Gene	protein_coding	SpSL1_34	gene-SpSL1_34	capsid protein	head maturation protease	3270	head and packaging	middle	late
1940	KM882824.1	Genbank	gene	5288.0	5623.0	.	+	.	gene-SpSL1_35	SpSL1_35	Gene	protein_coding	SpSL1_35	gene-SpSL1_35	hypothetical protein	virion structural protein	3305	head and packaging	middle	late
1941	KM882824.1	Genbank	gene	5620.0	5925.0	.	+	.	gene-SpSL1_36	SpSL1_36	Gene	protein_coding	SpSL1_36	gene-SpSL1_36	head-tail adapter protein	head-tail adaptor	3332	connector	middle	late
1942	KM882824.1	Genbank	gene	5925.0	6272.0	.	+	.	gene-SpSL1_37	SpSL1_37	Gene	protein_coding	SpSL1_37	gene-SpSL1_37	hypothetical protein	hypothetical protein	3334	unknown function	middle	late
1943	KM882824.1	Genbank	gene	6259.0	6603.0	.	+	.	gene-SpSL1_38	SpSL1_38	Gene	protein_coding	SpSL1_38	gene-SpSL1_38	putative tail-component	hypothetical protein	No_PHROG	unknown function	middle	late
1944	KM882824.1	Genbank	gene	6617.0	7285.0	.	+	.	gene-SpSL1_39	SpSL1_39	Gene	protein_coding	SpSL1_39	gene-SpSL1_39	major tail protein	major tail protein	2634	tail	middle	late
1945	KM882824.1	Genbank	gene	7287.0	7763.0	.	+	.	gene-SpSL1_40	SpSL1_40	Gene	protein_coding	SpSL1_40	gene-SpSL1_40	hypothetical protein	hypothetical protein	3343	unknown function	middle	late
1946	KM882824.1	Genbank	gene	7802.0	7930.0	.	+	.	gene-SpSL1_41	SpSL1_41	Gene	protein_coding	SpSL1_41	gene-SpSL1_41	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	late
