# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR9623113_sorted.bam" "SRR9623111_sorted.bam" "SRR9623115_sorted.bam" "SRR9623114_sorted.bam" "SRR9623109_sorted.bam" "SRR9623110_sorted.bam" "SRR9623112_sorted.bam" "SRR9623108_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9623113_sorted.bam	SRR9623111_sorted.bam	SRR9623115_sorted.bam	SRR9623114_sorted.bam	SRR9623109_sorted.bam	SRR9623110_sorted.bam	SRR9623112_sorted.bam	SRR9623108_sorted.bam
gene-FLV31_RS20270	NZ_VIQP01000010.1	4	165	+	162	0	1	3	1	3	1	1	0
gene-FLV31_RS17065	NZ_VIQP01000010.1	238	322	-	85	0	3	2	3	12	0	1	22
gene-FLV31_RS17070	NZ_VIQP01000010.1	546	1181	+	636	0	22	31	7	107	37	2	438
gene-FLV31_RS17075	NZ_VIQP01000010.1	1262	2455	+	1194	7	35	33	18	230	70	12	980
gene-FLV31_RS17080	NZ_VIQP01000010.1	2452	3573	-	1122	13	105	57	40	387	147	7	1878
gene-FLV31_RS17085	NZ_VIQP01000010.1	3588	5000	-	1413	34	110	131	63	489	185	32	2287
gene-FLV31_RS17090	NZ_VIQP01000010.1	5073	5714	-	642	58	118	134	131	694	175	68	2781
gene-FLV31_RS17095	NZ_VIQP01000010.1	5724	8120	-	2397	24	161	88	55	985	240	40	4356
gene-FLV31_RS17100	NZ_VIQP01000010.1	8184	8552	-	369	3	36	13	5	261	65	12	1358
gene-FLV31_RS17105	NZ_VIQP01000010.1	8545	9051	-	507	16	138	37	16	1646	321	53	6187
gene-FLV31_RS17110	NZ_VIQP01000010.1	9186	9443	-	258	5	127	11	5	908	205	27	3057
gene-FLV31_RS17115	NZ_VIQP01000010.1	9424	9738	-	315	2	80	10	2	717	171	23	2574
gene-FLV31_RS17120	NZ_VIQP01000010.1	9793	10437	-	645	19	318	63	19	3092	699	94	9106
gene-FLV31_RS17125	NZ_VIQP01000010.1	10678	12183	-	1506	11	80	37	13	708	154	23	4115
gene-FLV31_RS17130	NZ_VIQP01000010.1	12255	13475	-	1221	17	181	70	15	1738	298	43	11948
gene-FLV31_RS17135	NZ_VIQP01000010.1	13716	14174	+	459	0	5	10	6	36	12	0	113
gene-FLV31_RS17140	NZ_VIQP01000010.1	14268	15674	+	1407	16	310	79	32	2564	601	46	12212
gene-FLV31_RS17145	NZ_VIQP01000010.1	15840	16850	+	1011	1	28	34	17	174	54	13	920
gene-FLV31_RS17150	NZ_VIQP01000010.1	16915	17148	-	234	9	35	54	18	414	132	6	451
gene-FLV31_RS17155	NZ_VIQP01000010.1	17208	18401	-	1194	24	68	112	74	465	140	26	2107
gene-FLV31_RS17160	NZ_VIQP01000010.1	18534	19070	+	537	2	5	2	2	59	15	1	297
gene-FLV31_RS17165	NZ_VIQP01000010.1	19074	20378	+	1305	3	12	8	10	95	38	8	511
gene-FLV31_RS17170	NZ_VIQP01000010.1	20426	21730	+	1305	5	48	22	13	266	64	10	993
gene-FLV31_RS17175	NZ_VIQP01000010.1	21730	23694	+	1965	19	60	70	35	297	93	22	1082
gene-FLV31_RS17180	NZ_VIQP01000010.1	23715	24143	+	429	5	27	21	14	133	67	11	305
gene-FLV31_RS17185	NZ_VIQP01000010.1	24213	25370	-	1158	7	41	24	14	131	67	13	707
gene-FLV31_RS17190	NZ_VIQP01000010.1	25692	28085	+	2394	4	45	48	10	438	88	16	507
gene-FLV31_RS17195	NZ_VIQP01000010.1	28143	29678	+	1536	5	12	22	14	113	29	8	444
gene-FLV31_RS17200	NZ_VIQP01000010.1	29816	30538	+	723	5	10	21	10	46	21	3	238
gene-FLV31_RS17205	NZ_VIQP01000010.1	30822	31265	-	444	18	28	90	50	296	64	30	2396
gene-FLV31_RS17210	NZ_VIQP01000010.1	31483	32583	+	1101	2	23	43	18	134	46	6	677
gene-FLV31_RS17215	NZ_VIQP01000010.1	32586	33776	+	1191	2	18	27	14	44	23	0	258
gene-FLV31_RS17220	NZ_VIQP01000010.1	33787	34521	+	735	1	4	25	9	15	5	1	80
gene-FLV31_RS17225	NZ_VIQP01000010.1	34518	35255	+	738	4	18	39	14	149	25	7	432
gene-FLV31_RS17230	NZ_VIQP01000010.1	35248	36087	+	840	4	14	33	19	61	22	4	338
gene-FLV31_RS17235	NZ_VIQP01000010.1	36088	37455	-	1368	6	42	75	27	133	72	4	560
gene-FLV31_RS17240	NZ_VIQP01000010.1	37849	39525	+	1677	6	48	47	23	551	87	14	5995
gene-FLV31_RS17245	NZ_VIQP01000010.1	39575	41314	+	1740	4	35	17	5	185	64	9	2368
gene-FLV31_RS17250	NZ_VIQP01000010.1	41316	41897	+	582	0	9	11	5	43	16	1	480
gene-FLV31_RS17255	NZ_VIQP01000010.1	41945	42475	+	531	2	9	18	10	53	30	5	502
gene-FLV31_RS17260	NZ_VIQP01000010.1	42504	43979	+	1476	6	53	31	12	294	124	15	2486
gene-FLV31_RS17265	NZ_VIQP01000010.1	44049	45302	+	1254	2	19	17	9	112	33	6	525
gene-FLV31_RS17270	NZ_VIQP01000010.1	45488	47071	+	1584	15	91	48	26	629	175	31	3130
gene-FLV31_RS17275	NZ_VIQP01000010.1	47108	47746	-	639	6	13	21	20	43	19	8	227
gene-FLV31_RS17280	NZ_VIQP01000010.1	47855	50011	-	2157	7	10	54	36	52	28	8	209
gene-FLV31_RS17285	NZ_VIQP01000010.1	50269	51471	+	1203	7	21	48	21	104	45	3	436
gene-FLV31_RS17290	NZ_VIQP01000010.1	51473	52069	-	597	6	15	45	13	95	24	7	335
gene-FLV31_RS17295	NZ_VIQP01000010.1	52192	54789	-	2598	699	1263	1354	1121	26987	3742	349	17292
gene-FLV31_RS17300	NZ_VIQP01000010.1	54955	55353	+	399	11	37	22	13	244	60	7	637
gene-FLV31_RS17305	NZ_VIQP01000010.1	55431	56615	-	1185	73	77	219	196	567	125	79	2579
gene-FLV31_RS17310	NZ_VIQP01000010.1	56729	58024	-	1296	6	101	28	11	593	182	14	4434
gene-FLV31_RS17315	NZ_VIQP01000010.1	58138	59415	+	1278	37	446	96	29	4589	1164	103	17000
gene-FLV31_RS17320	NZ_VIQP01000010.1	59568	60233	-	666	55	562	95	47	3687	994	131	18558
gene-FLV31_RS17325	NZ_VIQP01000010.1	60386	61057	-	672	10	29	27	21	371	87	9	1638
gene-FLV31_RS17330	NZ_VIQP01000010.1	61075	63168	-	2094	7	22	29	12	141	33	3	649
gene-FLV31_RS17335	NZ_VIQP01000010.1	63250	63402	-	153	3	29	17	6	198	26	5	1724
gene-FLV31_RS17340	NZ_VIQP01000010.1	63540	64274	-	735	2	22	5	8	58	21	3	590
gene-FLV31_RS17345	NZ_VIQP01000010.1	64402	65919	-	1518	3	14	17	15	60	22	2	400
gene-FLV31_RS17350	NZ_VIQP01000010.1	65929	66321	-	393	1	11	6	4	62	19	2	314
gene-FLV31_RS17355	NZ_VIQP01000010.1	66321	67364	-	1044	2	34	9	1	133	48	5	696
gene-FLV31_RS17360	NZ_VIQP01000010.1	67526	67624	+	99	3	11	4	4	104	26	7	116
gene-FLV31_RS17365	NZ_VIQP01000010.1	67701	68510	+	810	12	61	21	11	309	118	10	1286
gene-FLV31_RS17370	NZ_VIQP01000010.1	68557	69210	+	654	19	187	42	14	1938	458	76	9931
gene-FLV31_RS17375	NZ_VIQP01000010.1	69370	70749	-	1380	13	108	27	22	657	206	25	2625
