# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17374249_sorted.bam" "SRR17374246_sorted.bam" "SRR17374247_sorted.bam" "SRR17374244_sorted.bam" "SRR17374248_sorted.bam" "SRR17374245_sorted.bam" "SRR17374241_sorted.bam" "SRR17374243_sorted.bam" "SRR17374242_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17374249_sorted.bam	SRR17374246_sorted.bam	SRR17374247_sorted.bam	SRR17374244_sorted.bam	SRR17374248_sorted.bam	SRR17374245_sorted.bam	SRR17374241_sorted.bam	SRR17374243_sorted.bam	SRR17374242_sorted.bam
gene-LUU82_00010	CP089586.1	1	1662	+	1662	460	737	706	694	652	621	669	759	653
gene-LUU82_00015	CP089586.1	1678	2865	+	1188	415	559	581	564	538	530	544	517	552
gene-LUU82_00020	CP089586.1	2849	3586	+	738	283	452	403	468	449	431	463	443	380
gene-LUU82_00025	CP089586.1	3610	4755	+	1146	211	301	316	263	313	312	332	309	342
gene-LUU82_00035	CP089586.1	5048	5332	+	285	82	130	165	120	124	141	150	136	150
gene-LUU82_00040	CP089586.1	5316	5678	+	363	91	124	151	92	122	119	135	123	138
gene-LUU82_00045	CP089586.1	5675	6079	+	405	148	180	190	166	190	166	192	188	210
gene-LUU82_00050	CP089586.1	6076	6483	+	408	128	147	151	157	152	141	165	130	189
gene-LUU82_00055	CP089586.1	6484	7128	+	645	138	210	228	201	217	229	233	220	241
gene-LUU82_00060	CP089586.1	7182	7394	+	213	90	114	130	122	138	130	145	143	147
gene-LUU82_00065	CP089586.1	7444	7794	+	351	80	99	105	109	112	121	116	109	123
gene-LUU82_00070	CP089586.1	7845	7982	+	138	23	42	29	40	46	32	38	39	47
gene-LUU82_00075	CP089586.1	8039	12583	+	4545	679	852	989	770	913	922	896	831	1110
gene-LUU82_00080	CP089586.1	12580	14064	+	1485	204	267	297	208	253	236	242	227	270
gene-LUU82_00090	CP089586.1	17855	18007	+	153	40	58	66	70	56	63	63	81	79
gene-LUU82_00095	CP089586.1	18054	18341	+	288	70	85	97	94	98	87	89	87	88
gene-LUU82_00100	CP089586.1	18397	18771	+	375	71	106	94	110	108	94	106	92	98
gene-LUU82_00105	CP089586.1	19192	19965	+	774	1645	2516	2350	3598	2677	2798	3188	2763	3222
gene-LUU82_00110	CP089586.1	20168	20344	+	177	16949	21751	20639	38452	28946	24055	34344	36013	26900
gene-LUU82_00115	CP089586.1	20397	20504	-	108	9692	12253	11925	24118	17168	13442	19817	21197	13859
gene-LUU82_00120	CP089586.1	20556	20810	+	255	30	40	36	47	39	36	34	48	31
gene-LUU82_00125	CP089586.1	20822	21577	+	756	75	83	100	76	112	89	100	97	112
gene-LUU82_00130	CP089586.1	21768	22259	+	492	394	548	536	606	622	571	558	520	572
gene-LUU82_00140	CP089586.1	23755	24105	+	351	6289	8209	5161	9478	11535	11057	10684	15395	15234
gene-LUU82_00145	CP089586.1	24158	24418	-	261	1073	1291	1327	2014	1569	1675	1504	1270	1754
