hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-R0792_RS00530	NZ_CP136842.1	102	204	Retron_V__CSD	1.8e-49	167.0	0.752	0.98	3	202
gene-R0792_RS00600	NZ_CP136842.1	116	215	Dpd__QueE	2.8e-07	28.7	0.656	0.707	57	208
gene-R0792_RS00605	NZ_CP136842.1	117	224	CBASS__QueC	1.3000000000000001e-20	72.7	0.947	0.924	2	208
gene-R0792_RS00605	NZ_CP136842.1	117	224	Dpd__QueC	2.1e-53	179.3	0.986	0.987	3	223
gene-R0792_RS00900	NZ_CP136842.1	168	453	DRT2__RmuC	2.3999999999999996e-125	417.0	0.921	0.921	26	442
gene-R0792_RS01355	NZ_CP136842.1	258	168	Zorya__ZorB	1.3e-09	36.2	0.502	0.685	49	163
gene-R0792_RS01535	NZ_CP136842.1	294	595	Paris_II__AriA_AAA21	6e-17	60.4	0.831	0.588	1	350
gene-R0792_RS01535	NZ_CP136842.1	294	595	Septu__PtuA	4.5e-23	81.1	0.761	0.603	1	359
gene-R0792_RS01585	NZ_CP136842.1	304	270	CBASS__AG_E1_ThiF	5.2e-43	145.6	0.852	0.915	15	261
gene-R0792_RS02500	NZ_CP136842.1	484	642	CARD_NLR__Trypsin	1.1e-49	167.9	0.638	0.383	75	320
gene-R0792_RS02500	NZ_CP136842.1	484	642	CARD_NLR__Trypsin_new	7.2e-70	234.4	0.715	0.394	75	327
gene-R0792_RS02500	NZ_CP136842.1	484	642	CARD_NLR__Endonuclease_new	2.9e-90	300.9	0.889	0.438	349	629
gene-R0792_RS02875	NZ_CP136842.1	557	651	Gabija__GajB_2	4.8e-44	149.3	0.742	0.836	93	636
gene-R0792_RS03185	NZ_CP136842.1	619	323	WYL_I_II_III_IV_V_VI_4	3.7000000000000003e-34	116.7	0.994	0.526	142	311
gene-R0792_RS03185	NZ_CP136842.1	619	323	WYL_I_II_III_IV_V_VI_1	6.6e-87	290.3	0.984	0.969	3	315
gene-R0792_RS03485	NZ_CP136842.1	679	1162	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.5e-14	51.4	0.488	0.432	1	502
gene-R0792_RS03485	NZ_CP136842.1	679	1162	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.9e-14	51.4	0.669	0.395	673	1131
gene-R0792_RS03745	NZ_CP136842.1	728	183	DEDDh_I_II_III_IV_V_VI_1	6.3e-15	54.1	0.994	0.934	5	175
gene-R0792_RS04220	NZ_CP136842.1	822	877	Dodola__DolB	1.8e-24	84.9	0.416	0.193	570	738
gene-R0792_RS04280	NZ_CP136842.1	834	181	Dpd__FolE	6.6e-115	379.5	1.0	1.0	1	181
gene-R0792_RS04645	NZ_CP136842.1	907	168	DarTG__DarG	6.100000000000001e-32	109.7	0.731	0.976	1	164
gene-R0792_RS04800	NZ_CP136842.1	938	350	Zorya__ZorB	2.8e-08	31.8	0.411	0.343	225	344
gene-R0792_RS04955	NZ_CP136842.1	965	798	Dodola__DolB	3.8e-11	41.1	0.643	0.31	306	552
gene-R0792_RS05025	NZ_CP136842.1	978	246	DEDDh_I_II_III_IV_V_VI_1	6.3e-39	132.1	0.994	0.667	4	167
gene-R0792_RS05655	NZ_CP136842.1	1101	717	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.5e-10	39.2	0.609	0.629	133	583
gene-R0792_RS05655	NZ_CP136842.1	1101	717	RloC__RloC	1.8e-157	524.5	0.995	1.0	1	717
gene-R0792_RS06285	NZ_CP136842.1	1226	393	Dnd__DndA	7.7e-113	375.6	0.984	0.936	6	373
gene-R0792_RS06740	NZ_CP136842.1	1315	401	DISARM__drmC	8.2e-16	56.7	0.57	0.359	197	340
gene-R0792_RS07855	NZ_CP136842.1	1534	849	Dodola__DolB	3.8e-24	83.9	0.403	0.193	573	736
gene-R0792_RS08115	NZ_CP136842.1	1585	324	cas1_I_II_III_IV_V_VI_10	2.2999999999999998e-23	81.1	0.905	0.833	25	294
gene-R0792_RS08115	NZ_CP136842.1	1585	324	cas1_I_II_III_IV_V_VI_1	1.1e-31	108.5	0.82	0.849	20	294
gene-R0792_RS08115	NZ_CP136842.1	1585	324	cas1_I_II_III_IV_V_VI_2	9.4e-59	197.2	0.996	0.843	20	292
gene-R0792_RS08115	NZ_CP136842.1	1585	324	cas1_I_II_III_IV_V_VI_8	8.8e-65	217.3	0.887	0.941	14	318
gene-R0792_RS08115	NZ_CP136842.1	1585	324	cas1_I-F_1	5.5e-154	510.3	1.0	0.948	12	318
gene-R0792_RS08120	NZ_CP136842.1	1586	1076	cas3HD_I_1	1.3e-11	43.1	0.473	0.125	92	225
gene-R0792_RS08120	NZ_CP136842.1	1586	1076	cas3_I_5	7.799999999999999e-94	313.8	0.911	0.749	205	1010
gene-R0792_RS08120	NZ_CP136842.1	1586	1076	cas3f_I-F_1	0.0	1262.1	0.999	0.996	1	1072
gene-R0792_RS08125	NZ_CP136842.1	1587	434	cas8f_I-F_3	4.9000000000000003e-116	386.2	0.99	0.869	46	422
gene-R0792_RS08125	NZ_CP136842.1	1587	434	cas8f_I-F_8	1.9999999999999997e-133	443.5	0.995	0.848	47	414
gene-R0792_RS08125	NZ_CP136842.1	1587	434	cas8f_I-F_4	2.5e-148	492.7	0.997	0.853	47	416
gene-R0792_RS08130	NZ_CP136842.1	1588	327	cas5f_I-F_1	3.2e-12	44.6	0.494	0.413	10	144
gene-R0792_RS08130	NZ_CP136842.1	1588	327	cas5f_I-F_2	7.4e-92	306.1	0.993	0.939	9	315
gene-R0792_RS08130	NZ_CP136842.1	1588	327	cas5f_I-F_4	2.8e-101	337.1	0.997	0.936	10	315
gene-R0792_RS08130	NZ_CP136842.1	1588	327	cas5f_I-F_3	1.6e-106	354.4	0.997	0.939	10	316
gene-R0792_RS08135	NZ_CP136842.1	1589	342	cas7f_I-F_1	2.5e-136	453.0	0.997	0.974	8	340
gene-R0792_RS08135	NZ_CP136842.1	1589	342	cas7f_I-F_2	1.1999999999999999e-141	470.3	1.0	0.968	8	338
gene-R0792_RS08140	NZ_CP136842.1	1590	187	cas6f_I_II_III_IV_V_VI_1	1.6999999999999998e-53	179.7	1.0	1.0	1	187
gene-R0792_RS08140	NZ_CP136842.1	1590	187	cas6f_I_II_III_IV_V_VI_2	1.1e-61	206.6	1.0	1.0	1	187
gene-R0792_RS08140	NZ_CP136842.1	1590	187	cas6f_I_II_III_IV_V_VI_3	2.4e-62	208.8	1.0	0.984	4	187
gene-R0792_RS08955	NZ_CP136842.1	1747	387	PD_DExK_I_II_III_IV_V_VI_1	7.1e-63	209.7	0.994	0.413	145	304
gene-R0792_RS09215	NZ_CP136842.1	1799	288	Ukko__UkkD1	3.8999999999999996e-60	201.9	0.943	0.903	28	287
gene-R0792_RS09215	NZ_CP136842.1	1799	288	Ukko__UkkD2	3.8999999999999996e-60	201.9	0.943	0.903	28	287
gene-R0792_RS09440	NZ_CP136842.1	1840	758	Dodola__DolB	1.9999999999999999e-22	78.2	0.491	0.255	431	623
gene-R0792_RS09675	NZ_CP136842.1	1887	118	Dpd__QueD	4.6e-64	212.6	0.967	0.983	3	118
gene-R0792_RS09990	NZ_CP136842.1	1949	627	Dodola__DolB	1.4e-16	59.0	0.44	0.289	294	474
gene-R0792_RS10015	NZ_CP136842.1	1953	736	BREX__brxHI	3.7e-108	361.1	0.981	0.974	12	728
gene-R0792_RS10015	NZ_CP136842.1	1953	736	Shango__SngC	2.7e-292	970.1	0.994	0.978	10	729
gene-R0792_RS10020	NZ_CP136842.1	1954	431	BREX__brxD	3.3e-52	176.2	0.911	0.912	3	395
gene-R0792_RS10020	NZ_CP136842.1	1954	431	Shango__SngB	2.2e-186	618.4	0.991	0.995	3	431
gene-R0792_RS10025	NZ_CP136842.1	1955	832	Shango__SngA	6.6e-118	393.8	0.947	0.849	125	830
gene-R0792_RS10030	NZ_CP136842.1	1956	1707	DEDDh_I_II_III_IV_V_VI_1	3.7e-05	22.3	0.537	0.047	51	131
gene-R0792_RS10030	NZ_CP136842.1	1956	1707	Gabija__GajB_2	1.1e-65	220.7	0.868	0.322	1021	1569
