	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
5971	NC_008717.1	RefSeq	gene	170.0	880.0	.	-	.	gene-DMS3-1	DMS3-1	Gene	protein_coding	DMS3-1	gene-DMS3-1	transcriptional repressor	transcriptional repressor	4.0	transcription regulation	early	late
5972	NC_008717.1	RefSeq	gene	1428.0	1862.0	.	+	.	gene-DMS3-2	DMS3-2	Gene	protein_coding	DMS3-2	gene-DMS3-2	transcriptional regulator	transcriptional regulator	2345.0	transcription regulation	early	early
5973	NC_008717.1	RefSeq	gene	1862.0	2071.0	.	+	.	gene-DMS3-3	DMS3-3	Gene	protein_coding	DMS3-3	gene-DMS3-3	hypothetical protein	hypothetical protein	4468.0	unknown function	early	early
5974	NC_008717.1	RefSeq	gene	2175.0	4136.0	.	+	.	gene-DMS3-4	DMS3-4	Gene	protein_coding	DMS3-4	gene-DMS3-4	transposase	transposase	310.0	integration and excision	early	middle
5975	NC_008717.1	RefSeq	gene	4151.0	4903.0	.	+	.	gene-DMS3-5	DMS3-5	Gene	protein_coding	DMS3-5	gene-DMS3-5	DNA transposition protein	DNA transposition protein	296.0	integration and excision	early	middle
5976	NC_008717.1	RefSeq	gene	4900.0	5565.0	.	+	.	gene-DMS3-6	DMS3-6	Gene	protein_coding	DMS3-6	gene-DMS3-6	transcriptional regulator	transcriptional regulator	2030.0	transcription regulation	early	middle
5977	NC_008717.1	RefSeq	gene	5637.0	6272.0	.	+	.	gene-DMS3-7	DMS3-7	Gene	protein_coding	DMS3-7	gene-DMS3-7	hypothetical protein	hypothetical protein	3190.0	unknown function	middle	late
5978	NC_008717.1	RefSeq	gene	6257.0	6373.0	.	+	.	gene-DMS3-8	DMS3-8	Gene	protein_coding	DMS3-8	gene-DMS3-8	hypothetical protein	hypothetical protein	3765.0	unknown function	middle	late
5979	NC_008717.1	RefSeq	gene	6373.0	6786.0	.	+	.	gene-DMS3-9	DMS3-9	Gene	protein_coding	DMS3-9	gene-DMS3-9	hypothetical protein	hypothetical protein	2119.0	unknown function	early	late
5980	NC_008717.1	RefSeq	gene	6788.0	7060.0	.	+	.	gene-DMS3-10	DMS3-10	Gene	protein_coding	DMS3-10	gene-DMS3-10	hypothetical protein	hypothetical protein	2043.0	unknown function	middle	late
5981	NC_008717.1	RefSeq	gene	7077.0	7595.0	.	+	.	gene-DMS3-11	DMS3-11	Gene	protein_coding	DMS3-11	gene-DMS3-11	host nuclease inhibitor	host nuclease inhibitor	18351.0	moron, auxiliary metabolic gene and host takeover	middle	late
5982	NC_008717.1	RefSeq	gene	7597.0	7878.0	.	+	.	gene-DMS3-12	DMS3-12	Gene	protein_coding	DMS3-12	gene-DMS3-12	host nuclease inhibitor	host nuclease inhibitor	1518.0	moron, auxiliary metabolic gene and host takeover	middle	late
