# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR29715794_sorted.bam" "SRR29715795_sorted.bam" "SRR29715801_sorted.bam" "SRR29715800_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR29715794_sorted.bam	SRR29715795_sorted.bam	SRR29715801_sorted.bam	SRR29715800_sorted.bam
gene-PA0001	AE004091.2	483	2027	+	1545	1277	1288	606	1419
gene-PA0002	AE004091.2	2056	3159	+	1104	698	800	435	946
gene-PA0003	AE004091.2	3169	4278	+	1110	832	1107	512	1389
gene-PA0004	AE004091.2	4275	6695	+	2421	1181	1452	988	1923
gene-PA0005	AE004091.2	7018	7791	-	774	148	189	65	163
gene-PA0006	AE004091.2	7803	8339	-	537	130	161	72	168
gene-PA0007	AE004091.2	8671	10377	+	1707	45	85	28	42
gene-PA0008	AE004091.2	10434	12488	-	2055	389	485	296	561
gene-PA0009	AE004091.2	12488	13435	-	948	299	418	249	532
gene-PA0010	AE004091.2	13540	14091	+	552	21	17	20	36
gene-PA0011	AE004091.2	14235	15122	+	888	101	145	86	177
gene-PA0012	AE004091.2	15207	15473	+	267	12	32	17	36
gene-PA0013	AE004091.2	15620	16273	+	654	57	54	17	53
gene-PA0014	AE004091.2	16335	16607	-	273	15	14	1	17
gene-PA0015	AE004091.2	16900	17217	-	318	119	174	112	174
gene-PA0016	AE004091.2	17366	18739	-	1374	197	293	129	301
gene-PA0017	AE004091.2	18767	20071	-	1305	171	159	99	193
gene-PA0018	AE004091.2	20068	21012	-	945	106	117	79	161
gene-PA0019	AE004091.2	21067	21573	-	507	342	424	185	406
gene-PA0020	AE004091.2	21712	22737	+	1026	224	215	75	215
gene-PA0021	AE004091.2	22872	23960	+	1089	4	1	5	14
gene-PA0022	AE004091.2	24001	24558	+	558	104	118	47	114
gene-PA0023	AE004091.2	24568	25545	-	978	98	137	62	133
gene-PA0024	AE004091.2	25736	26653	+	918	299	316	139	323
gene-PA0025	AE004091.2	26711	27535	+	825	86	80	32	79
gene-PA0026	AE004091.2	27646	28632	+	987	105	150	42	93
gene-PA0027	AE004091.2	28613	29899	+	1287	55	67	22	50
gene-PA0028	AE004091.2	29896	30498	+	603	16	9	2	10
gene-PA0029	AE004091.2	30502	32055	-	1554	22	17	6	21
gene-PA0030	AE004091.2	32060	32983	-	924	4	2	4	16
gene-PA0031	AE004091.2	33000	34511	-	1512	44	56	15	42
gene-PA0032	AE004091.2	34624	35538	+	915	28	61	17	51
gene-PA0033	AE004091.2	35905	36270	-	366	10	16	4	19
gene-PA0034	AE004091.2	36278	36901	-	624	45	44	20	68
gene-PA0035	AE004091.2	37087	37893	-	807	53	49	20	51
gene-PA0036	AE004091.2	37890	39098	-	1209	134	155	62	124
gene-PA0037	AE004091.2	39202	40089	+	888	25	63	17	43
gene-PA0038	AE004091.2	40190	40405	+	216	39	34	11	31
gene-PA0039	AE004091.2	40589	40816	+	228	45	46	34	62
gene-PA0040	AE004091.2	41113	42801	+	1689	523	680	178	493
gene-PA0041	AE004091.2	42914	53521	+	10608	632	818	324	804
gene-PA0042	AE004091.2	56546	56941	+	396	33	63	19	44
gene-PA0043	AE004091.2	57212	58594	-	1383	44	55	20	61
gene-PA0044	AE004091.2	58786	60159	+	1374	101	91	45	105
gene-PA0045	AE004091.2	60656	61342	+	687	86	107	37	91
gene-PA0046	AE004091.2	61373	61726	+	354	187	247	67	164
gene-PA0047	AE004091.2	61879	62388	+	510	55	69	21	70
gene-PA0048	AE004091.2	62403	62786	-	384	26	28	15	33
gene-PA0049	AE004091.2	63068	64729	-	1662	10	19	14	19
gene-PA0050	AE004091.2	65339	65479	+	141	23	17	3	13
gene-PA0051	AE004091.2	66303	68135	+	1833	10	17	6	16
gene-PA0052	AE004091.2	68188	68616	-	429	4	1	1	0
gene-PA0053	AE004091.2	69272	69526	+	255	70	140	44	132
gene-PA0054	AE004091.2	69543	70091	-	549	78	95	39	88
gene-PA0055	AE004091.2	70130	70636	-	507	92	115	44	132
gene-PA0056	AE004091.2	70702	71622	-	921	17	16	7	22
gene-PA0057	AE004091.2	71730	72617	+	888	5	17	4	18
gene-PA0058	AE004091.2	72680	73384	+	705	4	8	1	5
gene-PA0059	AE004091.2	73468	73923	+	456	4	6	3	5
gene-PA0060	AE004091.2	74034	74267	+	234	72	95	24	74
gene-PA0061	AE004091.2	74279	74716	-	438	26	37	15	43
gene-PA0062	AE004091.2	74773	75189	-	417	15	21	10	16
gene-PA0063	AE004091.2	75281	76408	+	1128	158	227	66	162
gene-PA0064	AE004091.2	76416	77399	-	984	112	128	51	128
gene-PA0065	AE004091.2	77432	78097	-	666	81	112	31	82
gene-PA0066	AE004091.2	78090	78632	-	543	73	93	37	83
gene-PA0067	AE004091.2	78710	80755	+	2046	347	410	204	480
gene-PA0068	AE004091.2	80752	81027	+	276	61	69	46	46
gene-PA0069	AE004091.2	81116	82174	+	1059	44	57	23	59
gene-PA0070	AE004091.2	82404	83318	-	915	264	330	115	241
gene-PA0071	AE004091.2	83380	85092	-	1713	390	487	223	522
gene-PA0072	AE004091.2	85085	86284	-	1200	141	205	42	118
gene-PA0073	AE004091.2	86284	87003	-	720	42	55	21	38
gene-PA0074	AE004091.2	87000	90098	-	3099	620	763	260	528
gene-PA0075	AE004091.2	90106	90834	-	729	159	194	71	139
