ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-phage515_00001	99	654	hypothetical protein	unknown function	654	108	0.556	1.165e-30	654	115.744873	1.884821849119343e-33	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00002	61	3204	hypothetical protein	unknown function	3204	93	0.729	2.8990000000000005e-26	3204	112.018875	2.97760736957699e-32	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00003	96	654	hypothetical protein	unknown function	654	102	0.538	1.8400000000000002e-28	654	116.802933	8.819305541112831e-34	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00004	95	654	hypothetical protein	unknown function	654	76	0.426	1.566e-19	654	100.855042	8.259915285524542e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00005	97	654	hypothetical protein	unknown function	654	106	0.557	5.667e-30	654	125.711823	1.4730160745027935e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00006	85	1099	hypothetical protein	unknown function	1099	94	0.593	2.85e-26	1099	124.351295	3.235810829516886e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00007	79	1099	hypothetical protein	unknown function	1099	92	0.595	1.392e-25	1099	123.248016	7.149645717634363e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00008	115	3522	hypothetical protein	unknown function	3522	241	0.984	8.753e-77	3522	257.737335	1.8728692955270026e-77	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00009	112	3077	hypothetical protein	unknown function	3077	201	0.857	5.490000000000001e-63	3077	210.499969	9.446103717362672e-63	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00010	102	2601	hypothetical protein	unknown function	2601	151	0.722	1.025e-45	2601	179.83374	2.182688256843753e-53	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00011	94	3164	hypothetical protein	unknown function	3164	188	0.94	1.117e-58	3164	201.409088	2.865713576601296e-60	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00012	63	3388	hypothetical protein	unknown function	3388	118	0.88	4.888e-35	3388	144.587738	1.550073936646931e-42	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00013	162	59	HNH endonuclease	DNA, RNA and nucleotide metabolism	59	102	0.384	8.716e-28	59	145.678665	5.1962330402537216e-42	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00014	52	3325	TreN-like membrane protein	other	3325	91	0.821	8.946e-26	3325	119.484055	1.0787038165419318e-34	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00015	43	3837	hypothetical protein	unknown function	3837	87	0.934	1.3359999999999999e-24	3837	116.128838	8.583300826111489e-34	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00016	78	3480	hypothetical protein	unknown function	3480	150	0.907	5.446e-46	3480	173.429413	1.5267631514923344e-51	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00017	156	2543	hypothetical protein	unknown function	2543	98	0.453	2.115e-27	2543	269.689514	1.721287790289343e-80	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00018	41	7733	hypothetical protein	unknown function	7733	82	0.929	3.957e-23	7733	112.365273	1.2309085310621251e-32	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00019	59	4863	hypothetical protein	unknown function	4863	121	0.956	3.1570000000000004e-36	4863	146.481216	3.3648112988386904e-43	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00020	78	2884	hypothetical protein	unknown function	2884	151	0.909	4.8400000000000005e-46	2884	159.691208	3.8794161747806247e-47	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00021	161	7534	hypothetical protein	unknown function	7534	325	0.954	4.9739999999999995e-105	7534	361.863678	6.092535702716966e-109	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00022	135	5770	hypothetical protein	unknown function	5770	257	0.897	7.868e-82	5770	283.449432	5.866460595845187e-85	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00023	143	16296	hypothetical protein	unknown function	16296	166	0.932	1.7e-51	4355	290.86145	3.4673029928797716e-87	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00024	63	4249	hypothetical protein	unknown function	4249	122	0.907	2.054e-36	4249	156.693954	2.261655031525773e-46	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00025	161	3619	hypothetical protein	unknown function	3619	268	0.804	3.729e-85	3619	304.373627	3.6378942524444454e-91	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00026	143	2349	hypothetical protein	unknown function	2349	128	0.488	4.9079999999999995e-37	2349	214.826645	1.0130884770094792e-63	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-phage515_00027	180	4045	hypothetical protein	unknown function	4045	372	0.974	8.306e-121	4045	405.907104	3.3137355515257424e-122	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
