ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-S-PM2p001	295	56	DNA methyltransferase	other	56	98	0.26	1.992e-24	56	159.951538	2.998828470533224e-46	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p002	44	9780	hypothetical protein	unknown function	9780	90	0.949	1.3270000000000001e-25	9780	94.843277	3.6518438832018625e-27	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p003	69	9334	hypothetical protein	unknown function	9334	98	0.765	9.798e-28	9334	96.777046	9.33442615500129e-28	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p004	101	1364	hypothetical protein	unknown function	1364	98	0.512	7.326000000000001e-28	1364	83.333572	3.232772555349807e-23	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p005	67	1179	hypothetical protein	unknown function	1179	101	0.735	6.666e-29	1179	115.130348	2.5625599730044147e-33	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p006	67	661	hypothetical protein	unknown function	661	58	0.603	2.828e-14	661	65.484695	5.541681100155056e-18	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p007	59	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p008	187	6458	hypothetical protein	unknown function	6458	319	0.822	4.4830000000000005e-102	6458	253.685532	1.0264923184206569e-75	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p009	131	1615	hypothetical protein	unknown function	1615	158	0.633	1.6319999999999998e-47	1615	140.634964	5.680803537418556e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p010	102	14365	hypothetical protein	unknown function	14365	41	0.322	1.439e-07	14365	27.312862	8.991217006107366e-06	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-S-PM2p011	42	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
