	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
4097	JX100813.1	Genbank	gene	1002.0	1193.0	.	+	.	gene-CbK_gp001	CbK_gp001	Gene	protein_coding	CbK_gp001	gene-CbK_gp001	hypothetical protein	hypothetical protein	7368	unknown function	middle	middle
4098	JX100813.1	Genbank	gene	1277.0	1540.0	.	+	.	gene-CbK_gp002	CbK_gp002	Gene	protein_coding	CbK_gp002	gene-CbK_gp002	hypothetical protein	hypothetical protein	16102	unknown function	middle	middle
4099	JX100813.1	Genbank	gene	1586.0	1690.0	.	+	.	gene-CbK_gp003	CbK_gp003	Gene	protein_coding	CbK_gp003	gene-CbK_gp003	hypothetical protein	hypothetical protein	11446	unknown function	middle	middle
4100	JX100813.1	Genbank	gene	2384.0	2569.0	.	+	.	gene-CbK_gp004	CbK_gp004	Gene	protein_coding	CbK_gp004	gene-CbK_gp004	hypothetical protein	hypothetical protein	7291	unknown function	early	middle
4101	JX100813.1	Genbank	gene	2669.0	3472.0	.	+	.	gene-CbK_gp005	CbK_gp005	Gene	protein_coding	CbK_gp005	gene-CbK_gp005	hypothetical protein	hypothetical protein	8188	unknown function	early	late
4102	JX100813.1	Genbank	gene	3469.0	3678.0	.	+	.	gene-CbK_gp006	CbK_gp006	Gene	protein_coding	CbK_gp006	gene-CbK_gp006	hypothetical protein	hypothetical protein	6979	unknown function	early	middle
4103	JX100813.1	Genbank	gene	3669.0	3950.0	.	+	.	gene-CbK_gp007	CbK_gp007	Gene	protein_coding	CbK_gp007	gene-CbK_gp007	hypothetical protein	hypothetical protein	8778	unknown function	early	early
4104	JX100813.1	Genbank	gene	4070.0	5122.0	.	+	.	gene-CbK_gp008	CbK_gp008	Gene	protein_coding	CbK_gp008	gene-CbK_gp008	hypothetical protein	hypothetical protein	7247	unknown function	early	middle
4105	JX100813.1	Genbank	gene	5258.0	5557.0	.	+	.	gene-CbK_gp009	CbK_gp009	Gene	protein_coding	CbK_gp009	gene-CbK_gp009	hypothetical protein	hypothetical protein	9265	unknown function	early	late
4106	JX100813.1	Genbank	gene	5615.0	5983.0	.	+	.	gene-CbK_gp010	CbK_gp010	Gene	protein_coding	CbK_gp010	gene-CbK_gp010	hypothetical protein	hypothetical protein	8925	unknown function	early	late
4107	JX100813.1	Genbank	gene	5987.0	6406.0	.	+	.	gene-CbK_gp011	CbK_gp011	Gene	protein_coding	CbK_gp011	gene-CbK_gp011	hypothetical protein	hypothetical protein	8827	unknown function	early	middle
4108	JX100813.1	Genbank	gene	6483.0	6755.0	.	+	.	gene-CbK_gp012	CbK_gp012	Gene	protein_coding	CbK_gp012	gene-CbK_gp012	hypothetical protein	hypothetical protein	7462	unknown function	early	late
4109	JX100813.1	Genbank	gene	6822.0	7106.0	.	+	.	gene-CbK_gp013	CbK_gp013	Gene	protein_coding	CbK_gp013	gene-CbK_gp013	hypothetical protein	hypothetical protein	6524	unknown function	early	late
4110	JX100813.1	Genbank	gene	7106.0	7288.0	.	+	.	gene-CbK_gp014	CbK_gp014	Gene	protein_coding	CbK_gp014	gene-CbK_gp014	hypothetical protein	hypothetical protein	12553	unknown function	early	late
4111	JX100813.1	Genbank	gene	7294.0	7476.0	.	+	.	gene-CbK_gp015	CbK_gp015	Gene	protein_coding	CbK_gp015	gene-CbK_gp015	hypothetical protein	hypothetical protein	8132	unknown function	early	early
4112	JX100813.1	Genbank	gene	7480.0	8070.0	.	+	.	gene-CbK_gp016	CbK_gp016	Gene	protein_coding	CbK_gp016	gene-CbK_gp016	hypothetical protein	hypothetical protein	7318	unknown function	early	middle
4113	JX100813.1	Genbank	gene	8075.0	8653.0	.	+	.	gene-CbK_gp017	CbK_gp017	Gene	protein_coding	CbK_gp017	gene-CbK_gp017	hypothetical protein	hypothetical protein	8002	unknown function	early	middle
4114	JX100813.1	Genbank	gene	8922.0	9368.0	.	+	.	gene-CbK_gp018	CbK_gp018	Gene	protein_coding	CbK_gp018	gene-CbK_gp018	hypothetical protein	hypothetical protein	6738	unknown function	early	early
4115	JX100813.1	Genbank	gene	9511.0	9903.0	.	+	.	gene-CbK_gp019	CbK_gp019	Gene	protein_coding	CbK_gp019	gene-CbK_gp019	hypothetical protein	hypothetical protein	7192	unknown function	early	early
4116	JX100813.1	Genbank	gene	9958.0	10152.0	.	+	.	gene-CbK_gp020	CbK_gp020	Gene	protein_coding	CbK_gp020	gene-CbK_gp020	hypothetical protein	hypothetical protein	7323	unknown function	early	late
4117	JX100813.1	Genbank	gene	10598.0	11344.0	.	+	.	gene-CbK_gp021	CbK_gp021	Gene	protein_coding	CbK_gp021	gene-CbK_gp021	hypothetical protein	hypothetical protein	12532	unknown function	early	early
4118	JX100813.1	Genbank	gene	11412.0	11576.0	.	+	.	gene-CbK_gp022	CbK_gp022	Gene	protein_coding	CbK_gp022	gene-CbK_gp022	hypothetical protein	hypothetical protein	14051	unknown function	early	early
4119	JX100813.1	Genbank	gene	11573.0	12247.0	.	+	.	gene-CbK_gp023	CbK_gp023	Gene	protein_coding	CbK_gp023	gene-CbK_gp023	hypothetical protein	hypothetical protein	12122	unknown function	early	early
4120	JX100813.1	Genbank	gene	12247.0	12519.0	.	+	.	gene-CbK_gp024	CbK_gp024	Gene	protein_coding	CbK_gp024	gene-CbK_gp024	putative lipoprotein	hypothetical protein	No_PHROG	unknown function	early	early
4121	JX100813.1	Genbank	gene	12629.0	13165.0	.	+	.	gene-CbK_gp025	CbK_gp025	Gene	protein_coding	CbK_gp025	gene-CbK_gp025	hypothetical protein	hypothetical protein	17784	unknown function	early	early
4122	JX100813.1	Genbank	gene	13173.0	13544.0	.	+	.	gene-CbK_gp026	CbK_gp026	Gene	protein_coding	CbK_gp026	gene-CbK_gp026	hypothetical protein	hypothetical protein	12436	unknown function	early	middle
4123	JX100813.1	Genbank	gene	13544.0	13969.0	.	+	.	gene-CbK_gp027	CbK_gp027	Gene	protein_coding	CbK_gp027	gene-CbK_gp027	hypothetical protein	hypothetical protein	8937	unknown function	early	middle
4124	JX100813.1	Genbank	gene	13969.0	14271.0	.	+	.	gene-CbK_gp028	CbK_gp028	Gene	protein_coding	CbK_gp028	gene-CbK_gp028	hypothetical protein	hypothetical protein	419	unknown function	early	middle
4125	JX100813.1	Genbank	gene	14268.0	14537.0	.	+	.	gene-CbK_gp029	CbK_gp029	Gene	protein_coding	CbK_gp029	gene-CbK_gp029	hypothetical protein	hypothetical protein	12763	unknown function	early	middle
4126	JX100813.1	Genbank	gene	14534.0	14827.0	.	+	.	gene-CbK_gp030	CbK_gp030	Gene	protein_coding	CbK_gp030	gene-CbK_gp030	hypothetical protein	hypothetical protein	13409	unknown function	early	middle
