	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
0	contig_1	Pyrodigal	gene	1.0	1425.0	.	+	0	FKEOJE_00001	chromosomal replication initiator protein DnaA		CDS	FKEOJE_00001	dnaA	chromosomal replication initiator protein DnaA	chromosomal replication initiator protein DnaA	No_PHROG	CDS	None	None
1	contig_1	Pyrodigal	gene	1453.0	1890.0	.	+	0	FKEOJE_00002	protein-tyrosine-phosphatase		CDS	FKEOJE_00002	FKEOJE_00002	protein-tyrosine-phosphatase	protein-tyrosine-phosphatase	No_PHROG	CDS	None	None
2	contig_1	Pyrodigal	gene	1902.0	2618.0	.	+	0	FKEOJE_00003	Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase		CDS	FKEOJE_00003	rsmI	Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase	Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase	No_PHROG	CDS	None	None
3	contig_1	Pyrodigal	gene	2663.0	3298.0	.	-	0	FKEOJE_00004	Peptidoglycan-binding protein LysM		CDS	FKEOJE_00004	lysM	Peptidoglycan-binding protein LysM	Peptidoglycan-binding protein LysM	No_PHROG	CDS	None	None
4	contig_1	Pyrodigal	gene	3449.0	4492.0	.	-	0	FKEOJE_00005	Endolytic murein transglycosylase		CDS	FKEOJE_00005	FKEOJE_00005	Endolytic murein transglycosylase	Endolytic murein transglycosylase	No_PHROG	CDS	None	None
5	contig_1	Pyrodigal	gene	4492.0	5016.0	.	-	0	FKEOJE_00006	Diamine N-acetyltransferase		CDS	FKEOJE_00006	FKEOJE_00006	Diamine N-acetyltransferase	Diamine N-acetyltransferase	No_PHROG	CDS	None	None
6	contig_1	Pyrodigal	gene	5009.0	5785.0	.	-	0	FKEOJE_00007	diaminopimelate epimerase		CDS	FKEOJE_00007	dapF	diaminopimelate epimerase	diaminopimelate epimerase	No_PHROG	CDS	None	None
7	contig_1	Pyrodigal	gene	5916.0	7310.0	.	+	0	FKEOJE_00008	HtrA2 peptidase		CDS	FKEOJE_00008	degQ	HtrA2 peptidase	HtrA2 peptidase	No_PHROG	CDS	None	None
8	contig_1	Pyrodigal	gene	7434.0	8882.0	.	+	0	FKEOJE_00009	glyceraldehyde-3-phosphate dehydrogenase		CDS	FKEOJE_00009	gapA	glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase	No_PHROG	CDS	None	None
9	contig_1	Pyrodigal	gene	8962.0	9588.0	.	+	0	FKEOJE_00010	tRNA (Guanine-N1)-methyltransferase		CDS	FKEOJE_00010	FKEOJE_00010	tRNA (Guanine-N1)-methyltransferase	tRNA (Guanine-N1)-methyltransferase	No_PHROG	CDS	None	None
10	contig_1	Pyrodigal	gene	9666.0	10340.0	.	+	0	FKEOJE_00011	tRNA (guanosine(37)-N1)-methyltransferase TrmD		CDS	FKEOJE_00011	trmD	tRNA (guanosine(37)-N1)-methyltransferase TrmD	tRNA (guanosine(37)-N1)-methyltransferase TrmD	No_PHROG	CDS	None	None
11	contig_1	Pyrodigal	gene	10529.0	10879.0	.	+	0	FKEOJE_00012	50S ribosomal protein L19		CDS	FKEOJE_00012	rplS	50S ribosomal protein L19	50S ribosomal protein L19	No_PHROG	CDS	None	None
12	contig_1	Pyrodigal	gene	11237.0	13456.0	.	+	0	FKEOJE_00013	NADP-dependent isocitrate dehydrogenase		CDS	FKEOJE_00013	icdM	NADP-dependent isocitrate dehydrogenase	NADP-dependent isocitrate dehydrogenase	No_PHROG	CDS	None	None
13	contig_1	Pyrodigal	gene	13575.0	15974.0	.	+	0	FKEOJE_00014	isocitrate dehydrogenase (NADP(+))		CDS	FKEOJE_00014	fepA	isocitrate dehydrogenase (NADP(+))	isocitrate dehydrogenase (NADP(+))	No_PHROG	CDS	None	None
14	contig_1	Pyrodigal	gene	15978.0	16778.0	.	+	0	FKEOJE_00015	DUF4249 domain-containing protein		CDS	FKEOJE_00015	FKEOJE_00015	DUF4249 domain-containing protein	DUF4249 domain-containing protein	No_PHROG	CDS	None	None
15	contig_1	Pyrodigal	gene	16791.0	17027.0	.	+	0	FKEOJE_00016	DUF6095 domain-containing protein		CDS	FKEOJE_00016	FKEOJE_00016	DUF6095 domain-containing protein	DUF6095 domain-containing protein	No_PHROG	CDS	None	None
16	contig_1	Pyrodigal	gene	17214.0	17303.0	.	+	0	FKEOJE_00017	hypothetical protein		CDS	FKEOJE_00017	FKEOJE_00017	hypothetical protein	hypothetical protein	No_PHROG	CDS	None	None
17	contig_1	Infernal	gene	17544.0	17655.0	6.6e-13	-	.	FKEOJE_00018	5S ribosomal RNA		rRNA	FKEOJE_00018	rrf	5S ribosomal RNA	5S ribosomal RNA	No_PHROG	rRNA		
