# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196372_sorted.bam" "SRR17196375_sorted.bam" "SRR17196376_sorted.bam" "SRR17196373_sorted.bam" "SRR17196381_sorted.bam" "SRR17196368_sorted.bam" "SRR17196384_sorted.bam" "SRR17196370_sorted.bam" "SRR17196379_sorted.bam" "SRR17196369_sorted.bam" "SRR17196371_sorted.bam" "SRR17196367_sorted.bam" "SRR17196382_sorted.bam" "SRR17196365_sorted.bam" "SRR17196374_sorted.bam" "SRR17196378_sorted.bam" "SRR17196385_sorted.bam" "SRR17196380_sorted.bam" "SRR17196377_sorted.bam" "SRR17196383_sorted.bam" "SRR17196366_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196372_sorted.bam	SRR17196375_sorted.bam	SRR17196376_sorted.bam	SRR17196373_sorted.bam	SRR17196381_sorted.bam	SRR17196368_sorted.bam	SRR17196384_sorted.bam	SRR17196370_sorted.bam	SRR17196379_sorted.bam	SRR17196369_sorted.bam	SRR17196371_sorted.bam	SRR17196367_sorted.bam	SRR17196382_sorted.bam	SRR17196365_sorted.bam	SRR17196374_sorted.bam	SRR17196378_sorted.bam	SRR17196385_sorted.bam	SRR17196380_sorted.bam	SRR17196377_sorted.bam	SRR17196383_sorted.bam	SRR17196366_sorted.bam
gene-SAURSH1000_RS00005	NZ_CP059180.1	1	1362	+	1362	1172	1044	378	785	339	930	327	786	189	1344	1163	745	95	681	1343	1121	46	289	819	157	1461
gene-SAURSH1000_RS00010	NZ_CP059180.1	1640	2773	+	1134	1264	1371	520	970	367	1286	382	894	260	1466	1497	937	127	922	1735	1335	78	359	1028	217	1525
gene-SAURSH1000_RS00015	NZ_CP059180.1	3154	3399	+	246	237	322	147	241	94	339	91	213	90	265	424	252	48	265	331	297	38	86	238	39	342
gene-SAURSH1000_RS00020	NZ_CP059180.1	3396	4508	+	1113	1171	1328	545	926	451	1198	389	992	318	1089	1410	957	160	1017	1275	1243	98	285	862	184	1414
gene-SAURSH1000_RS00025	NZ_CP059180.1	4518	6452	+	1935	2456	2712	982	1384	757	2010	774	1931	679	2096	2468	1836	321	1986	2374	2584	217	608	1444	337	2555
gene-SAURSH1000_RS00030	NZ_CP059180.1	6489	9152	+	2664	4635	5567	2292	2985	1230	4422	1301	3284	1315	3516	5566	3513	573	4361	4334	5013	403	1072	2284	626	4301
gene-SAURSH1000_RS00035	NZ_CP059180.1	9239	10051	-	813	408	430	169	270	109	351	96	196	56	322	441	165	29	251	351	343	15	79	179	86	342
gene-SAURSH1000_RS00040	NZ_CP059180.1	10377	11891	+	1515	30	34	43	80	17	114	14	89	30	25	132	139	16	105	102	30	12	19	54	13	32
gene-SAURSH1000_RS00045	NZ_CP059180.1	12270	13556	+	1287	719	935	919	1183	659	1610	509	1075	638	741	1958	960	222	898	1967	1846	129	543	1847	307	1311
gene-SAURSH1000_RS00050	NZ_CP059180.1	14206	14901	+	696	34	42	19	33	12	57	7	29	11	45	58	40	4	38	50	61	0	9	55	9	78
gene-SAURSH1000_RS00055	NZ_CP059180.1	14898	15227	+	330	16	17	9	19	4	25	6	11	5	27	26	15	4	19	34	22	0	4	11	3	23
gene-SAURSH1000_RS00060	NZ_CP059180.1	15590	16558	+	969	66	77	18	29	17	41	13	37	6	61	43	32	4	29	55	65	5	12	38	7	80
gene-SAURSH1000_RS00065	NZ_CP059180.1	16849	17787	+	939	728	769	364	717	228	1189	224	893	186	783	1131	846	80	760	1025	723	49	188	588	135	861
gene-SAURSH1000_RS00070	NZ_CP059180.1	17802	19769	+	1968	2973	3275	1365	2305	795	3339	850	3203	683	2822	3637	3134	338	2823	3141	2856	199	653	1690	363	3209
gene-SAURSH1000_RS00075	NZ_CP059180.1	19766	20218	+	453	1030	1140	405	652	299	986	320	1053	267	888	1123	872	144	798	1149	976	76	229	660	133	942
gene-SAURSH1000_RS00080	NZ_CP059180.1	20250	21650	+	1401	2447	2519	916	1511	508	2082	539	1899	522	2112	2362	1886	268	2068	2178	2114	126	415	986	264	2255
gene-SAURSH1000_RS00085	NZ_CP059180.1	21928	23211	+	1284	735	674	263	472	368	570	508	463	188	878	803	456	72	419	599	1123	50	263	519	150	356
gene-SAURSH1000_RS00090	NZ_CP059180.1	23641	23715	+	75	180	270	215	230	54	267	88	87	89	199	322	296	75	638	448	337	51	212	193	105	211
gene-SAURSH1000_RS00095	NZ_CP059180.1	23723	23795	+	73	226	321	256	284	37	293	78	86	107	211	342	352	94	714	361	343	61	209	169	106	225
gene-SAURSH1000_RS00100	NZ_CP059180.1	24415	25116	+	702	642	716	296	455	251	639	268	496	174	673	820	545	85	505	676	746	52	146	452	91	920
gene-SAURSH1000_RS00105	NZ_CP059180.1	25129	26955	+	1827	1307	1449	557	822	508	1083	491	993	294	1290	1423	1003	162	1024	1236	1732	81	330	876	194	1536
gene-SAURSH1000_RS00110	NZ_CP059180.1	26948	28282	+	1335	1272	1322	481	751	415	1002	395	928	245	1102	1196	878	137	891	931	1555	80	274	618	163	1158
