	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
0	CT971583.1	EMBL	gene	174.0	1343.0	.	+	.	gene-SynWH7803_0001	dnaN	Gene	protein_coding	SynWH7803_0001	dnaN	DNA polymerase III beta subunit	DNA polymerase III beta subunit	No_PHROG	protein_coding	None	None
1	CT971583.1	EMBL	gene	1347.0	2096.0	.	+	.	gene-SynWH7803_0002	SynWH7803_0002	Gene	protein_coding	SynWH7803_0002	gene-SynWH7803_0002	RNA metabolism-related protein	RNA metabolism-related protein	No_PHROG	protein_coding	None	None
2	CT971583.1	EMBL	gene	2187.0	4484.0	.	+	.	gene-SynWH7803_0003	purL	Gene	protein_coding	SynWH7803_0003	purL	Phosphoribosylformylglycinamidine (FGAM) synthase%2C synthetase domain	Phosphoribosylformylglycinamidine (FGAM) synthase%2C synthetase domain	No_PHROG	protein_coding	None	None
3	CT971583.1	EMBL	gene	4523.0	5989.0	.	+	.	gene-SynWH7803_0004	purF	Gene	protein_coding	SynWH7803_0004	purF	Glutamine phosphoribosyl pyrophosphate amidotransferase	Glutamine phosphoribosyl pyrophosphate amidotransferase	No_PHROG	protein_coding	None	None
4	CT971583.1	EMBL	gene	5992.0	8457.0	.	-	.	gene-SynWH7803_0005	gyrA	Gene	protein_coding	SynWH7803_0005	gyrA	DNA gyrase/topoisomerase IV%2C subunit A	DNA gyrase/topoisomerase IV%2C subunit A	No_PHROG	protein_coding	None	None
5	CT971583.1	EMBL	gene	8547.0	9443.0	.	-	.	gene-SynWH7803_0006	SynWH7803_0006	Gene	protein_coding	SynWH7803_0006	gene-SynWH7803_0006	Secreted Tetratricopeptide protein	Secreted Tetratricopeptide protein	No_PHROG	protein_coding	None	None
6	CT971583.1	EMBL	gene	9459.0	10421.0	.	-	.	gene-SynWH7803_0007	SynWH7803_0007	Gene	protein_coding	SynWH7803_0007	gene-SynWH7803_0007	Uncharacterized Fe-S protein	Uncharacterized Fe-S protein	No_PHROG	protein_coding	None	None
7	CT971583.1	EMBL	gene	10463.0	11122.0	.	+	.	gene-SynWH7803_0008	SynWH7803_0008	Gene	protein_coding	SynWH7803_0008	gene-SynWH7803_0008	Uncharacterized conserved membrane protein	Uncharacterized conserved membrane protein	No_PHROG	protein_coding	None	None
8	CT971583.1	EMBL	gene	11139.0	11909.0	.	+	.	gene-SynWH7803_0009	SynWH7803_0009	Gene	protein_coding	SynWH7803_0009	gene-SynWH7803_0009	Uncharacterized conserved membrane protein	Uncharacterized conserved membrane protein	No_PHROG	protein_coding	None	None
9	CT971583.1	EMBL	gene	11928.0	12560.0	.	+	.	gene-SynWH7803_0010	nusB	Gene	protein_coding	SynWH7803_0010	nusB	Transcription termination factor%2C NusB	Transcription termination factor%2C NusB	No_PHROG	protein_coding	None	None
