	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	ClassThreshold	ClassMax
0	NC_002516.2	RefSeq	gene	483.0	2027.0	.	+	.	gene-PA0001	dnaA	Gene	protein_coding	PA0001	dnaA	chromosome replication initiator DnaA	None	None
1	NC_002516.2	RefSeq	gene	2056.0	3159.0	.	+	.	gene-PA0002	dnaN	Gene	protein_coding	PA0002	dnaN	DNA polymerase III subunit beta	None	None
2	NC_002516.2	RefSeq	gene	3169.0	4278.0	.	+	.	gene-PA0003	recF	Gene	protein_coding	PA0003	recF	DNA replication and repair protein RecF	None	None
3	NC_002516.2	RefSeq	gene	4275.0	6695.0	.	+	.	gene-PA0004	gyrB	Gene	protein_coding	PA0004	gyrB	DNA gyrase subunit B	None	None
4	NC_002516.2	RefSeq	gene	7018.0	7791.0	.	-	.	gene-PA0005	lptA	Gene	protein_coding	PA0005	lptA	lysophosphatidic acid acyltransferase	None	None
5	NC_002516.2	RefSeq	gene	7803.0	8339.0	.	-	.	gene-PA0006	PA0006	Gene	protein_coding	PA0006	gene-PA0006	D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase	None	None
6	NC_002516.2	RefSeq	gene	8671.0	10377.0	.	+	.	gene-PA0007	PA0007	Gene	protein_coding	PA0007	gene-PA0007	hypothetical protein	None	None
7	NC_002516.2	RefSeq	gene	10434.0	12488.0	.	-	.	gene-PA0008	glyS	Gene	protein_coding	PA0008	glyS	glycine--tRNA ligase subunit beta	None	None
8	NC_002516.2	RefSeq	gene	12488.0	13435.0	.	-	.	gene-PA0009	glyQ	Gene	protein_coding	PA0009	glyQ	glycine--tRNA ligase subunit alpha	None	None
9	NC_002516.2	RefSeq	gene	13540.0	14091.0	.	+	.	gene-PA0010	tag	Gene	protein_coding	PA0010	tag	DNA-3-methyladenine glycosidase I	None	None
10	NC_002516.2	RefSeq	gene	14235.0	15122.0	.	+	.	gene-PA0011	PA0011	Gene	protein_coding	PA0011	gene-PA0011	lipid A biosynthesis lauroyl acyltransferase	None	None
11	NC_002516.2	RefSeq	gene	15207.0	15473.0	.	+	.	gene-PA0012	PA0012	Gene	protein_coding	PA0012	gene-PA0012	hypothetical protein	None	None
12	NC_002516.2	RefSeq	gene	15620.0	16273.0	.	+	.	gene-PA0013	PA0013	Gene	protein_coding	PA0013	gene-PA0013	hypothetical protein	None	None
13	NC_002516.2	RefSeq	gene	16335.0	16607.0	.	-	.	gene-PA0014	PA0014	Gene	protein_coding	PA0014	gene-PA0014	hypothetical protein	None	None
14	NC_002516.2	RefSeq	gene	16900.0	17217.0	.	-	.	gene-PA0015	PA0015	Gene	protein_coding	PA0015	gene-PA0015	hypothetical protein	None	None
15	NC_002516.2	RefSeq	gene	17366.0	18739.0	.	-	.	gene-PA0016	trkA	Gene	protein_coding	PA0016	trkA	potassium transporter inner membrane associated protein	None	None
16	NC_002516.2	RefSeq	gene	18767.0	20071.0	.	-	.	gene-PA0017	PA0017	Gene	protein_coding	PA0017	gene-PA0017	Ribosomal RNA small subunit methyltransferase B	None	None
17	NC_002516.2	RefSeq	gene	20068.0	21012.0	.	-	.	gene-PA0018	fmt	Gene	protein_coding	PA0018	fmt	methionyl-tRNA formyltransferase	None	None
18	NC_002516.2	RefSeq	gene	21067.0	21573.0	.	-	.	gene-PA0019	def	Gene	protein_coding	PA0019	def	peptide deformylase	None	None
19	NC_002516.2	RefSeq	gene	21712.0	22737.0	.	+	.	gene-PA0020	PA0020	Gene	protein_coding	PA0020	gene-PA0020	hypothetical protein	None	None
20	NC_002516.2	RefSeq	gene	22872.0	23960.0	.	+	.	gene-PA0021	PA0021	Gene	protein_coding	PA0021	gene-PA0021	hypothetical protein	None	None
21	NC_002516.2	RefSeq	gene	24001.0	24558.0	.	+	.	gene-PA0022	PA0022	Gene	protein_coding	PA0022	gene-PA0022	threonylcarbamoyl-AMP synthase	None	None
22	NC_002516.2	RefSeq	gene	24568.0	25545.0	.	-	.	gene-PA0023	qor	Gene	protein_coding	PA0023	qor	oxygen-dependent quinone oxidoreductase	None	None
23	NC_002516.2	RefSeq	gene	25736.0	26653.0	.	+	.	gene-PA0024	hemF	Gene	protein_coding	PA0024	hemF	coproporphyrinogen III oxidase	None	None
24	NC_002516.2	RefSeq	gene	26711.0	27535.0	.	+	.	gene-PA0025	aroE	Gene	protein_coding	PA0025	aroE	shikimate dehydrogenase	None	None
25	NC_002516.2	RefSeq	gene	27646.0	28632.0	.	+	.	gene-PA0026	plcB	Gene	protein_coding	PA0026	plcB	phospholipase C	None	None
26	NC_002516.2	RefSeq	gene	28613.0	29899.0	.	+	.	gene-PA0027	PA0027	Gene	protein_coding	PA0027	gene-PA0027	hypothetical protein	None	None
27	NC_002516.2	RefSeq	gene	29896.0	30498.0	.	+	.	gene-PA0028	PA0028	Gene	protein_coding	PA0028	gene-PA0028	hypothetical protein	None	None
28	NC_002516.2	RefSeq	gene	30502.0	32055.0	.	-	.	gene-PA0029	PA0029	Gene	protein_coding	PA0029	gene-PA0029	sulfate transporter	None	None
29	NC_002516.2	RefSeq	gene	32060.0	32983.0	.	-	.	gene-PA0030	PA0030	Gene	protein_coding	PA0030	gene-PA0030	hypothetical protein	None	None
30	NC_002516.2	RefSeq	gene	33000.0	34511.0	.	-	.	gene-PA0031	betC	Gene	protein_coding	PA0031	betC	choline sulfatase	None	None
31	NC_002516.2	RefSeq	gene	34624.0	35538.0	.	+	.	gene-PA0032	PA0032	Gene	protein_coding	PA0032	gene-PA0032	transcriptional regulator	None	None
32	NC_002516.2	RefSeq	gene	35549.0	35926.0	.	+	.	gene-PA0032a	PA0032a	Gene	protein_coding	PA0032a	gene-PA0032a	DOPA 4%2C5-dioxygenase	None	None
33	NC_002516.2	RefSeq	gene	35905.0	36270.0	.	-	.	gene-PA0033	PA0033	Gene	protein_coding	PA0033	gene-PA0033	hypothetical protein	None	None
34	NC_002516.2	RefSeq	gene	36278.0	36901.0	.	-	.	gene-PA0034	PA0034	Gene	protein_coding	PA0034	gene-PA0034	two-component response regulator	None	None
35	NC_002516.2	RefSeq	gene	37087.0	37893.0	.	-	.	gene-PA0035	trpA	Gene	protein_coding	PA0035	trpA	tryptophan synthase subunit alpha	None	None
36	NC_002516.2	RefSeq	gene	37890.0	39098.0	.	-	.	gene-PA0036	trpB	Gene	protein_coding	PA0036	trpB	tryptophan synthase subunit beta	None	None
37	NC_002516.2	RefSeq	gene	39202.0	40089.0	.	+	.	gene-PA0037	trpI	Gene	protein_coding	PA0037	trpI	HTH-type transcriptional regulator TrpI	None	None
38	NC_002516.2	RefSeq	gene	40190.0	40405.0	.	+	.	gene-PA0038	PA0038	Gene	protein_coding	PA0038	gene-PA0038	hypothetical protein	None	None
39	NC_002516.2	RefSeq	gene	40589.0	40816.0	.	+	.	gene-PA0039	PA0039	Gene	protein_coding	PA0039	gene-PA0039	hypothetical protein	None	None
40	NC_002516.2	RefSeq	gene	41113.0	42801.0	.	+	.	gene-PA0040	PA0040	Gene	protein_coding	PA0040	gene-PA0040	hypothetical protein	None	None
41	NC_002516.2	RefSeq	gene	42914.0	53521.0	.	+	.	gene-PA0041	PA0041	Gene	protein_coding	PA0041	gene-PA0041	hemagglutinin	None	None
42	NC_002516.2	RefSeq	gene	54121.0	54822.0	.	+	.	gene-PA0041a	PA0041a	Gene	protein_coding	PA0041a	gene-PA0041a	transposase	None	None
43	NC_002516.2	RefSeq	gene	56546.0	56941.0	.	+	.	gene-PA0042	PA0042	Gene	protein_coding	PA0042	gene-PA0042	hypothetical protein	None	None
44	NC_002516.2	RefSeq	gene	57212.0	58594.0	.	-	.	gene-PA0043	PA0043	Gene	protein_coding	PA0043	gene-PA0043	hypothetical protein	None	None
45	NC_002516.2	RefSeq	gene	58786.0	60159.0	.	+	.	gene-PA0044	exoT	Gene	protein_coding	PA0044	exoT	exoenzyme T	None	None
46	NC_002516.2	RefSeq	gene	60656.0	61342.0	.	+	.	gene-PA0045	PA0045	Gene	protein_coding	PA0045	gene-PA0045	hypothetical protein	None	None
47	NC_002516.2	RefSeq	gene	61373.0	61726.0	.	+	.	gene-PA0046	PA0046	Gene	protein_coding	PA0046	gene-PA0046	hypothetical protein	None	None
48	NC_002516.2	RefSeq	gene	61879.0	62388.0	.	+	.	gene-PA0047	PA0047	Gene	protein_coding	PA0047	gene-PA0047	hypothetical protein	None	None
49	NC_002516.2	RefSeq	gene	62403.0	62786.0	.	-	.	gene-PA0048	PA0048	Gene	protein_coding	PA0048	gene-PA0048	transcriptional regulator	None	None
50	NC_002516.2	RefSeq	gene	63068.0	64729.0	.	-	.	gene-PA0049	PA0049	Gene	protein_coding	PA0049	gene-PA0049	hypothetical protein	None	None
51	NC_002516.2	RefSeq	gene	65339.0	65479.0	.	+	.	gene-PA0050	PA0050	Gene	protein_coding	PA0050	gene-PA0050	hypothetical protein	None	None
52	NC_002516.2	RefSeq	gene	66303.0	68135.0	.	+	.	gene-PA0051	phzH	Gene	protein_coding	PA0051	phzH	phenazine-modifying protein	None	None
53	NC_002516.2	RefSeq	gene	68188.0	68616.0	.	-	.	gene-PA0052	PA0052	Gene	protein_coding	PA0052	gene-PA0052	hypothetical protein	None	None
54	NC_002516.2	RefSeq	gene	69543.0	70091.0	.	-	.	gene-PA0054	PA0054	Gene	protein_coding	PA0054	gene-PA0054	RNA 2'-phosphotransferase-like protein	None	None
55	NC_002516.2	RefSeq	gene	70130.0	70636.0	.	-	.	gene-PA0055	PA0055	Gene	protein_coding	PA0055	gene-PA0055	hypothetical protein	None	None
56	NC_002516.2	RefSeq	gene	70702.0	71622.0	.	-	.	gene-PA0056	PA0056	Gene	protein_coding	PA0056	gene-PA0056	transcriptional regulator	None	None
57	NC_002516.2	RefSeq	gene	71730.0	72617.0	.	+	.	gene-PA0057	PA0057	Gene	protein_coding	PA0057	gene-PA0057	hypothetical protein	None	None
58	NC_002516.2	RefSeq	gene	72680.0	73384.0	.	+	.	gene-PA0058	PA0058	Gene	protein_coding	PA0058	gene-PA0058	hypothetical protein	None	None
59	NC_002516.2	RefSeq	gene	73468.0	73923.0	.	+	.	gene-PA0059	osmC	Gene	protein_coding	PA0059	osmC	osmotically inducible protein OsmC	None	None
60	NC_002516.2	RefSeq	gene	74034.0	74267.0	.	+	.	gene-PA0060	PA0060	Gene	protein_coding	PA0060	gene-PA0060	hypothetical protein	None	None
