	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
5678	NC_004629.1	RefSeq	gene	164.0	553.0	.	+	.	gene-PHIKZ001	PHIKZ001	Gene	protein_coding	PHIKZ001	gene-PHIKZ001	PHIKZ001	hypothetical protein	No_PHROG	unknown function	middle	late
5679	NC_004629.1	RefSeq	gene	517.0	1101.0	.	+	.	gene-PHIKZ002	PHIKZ002	Gene	protein_coding	PHIKZ002	gene-PHIKZ002	PHIKZ002	hypothetical protein	16439	unknown function	middle	late
5680	NC_004629.1	RefSeq	gene	1076.0	1582.0	.	+	.	gene-PHIKZ003	PHIKZ003	Gene	protein_coding	PHIKZ003	gene-PHIKZ003	PHIKZ003	hypothetical protein	27208	unknown function	middle	late
5681	NC_004629.1	RefSeq	gene	1582.0	2103.0	.	+	.	gene-PHIKZ004	PHIKZ004	Gene	protein_coding	PHIKZ004	gene-PHIKZ004	dihydrofolate reductase	dihydrofolate reductase	316	DNA, RNA and nucleotide metabolism	middle	late
5682	NC_004629.1	RefSeq	gene	2220.0	2624.0	.	+	.	gene-PHIKZ005	PHIKZ005	Gene	protein_coding	PHIKZ005	gene-PHIKZ005	PHIKZ005	hypothetical protein	7672	unknown function	middle	middle
5683	NC_004629.1	RefSeq	gene	2719.0	3234.0	.	+	.	gene-PHIKZ006	PHIKZ006	Gene	protein_coding	PHIKZ006	gene-PHIKZ006	PHIKZ006	hypothetical protein	18830	unknown function	middle	middle
5684	NC_004629.1	RefSeq	gene	3252.0	3488.0	.	+	.	gene-PHIKZ007	PHIKZ007	Gene	protein_coding	PHIKZ007	gene-PHIKZ007	PHIKZ007	hypothetical protein	20084	unknown function	middle	middle
5685	NC_004629.1	RefSeq	gene	3491.0	3703.0	.	+	.	gene-PHIKZ008	PHIKZ008	Gene	protein_coding	PHIKZ008	gene-PHIKZ008	PHIKZ008	hypothetical protein	38453	unknown function	middle	middle
5686	NC_004629.1	RefSeq	gene	3946.0	4137.0	.	+	.	gene-PHIKZ_p01	PHIKZ_p01	Gene	protein_coding	PHIKZ_p01	gene-PHIKZ_p01	PHIKZ009	hypothetical protein	34630	unknown function	middle	middle
5687	NC_004629.1	RefSeq	gene	4219.0	4479.0	.	+	.	gene-PHIKZ010	PHIKZ010	Gene	protein_coding	PHIKZ010	gene-PHIKZ010	PHIKZ010	hypothetical protein	26983	unknown function	middle	middle
5688	NC_004629.1	RefSeq	gene	4570.0	4719.0	.	+	.	gene-PHIKZ_p02	PHIKZ_p02	Gene	protein_coding	PHIKZ_p02	gene-PHIKZ_p02	PHIKZ010.1	hypothetical protein	15989	unknown function	middle	middle
5689	NC_004629.1	RefSeq	gene	4730.0	5071.0	.	+	.	gene-PHIKZ011	PHIKZ011	Gene	protein_coding	PHIKZ011	gene-PHIKZ011	PHIKZ011	hypothetical protein	23976	unknown function	middle	middle
5690	NC_004629.1	RefSeq	gene	5077.0	5475.0	.	+	.	gene-PHIKZ012	PHIKZ012	Gene	protein_coding	PHIKZ012	gene-PHIKZ012	PHIKZ012	hypothetical protein	27375	unknown function	middle	middle
5691	NC_004629.1	RefSeq	gene	5649.0	6056.0	.	+	.	gene-PHIKZ013	PHIKZ013	Gene	protein_coding	PHIKZ013	gene-PHIKZ013	PHIKZ013	hypothetical protein	24977	unknown function	middle	middle
5692	NC_004629.1	RefSeq	gene	6206.0	7318.0	.	+	.	gene-PHIKZ014	PHIKZ014	Gene	protein_coding	PHIKZ014	gene-PHIKZ014	PHIKZ014	hypothetical protein	16056	unknown function	middle	middle
5693	NC_004629.1	RefSeq	gene	7424.0	8425.0	.	+	.	gene-PHIKZ015	PHIKZ015	Gene	protein_coding	PHIKZ015	gene-PHIKZ015	PHIKZ015	hypothetical protein	24207	unknown function	middle	middle
