	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
5678	MK797984.1	Genbank	gene	122.0	373.0	.	-	.	gene-EST35_0001	EST35_0001	Gene	protein_coding	EST35_0001	gene-EST35_0001	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
5679	MK797984.1	Genbank	gene	408.0	677.0	.	+	.	gene-EST35_0002	EST35_0002	Gene	protein_coding	EST35_0002	gene-EST35_0002	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
5680	MK797984.1	Genbank	gene	681.0	986.0	.	+	.	gene-EST35_0003	EST35_0003	Gene	protein_coding	EST35_0003	gene-EST35_0003	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5681	MK797984.1	Genbank	gene	1003.0	1287.0	.	+	.	gene-EST35_0004	EST35_0004	Gene	protein_coding	EST35_0004	gene-EST35_0004	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5682	MK797984.1	Genbank	gene	1290.0	1565.0	.	+	.	gene-EST35_0005	EST35_0005	Gene	protein_coding	EST35_0005	gene-EST35_0005	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5683	MK797984.1	Genbank	gene	1578.0	1841.0	.	+	.	gene-EST35_0006	EST35_0006	Gene	protein_coding	EST35_0006	gene-EST35_0006	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5684	MK797984.1	Genbank	gene	1838.0	2137.0	.	+	.	gene-EST35_0007	EST35_0007	Gene	protein_coding	EST35_0007	gene-EST35_0007	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5685	MK797984.1	Genbank	gene	2255.0	2368.0	.	+	.	gene-EST35_0008	EST35_0008	Gene	protein_coding	EST35_0008	gene-EST35_0008	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5686	MK797984.1	Genbank	gene	2382.0	2696.0	.	+	.	gene-EST35_0009	EST35_0009	Gene	protein_coding	EST35_0009	gene-EST35_0009	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5687	MK797984.1	Genbank	gene	2696.0	2998.0	.	+	.	gene-EST35_0010	EST35_0010	Gene	protein_coding	EST35_0010	gene-EST35_0010	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5688	MK797984.1	Genbank	gene	2998.0	3255.0	.	+	.	gene-EST35_0011	EST35_0011	Gene	protein_coding	EST35_0011	gene-EST35_0011	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5689	MK797984.1	Genbank	gene	3352.0	3489.0	.	+	.	gene-EST35_0012	EST35_0012	Gene	protein_coding	EST35_0012	gene-EST35_0012	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5690	MK797984.1	Genbank	gene	3490.0	3612.0	.	+	.	gene-EST35_0013	EST35_0013	Gene	protein_coding	EST35_0013	gene-EST35_0013	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5691	MK797984.1	Genbank	gene	3618.0	3743.0	.	+	.	gene-EST35_0014	EST35_0014	Gene	protein_coding	EST35_0014	gene-EST35_0014	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	late
5692	MK797984.1	Genbank	gene	3795.0	3929.0	.	+	.	gene-EST35_0015	EST35_0015	Gene	protein_coding	EST35_0015	gene-EST35_0015	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5693	MK797984.1	Genbank	gene	3904.0	4068.0	.	+	.	gene-EST35_0016	EST35_0016	Gene	protein_coding	EST35_0016	gene-EST35_0016	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5694	MK797984.1	Genbank	gene	4049.0	4198.0	.	+	.	gene-EST35_0017	EST35_0017	Gene	protein_coding	EST35_0017	gene-EST35_0017	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5695	MK797984.1	Genbank	gene	4204.0	4338.0	.	+	.	gene-EST35_0018	EST35_0018	Gene	protein_coding	EST35_0018	gene-EST35_0018	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5696	MK797984.1	Genbank	gene	4325.0	4492.0	.	+	.	gene-EST35_0019	EST35_0019	Gene	protein_coding	EST35_0019	gene-EST35_0019	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5697	MK797984.1	Genbank	gene	4489.0	4647.0	.	+	.	gene-EST35_0020	EST35_0020	Gene	protein_coding	EST35_0020	gene-EST35_0020	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5698	MK797984.1	Genbank	gene	4644.0	4781.0	.	+	.	gene-EST35_0021	EST35_0021	Gene	protein_coding	EST35_0021	gene-EST35_0021	hypothetical protein	hypothetical protein	No_PHROG	unknown function	middle	middle
5699	MK797984.1	Genbank	gene	4819.0	4953.0	.	+	.	gene-EST35_0022	EST35_0022	Gene	protein_coding	EST35_0022	gene-EST35_0022	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5700	MK797984.1	Genbank	gene	5062.0	5208.0	.	+	.	gene-EST35_0023	EST35_0023	Gene	protein_coding	EST35_0023	gene-EST35_0023	phosphoglucomutase	hypothetical protein	No_PHROG	unknown function	early	middle
5701	MK797984.1	Genbank	gene	5208.0	5348.0	.	+	.	gene-EST35_0024	EST35_0024	Gene	protein_coding	EST35_0024	gene-EST35_0024	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5702	MK797984.1	Genbank	gene	5342.0	5515.0	.	+	.	gene-EST35_0025	EST35_0025	Gene	protein_coding	EST35_0025	gene-EST35_0025	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
5703	MK797984.1	Genbank	gene	5505.0	5639.0	.	+	.	gene-EST35_0026	EST35_0026	Gene	protein_coding	EST35_0026	gene-EST35_0026	hypothetical protein	hypothetical protein	No_PHROG	unknown function	early	middle
