	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
4044	NC_021806.1	RefSeq	gene	9.0	266.0	.	+	.	gene-N356_gp001	g001	Gene	protein_coding	N356_gp001	g001	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4045	NC_021806.1	RefSeq	gene	283.0	1278.0	.	+	.	gene-N356_gp002	g002	Gene	protein_coding	N356_gp002	g002	membrane protein	membrane protein	No_PHROG	protein_coding	early	early
4046	NC_021806.1	RefSeq	gene	1984.0	2175.0	.	+	.	gene-N356_gp003	g003	Gene	protein_coding	N356_gp003	g003	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	late
4047	NC_021806.1	RefSeq	gene	2194.0	2904.0	.	+	.	gene-N356_gp004	g004	Gene	protein_coding	N356_gp004	g004	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	late
4048	NC_021806.1	RefSeq	gene	4602.0	4901.0	.	+	.	gene-N356_gp005	g006	Gene	protein_coding	N356_gp005	g006	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4049	NC_021806.1	RefSeq	gene	4912.0	5625.0	.	+	.	gene-N356_gp006	g007	Gene	protein_coding	N356_gp006	g007	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4050	NC_021806.1	RefSeq	gene	5918.0	6154.0	.	+	.	gene-N356_gp007	g008	Gene	protein_coding	N356_gp007	g008	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	middle
4051	NC_021806.1	RefSeq	gene	6141.0	6908.0	.	+	.	gene-N356_gp008	g009	Gene	protein_coding	N356_gp008	g009	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4052	NC_021806.1	RefSeq	gene	6905.0	7168.0	.	+	.	gene-N356_gp009	g010	Gene	protein_coding	N356_gp009	g010	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4053	NC_021806.1	RefSeq	gene	7165.0	7488.0	.	+	.	gene-N356_gp010	g011	Gene	protein_coding	N356_gp010	g011	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4054	NC_021806.1	RefSeq	gene	7494.0	7670.0	.	+	.	gene-N356_gp011	g012	Gene	protein_coding	N356_gp011	g012	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4055	NC_021806.1	RefSeq	gene	7672.0	7887.0	.	+	.	gene-N356_gp012	g013	Gene	protein_coding	N356_gp012	g013	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4056	NC_021806.1	RefSeq	gene	8215.0	8571.0	.	+	.	gene-N356_gp013	g014	Gene	protein_coding	N356_gp013	g014	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4057	NC_021806.1	RefSeq	gene	8582.0	8848.0	.	+	.	gene-N356_gp014	g015	Gene	protein_coding	N356_gp014	g015	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4058	NC_021806.1	RefSeq	gene	8869.0	9177.0	.	+	.	gene-N356_gp015	g016	Gene	protein_coding	N356_gp015	g016	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4059	NC_021806.1	RefSeq	gene	9179.0	9568.0	.	+	.	gene-N356_gp016	g017	Gene	protein_coding	N356_gp016	g017	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4060	NC_021806.1	RefSeq	gene	9636.0	12081.0	.	+	.	gene-N356_gp017	g018x	Gene	protein_coding	N356_gp017	g018x	DNA polymerase	DNA polymerase	No_PHROG	protein_coding	early	middle
4061	NC_021806.1	RefSeq	gene	12085.0	12237.0	.	+	.	gene-N356_gp018	g021	Gene	protein_coding	N356_gp018	g021	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4062	NC_021806.1	RefSeq	gene	12221.0	12823.0	.	+	.	gene-N356_gp019	g022	Gene	protein_coding	N356_gp019	g022	putative replisome organizer protein	putative replisome organizer protein	No_PHROG	protein_coding	early	early
4063	NC_021806.1	RefSeq	gene	12827.0	12985.0	.	+	.	gene-N356_gp020	g023	Gene	protein_coding	N356_gp020	g023	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4064	NC_021806.1	RefSeq	gene	12982.0	13176.0	.	+	.	gene-N356_gp021	g024	Gene	protein_coding	N356_gp021	g024	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4065	NC_021806.1	RefSeq	gene	13222.0	14061.0	.	+	.	gene-N356_gp022	g025	Gene	protein_coding	N356_gp022	g025	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4066	NC_021806.1	RefSeq	gene	14323.0	14838.0	.	+	.	gene-N356_gp023	g026	Gene	protein_coding	N356_gp023	g026	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4067	NC_021806.1	RefSeq	gene	14825.0	15052.0	.	+	.	gene-N356_gp024	g027	Gene	protein_coding	N356_gp024	g027	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4068	NC_021806.1	RefSeq	gene	15121.0	15735.0	.	+	.	gene-N356_gp025	g028	Gene	protein_coding	N356_gp025	g028	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4069	NC_021806.1	RefSeq	gene	15865.0	16707.0	.	+	.	gene-N356_gp026	g029	Gene	protein_coding	N356_gp026	g029	DnaB replicative DNA helicase	DnaB replicative DNA helicase	No_PHROG	protein_coding	early	early
4070	NC_021806.1	RefSeq	gene	16861.0	17484.0	.	+	.	gene-N356_gp027	g030	Gene	protein_coding	N356_gp027	g030	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4071	NC_021806.1	RefSeq	gene	17489.0	17926.0	.	+	.	gene-N356_gp028	g031	Gene	protein_coding	N356_gp028	g031	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4072	NC_021806.1	RefSeq	gene	17940.0	19016.0	.	+	.	gene-N356_gp029	g032	Gene	protein_coding	N356_gp029	g032	flavin-dependent thymidylate synthase	flavin-dependent thymidylate synthase	No_PHROG	protein_coding	early	early
4073	NC_021806.1	RefSeq	gene	19023.0	19526.0	.	+	.	gene-N356_gp030	g033	Gene	protein_coding	N356_gp030	g033	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	middle
4074	NC_021806.1	RefSeq	gene	19565.0	20239.0	.	+	.	gene-N356_gp031	g034	Gene	protein_coding	N356_gp031	g034	Sak4-like ssDNA annealing protein	Sak4-like ssDNA annealing protein	No_PHROG	protein_coding	early	middle
4075	NC_021806.1	RefSeq	gene	20253.0	20921.0	.	+	.	gene-N356_gp032	g035	Gene	protein_coding	N356_gp032	g035	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	middle
4076	NC_021806.1	RefSeq	gene	20971.0	22044.0	.	+	.	gene-N356_gp033	g036	Gene	protein_coding	N356_gp033	g036	DNA primase	DNA primase	No_PHROG	protein_coding	early	early
4077	NC_021806.1	RefSeq	gene	22025.0	22510.0	.	+	.	gene-N356_gp034	g037	Gene	protein_coding	N356_gp034	g037	gamma-glutamyl cyclotransferase	gamma-glutamyl cyclotransferase	No_PHROG	protein_coding	early	early
4078	NC_021806.1	RefSeq	gene	22510.0	23379.0	.	+	.	gene-N356_gp035	g038	Gene	protein_coding	N356_gp035	g038	ribosomal protein S6 glutaminyl transferase	ribosomal protein S6 glutaminyl transferase	No_PHROG	protein_coding	early	early
4079	NC_021806.1	RefSeq	gene	23376.0	24194.0	.	+	.	gene-N356_gp036	g039	Gene	protein_coding	N356_gp036	g039	COOH.NH2 ligase	COOH.NH2 ligase	No_PHROG	protein_coding	early	early
4080	NC_021806.1	RefSeq	gene	24201.0	26117.0	.	+	.	gene-N356_gp037	g040	Gene	protein_coding	N356_gp037	g040	aminotransferase	aminotransferase	No_PHROG	protein_coding	early	early
4081	NC_021806.1	RefSeq	gene	26122.0	27669.0	.	+	.	gene-N356_gp038	g041	Gene	protein_coding	N356_gp038	g041	amidoligase enzyme	amidoligase enzyme	No_PHROG	protein_coding	early	early
4082	NC_021806.1	RefSeq	gene	27660.0	28370.0	.	+	.	gene-N356_gp039	g042	Gene	protein_coding	N356_gp039	g042	uracil-DNA glycosylase	uracil-DNA glycosylase	No_PHROG	protein_coding	early	early
4083	NC_021806.1	RefSeq	gene	28342.0	28527.0	.	+	.	gene-N356_gp040	g043	Gene	protein_coding	N356_gp040	g043	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4084	NC_021806.1	RefSeq	gene	28554.0	28931.0	.	+	.	gene-N356_gp041	g044	Gene	protein_coding	N356_gp041	g044	RusA-like Holliday junction resolvase	RusA-like Holliday junction resolvase	No_PHROG	protein_coding	early	early
4085	NC_021806.1	RefSeq	gene	28935.0	29213.0	.	+	.	gene-N356_gp042	g045	Gene	protein_coding	N356_gp042	g045	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4086	NC_021806.1	RefSeq	gene	29194.0	30636.0	.	+	.	gene-N356_gp043	g046	Gene	protein_coding	N356_gp043	g046	exonuclease	exonuclease	No_PHROG	protein_coding	early	early
4087	NC_021806.1	RefSeq	gene	30650.0	31249.0	.	+	.	gene-N356_gp044	g047	Gene	protein_coding	N356_gp044	g047	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4088	NC_021806.1	RefSeq	gene	31246.0	31647.0	.	+	.	gene-N356_gp045	g048	Gene	protein_coding	N356_gp045	g048	pyrophosphatase	pyrophosphatase	No_PHROG	protein_coding	early	early
4089	NC_021806.1	RefSeq	gene	31631.0	31840.0	.	+	.	gene-N356_gp046	g049	Gene	protein_coding	N356_gp046	g049	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4090	NC_021806.1	RefSeq	gene	31843.0	32805.0	.	+	.	gene-N356_gp047	g050	Gene	protein_coding	N356_gp047	g050	ribonucleoside reductase beta chain	ribonucleoside reductase beta chain	No_PHROG	protein_coding	early	middle
4091	NC_021806.1	RefSeq	gene	32817.0	33023.0	.	+	.	gene-N356_gp048	g051	Gene	protein_coding	N356_gp048	g051	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4092	NC_021806.1	RefSeq	gene	33023.0	33451.0	.	+	.	gene-N356_gp049	g052	Gene	protein_coding	N356_gp049	g052	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	middle
4093	NC_021806.1	RefSeq	gene	33495.0	33650.0	.	+	.	gene-N356_gp050	g053	Gene	protein_coding	N356_gp050	g053	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	middle
4094	NC_021806.1	RefSeq	gene	33695.0	35422.0	.	+	.	gene-N356_gp051	g054	Gene	protein_coding	N356_gp051	g054	ribonucleoside-diphosphate reductase large subunit	ribonucleoside-diphosphate reductase large subunit	No_PHROG	protein_coding	early	early
4095	NC_021806.1	RefSeq	gene	35504.0	36562.0	.	+	.	gene-N356_gp052	g055	Gene	protein_coding	N356_gp052	g055	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	middle
4096	NC_021806.1	RefSeq	gene	36569.0	37780.0	.	+	.	gene-N356_gp053	g056	Gene	protein_coding	N356_gp053	g056	SNF2-family helicase	SNF2-family helicase	No_PHROG	protein_coding	early	early
4097	NC_021806.1	RefSeq	gene	37777.0	38106.0	.	+	.	gene-N356_gp054	g057	Gene	protein_coding	N356_gp054	g057	dATP / dGTP pyrophosphohydrolase	dATP / dGTP pyrophosphohydrolase	No_PHROG	protein_coding	early	early
4098	NC_021806.1	RefSeq	gene	38096.0	38530.0	.	+	.	gene-N356_gp055	g058	Gene	protein_coding	N356_gp055	g058	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4099	NC_021806.1	RefSeq	gene	38534.0	38821.0	.	+	.	gene-N356_gp056	g059	Gene	protein_coding	N356_gp056	g059	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4100	NC_021806.1	RefSeq	gene	38811.0	39218.0	.	+	.	gene-N356_gp057	g060	Gene	protein_coding	N356_gp057	g060	phosphoheptose isomerase	phosphoheptose isomerase	No_PHROG	protein_coding	early	early
4101	NC_021806.1	RefSeq	gene	39219.0	39773.0	.	+	.	gene-N356_gp058	g061	Gene	protein_coding	N356_gp058	g061	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4102	NC_021806.1	RefSeq	gene	39791.0	40072.0	.	+	.	gene-N356_gp059	N356_gp059	Gene	protein_coding	N356_gp059	gene-N356_gp059	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4103	NC_021806.1	RefSeq	gene	40072.0	40581.0	.	+	.	gene-N356_gp060	g063	Gene	protein_coding	N356_gp060	g063	metallophosphatase	metallophosphatase	No_PHROG	protein_coding	early	early
4104	NC_021806.1	RefSeq	gene	40578.0	40937.0	.	+	.	gene-N356_gp061	g064	Gene	protein_coding	N356_gp061	g064	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	early
4105	NC_021806.1	RefSeq	gene	40997.0	45262.0	.	-	.	gene-N356_gp062	g065	Gene	protein_coding	N356_gp062	g065	RNA polymerase accociated protein	RNA polymerase accociated protein	No_PHROG	protein_coding	middle	late
4106	NC_021806.1	RefSeq	gene	45265.0	51807.0	.	-	.	gene-N356_gp063	g066	Gene	protein_coding	N356_gp063	g066	Catalytic RNA polymerase subunit	Catalytic RNA polymerase subunit	No_PHROG	protein_coding	middle	late
4107	NC_021806.1	RefSeq	gene	51807.0	57200.0	.	-	.	gene-N356_gp064	g067	Gene	protein_coding	N356_gp064	g067	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4108	NC_021806.1	RefSeq	gene	57200.0	58939.0	.	-	.	gene-N356_gp065	g068	Gene	protein_coding	N356_gp065	g068	structural protein	structural protein	No_PHROG	protein_coding	middle	late
4109	NC_021806.1	RefSeq	gene	58983.0	60245.0	.	-	.	gene-N356_gp066	g069	Gene	protein_coding	N356_gp066	g069	structural protein	structural protein	No_PHROG	protein_coding	middle	late
4110	NC_021806.1	RefSeq	gene	60360.0	62141.0	.	-	.	gene-N356_gp067	g070	Gene	protein_coding	N356_gp067	g070	tail protein	tail protein	No_PHROG	protein_coding	middle	late
4111	NC_021806.1	RefSeq	gene	62219.0	66241.0	.	-	.	gene-N356_gp068	g071	Gene	protein_coding	N356_gp068	g071	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4112	NC_021806.1	RefSeq	gene	66241.0	66972.0	.	-	.	gene-N356_gp069	g072	Gene	protein_coding	N356_gp069	g072	Tail tubular protein (P22 gp4-like)	Tail tubular protein (P22 gp4-like)	No_PHROG	protein_coding	middle	late
4113	NC_021806.1	RefSeq	gene	66965.0	67471.0	.	-	.	gene-N356_gp070	g073	Gene	protein_coding	N356_gp070	g073	IHF subunit	IHF subunit	No_PHROG	protein_coding	middle	late
4114	NC_021806.1	RefSeq	gene	67461.0	68138.0	.	-	.	gene-N356_gp071	g074	Gene	protein_coding	N356_gp071	g074	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4115	NC_021806.1	RefSeq	gene	68229.0	69152.0	.	-	.	gene-N356_gp072	g075	Gene	protein_coding	N356_gp072	g075	Calcineurin-like phosphoesterase/ Metallophosphatase	Calcineurin-like phosphoesterase/ Metallophosphatase	No_PHROG	protein_coding	middle	late
4116	NC_021806.1	RefSeq	gene	69230.0	69808.0	.	-	.	gene-N356_gp073	g076	Gene	protein_coding	N356_gp073	g076	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4117	NC_021806.1	RefSeq	gene	69795.0	70358.0	.	-	.	gene-N356_gp074	g077	Gene	protein_coding	N356_gp074	g077	endolysin	endolysin	No_PHROG	protein_coding	middle	late
4118	NC_021806.1	RefSeq	gene	70355.0	70984.0	.	-	.	gene-N356_gp075	g078	Gene	protein_coding	N356_gp075	g078	PAS fold protein	PAS fold protein	No_PHROG	protein_coding	late	late
4119	NC_021806.1	RefSeq	gene	70997.0	71338.0	.	-	.	gene-N356_gp076	g079	Gene	protein_coding	N356_gp076	g079	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	late	late
4120	NC_021806.1	RefSeq	gene	71338.0	72069.0	.	-	.	gene-N356_gp077	g080	Gene	protein_coding	N356_gp077	g080	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4121	NC_021806.1	RefSeq	gene	72084.0	73757.0	.	-	.	gene-N356_gp078	g081	Gene	protein_coding	N356_gp078	g081	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4122	NC_021806.1	RefSeq	gene	73754.0	73900.0	.	-	.	gene-N356_gp079	g082	Gene	protein_coding	N356_gp079	g082	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	late	late
4123	NC_021806.1	RefSeq	gene	73888.0	74934.0	.	-	.	gene-N356_gp080	g083	Gene	protein_coding	N356_gp080	g083	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4124	NC_021806.1	RefSeq	gene	74936.0	75196.0	.	-	.	gene-N356_gp081	g084	Gene	protein_coding	N356_gp081	g084	virion structural protein	virion structural protein	No_PHROG	protein_coding	middle	late
4125	NC_021806.1	RefSeq	gene	75207.0	76778.0	.	-	.	gene-N356_gp082	g085	Gene	protein_coding	N356_gp082	g085	tail protein	tail protein	No_PHROG	protein_coding	middle	late
4126	NC_021806.1	RefSeq	gene	76800.0	80627.0	.	-	.	gene-N356_gp083	g086	Gene	protein_coding	N356_gp083	g086	pectate lyase	pectate lyase	No_PHROG	protein_coding	middle	late
4127	NC_021806.1	RefSeq	gene	80646.0	81206.0	.	-	.	gene-N356_gp084	g087	Gene	protein_coding	N356_gp084	g087	structural protein	structural protein	No_PHROG	protein_coding	middle	late
4128	NC_021806.1	RefSeq	gene	81296.0	82312.0	.	-	.	gene-N356_gp085	g088	Gene	protein_coding	N356_gp085	g088	Putative structural protein	Putative structural protein	No_PHROG	protein_coding	middle	late
4129	NC_021806.1	RefSeq	gene	82340.0	83065.0	.	-	.	gene-N356_gp086	g089	Gene	protein_coding	N356_gp086	g089	Putative structural protein	Putative structural protein	No_PHROG	protein_coding	middle	late
4130	NC_021806.1	RefSeq	gene	83065.0	83949.0	.	-	.	gene-N356_gp087	g090	Gene	protein_coding	N356_gp087	g090	Putative structural protein	Putative structural protein	No_PHROG	protein_coding	middle	late
4131	NC_021806.1	RefSeq	gene	84012.0	85535.0	.	-	.	gene-N356_gp088	g091	Gene	protein_coding	N356_gp088	g091	major head protein	major head protein	No_PHROG	protein_coding	middle	late
4132	NC_021806.1	RefSeq	gene	85567.0	86691.0	.	-	.	gene-N356_gp089	g092	Gene	protein_coding	N356_gp089	g092	Putative structural protein	Putative structural protein	No_PHROG	protein_coding	middle	late
4133	NC_021806.1	RefSeq	gene	86799.0	89171.0	.	-	.	gene-N356_gp090	g093	Gene	protein_coding	N356_gp090	g093	portal protein	portal protein	No_PHROG	protein_coding	middle	late
4134	NC_021806.1	RefSeq	gene	89246.0	91666.0	.	-	.	gene-N356_gp091	g094	Gene	protein_coding	N356_gp091	g094	terminase large subunit	terminase large subunit	No_PHROG	protein_coding	middle	late
4135	NC_021806.1	RefSeq	gene	91676.0	92263.0	.	-	.	gene-N356_gp092	g095	Gene	protein_coding	N356_gp092	g095	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4136	NC_021806.1	RefSeq	gene	92263.0	92652.0	.	-	.	gene-N356_gp093	g096	Gene	protein_coding	N356_gp093	g096	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4137	NC_021806.1	RefSeq	gene	92636.0	92866.0	.	-	.	gene-N356_gp094	g097	Gene	protein_coding	N356_gp094	g097	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4138	NC_021806.1	RefSeq	gene	92859.0	93239.0	.	-	.	gene-N356_gp095	g098	Gene	protein_coding	N356_gp095	g098	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4139	NC_021806.1	RefSeq	gene	93229.0	93471.0	.	-	.	gene-N356_gp096	g099	Gene	protein_coding	N356_gp096	g099	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4140	NC_021806.1	RefSeq	gene	93649.0	93948.0	.	-	.	gene-N356_gp097	g100	Gene	protein_coding	N356_gp097	g100	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4141	NC_021806.1	RefSeq	gene	93920.0	94129.0	.	-	.	gene-N356_gp098	g101	Gene	protein_coding	N356_gp098	g101	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4142	NC_021806.1	RefSeq	gene	94131.0	94451.0	.	-	.	gene-N356_gp099	g102	Gene	protein_coding	N356_gp099	g102	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4143	NC_021806.1	RefSeq	gene	94438.0	94578.0	.	-	.	gene-N356_gp100	g103	Gene	protein_coding	N356_gp100	g103	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4144	NC_021806.1	RefSeq	gene	94568.0	94969.0	.	-	.	gene-N356_gp101	g104	Gene	protein_coding	N356_gp101	g104	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4145	NC_021806.1	RefSeq	gene	94971.0	96443.0	.	-	.	gene-N356_gp102	g105	Gene	protein_coding	N356_gp102	g105	chaperonin groEL	chaperonin groEL	No_PHROG	protein_coding	middle	late
4146	NC_021806.1	RefSeq	gene	96421.0	96678.0	.	-	.	gene-N356_gp103	g106	Gene	protein_coding	N356_gp103	g106	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4147	NC_021806.1	RefSeq	gene	96678.0	96911.0	.	-	.	gene-N356_gp104	g107	Gene	protein_coding	N356_gp104	g107	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4148	NC_021806.1	RefSeq	gene	96963.0	97118.0	.	-	.	gene-N356_gp105	g108	Gene	protein_coding	N356_gp105	g108	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4149	NC_021806.1	RefSeq	gene	97152.0	97343.0	.	-	.	gene-N356_gp106	g109	Gene	protein_coding	N356_gp106	g109	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4150	NC_021806.1	RefSeq	gene	97531.0	97752.0	.	-	.	gene-N356_gp107	g110	Gene	protein_coding	N356_gp107	g110	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	middle	late
4151	NC_021806.1	RefSeq	gene	98111.0	98317.0	.	+	.	gene-N356_gp108	g111	Gene	protein_coding	N356_gp108	g111	hypothetical protein	hypothetical protein	No_PHROG	protein_coding	early	late
