replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NC_002505.1	gene-VC_RS00855	dCTPdeaminase__dCTPdeaminase	157	defense-finder-models/DefenseFinder/dCTPdeaminase/dCTPdeaminase	NC_002505.1_dCTPdeaminase_10	1	1	1.0	1.0	1	dCTPdeaminase__dCTPdeaminase	mandatory	529	1.0999999999999999e-148	493.2	0.972	0.932	22	514			dCTPdeaminase	dCTPdeaminase	Defense
NC_002505.1	gene-VC_RS00880	CBASS__Phospholipase	162	defense-finder-models/DefenseFinder/CBASS/CBASS_II	NC_002505.1_CBASS_II_3	1	1	1.0	3.0	1	CBASS__Effector_2TM_S_2TMBeta	mandatory	355	9.1e-115	380.6	0.942	0.963	11	352		NC_002505.1_CBASS_1,NC_002505.1_CBASS_I_2	CBASS	CBASS_II	Defense
NC_002505.1	gene-VC_RS00885	CBASS__Cyclase_II	163	defense-finder-models/DefenseFinder/CBASS/CBASS_II	NC_002505.1_CBASS_II_3	1	1	1.0	3.0	1	CBASS__Cyclase_SMODS	mandatory	436	5.8e-51	170.7	0.956	0.931	20	425		NC_002505.1_CBASS_1,NC_002505.1_CBASS_I_2	CBASS	CBASS_II	Defense
NC_002505.1	gene-VC_RS00890	CBASS__AG_E2_Prok-E2_B	164	defense-finder-models/DefenseFinder/CBASS/CBASS_II	NC_002505.1_CBASS_II_3	1	1	1.0	3.0	1	CBASS__E2	mandatory	584	6.8e-40	133.1	0.993	0.241	12	152		NC_002505.1_CBASS_1	CBASS	CBASS_II	Defense
NC_002505.1	gene-VC_RS00895	CBASS__Jab	165	defense-finder-models/DefenseFinder/CBASS/CBASS_II	NC_002505.1_CBASS_II_3	1	1	1.0	3.0	1	CBASS__E2	mandatory	155	1.1000000000000002e-59	198.6	0.763	0.981	1	152		NC_002505.1_CBASS_1	CBASS	CBASS_II	Defense
NC_002505.1	gene-VC_RS02500	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	448	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	NC_002505.1_Lamassu-Cap4_nuclease_6	1	1	1.0	2.5	1	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	mandatory	653	5.6e-128	425.8	0.995	0.998	1	652			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
NC_002505.1	gene-VC_RS02505	Lamassu-Fam__LmuC_acc_Cap4_nuclease	449	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	NC_002505.1_Lamassu-Cap4_nuclease_6	1	1	1.0	2.5	1	Lamassu-Fam__LmuC_acc_Lipase	accessory	170	2e-11	41.9	0.951	0.935	9	167			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
NC_002505.1	gene-VC_RS02510	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	450	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	NC_002505.1_Lamassu-Cap4_nuclease_6	1	1	1.0	2.5	1	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	mandatory	388	6.899999999999999e-49	165.2	0.984	0.979	4	383			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
NC_002505.1	gene-VC_RS04805	GAPS2__GAPS2	877	defense-finder-models/DefenseFinder/GAPS2/GAPS2	NC_002505.1_GAPS2_5	1	1	1.0	1.0	1	GAPS2__GAPS2	mandatory	669	3.4e-33	112.5	0.987	0.996	2	667			GAPS2	GAPS2	Defense
NC_002505.1	gene-VC_RS08505	Zorya_TypeI__ZorC	1595	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeI	NC_002505.1_Zorya_TypeI_9	1	1	0.75	3.0	1	Zorya_TypeI__ZorC	mandatory	483	1.4e-25	87.3	0.446	0.567	184	457			Zorya	Zorya_TypeI	Defense
