hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-Syncc8109_0179	CP006882	171	794	UG35__UvrD	3.5e-67	224.4	0.462	0.506	95	496
gene-Syncc8109_0179	CP006882	171	794	Gabija__GajB_2	8.6e-100	332.2	0.772	0.872	6	697
gene-Syncc8109_0206	CP006882	195	413	Veles__VlsB1	5.9e-124	411.1	0.954	0.91	17	392
gene-Syncc8109_0206	CP006882	195	413	Veles__VlsB2	1.3e-124	413.4	0.915	0.908	17	391
gene-Syncc8109_0401	CP006882	379	378	CBASS__AG_E1_ThiF	1.9e-61	204.8	0.98	0.619	15	248
gene-Syncc8109_0434	CP006882	408	159	Veles__VlsC2	4.9999999999999996e-33	111.5	0.946	0.943	5	154
gene-Syncc8109_0434	CP006882	408	159	Veles__VlsC1	5.9e-34	114.6	0.973	0.975	1	155
gene-Syncc8109_0542	CP006882	505	470	PsyrTA__PsyrT	1.5e-81	271.8	0.466	0.674	2	318
gene-Syncc8109_0976	CP006882	924	1206	Gabija__GajB_2	1.3e-33	113.6	0.554	0.551	162	825
gene-Syncc8109_0977	CP006882	925	526	recD_IV-D_1	3.4e-45	151.7	0.499	0.77	118	522
gene-Syncc8109_1000	CP006882	948	846	Dodola__DolB	3.0999999999999997e-22	76.4	0.432	0.207	510	684
gene-Syncc8109_1017	CP006882	965	331	narp1_adps	2.4e-62	208.0	0.889	0.867	42	328
gene-Syncc8109_1205	CP006882	1149	829	BREX__brxHI	1.2999999999999999e-54	183.0	0.747	0.656	31	574
gene-Syncc8109_1288	CP006882	1229	392	Dnd__DndA	6.1e-70	233.3	0.966	0.946	8	378
gene-Syncc8109_1520	CP006882	1455	682	UG6__DnaG	1.6e-25	87.1	0.904	0.475	38	361
gene-Syncc8109_1545	CP006882	1479	256	DEDDh_I_II_III_IV_V_VI_1	1.5e-24	84.3	0.994	0.602	28	181
gene-Syncc8109_1681	CP006882	1612	862	Dodola__DolB	1.2e-26	91.0	0.656	0.325	560	839
gene-Syncc8109_1972	CP006882	1890	249	Dpd__FolE	2.7000000000000002e-30	102.6	0.989	0.723	62	241
gene-Syncc8109_2065	CP006882	1978	986	UG9__DNA_pol	6.9e-23	78.5	0.694	0.407	568	968
gene-Syncc8109_2158	CP006882	2067	256	Gao_Qat__QatD	1.8e-15	54.2	0.945	0.98	2	252
gene-Syncc8109_2245	CP006882	2145	183	ShosTA__ShosT	9.6e-07	26.0	0.435	0.65	24	142
gene-Syncc8109_2259	CP006882	2159	431	Eleos__LeoA	2.5e-16	56.9	0.422	0.506	42	259
gene-Syncc8109_2341	CP006882	2236	1184	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.1e-10	37.0	0.555	0.329	725	1113
gene-Syncc8109_2363	CP006882	2256	426	Dnd__DndA	8.800000000000001e-36	120.9	0.613	0.54	38	267
gene-Syncc8109_2442	CP006882	2325	306	Dpd__QueD	5.6e-10	36.9	0.792	0.356	161	269
gene-Syncc8109_2540	CP006882	2421	390	Dnd__DndA	9.7e-115	380.7	0.979	0.928	17	378
gene-Syncc8109_2584	CP006882	2465	921	Dodola__DolB	4.7e-23	79.1	0.651	0.303	612	890
gene-Syncc8109_2601	CP006882	2482	1065	Zorya_TypeI__ZorD	1.1999999999999998e-93	312.0	0.463	0.45	568	1046
gene-Syncc8109_2663	CP006882	2543	205	Dpd__QueE	3.3e-14	50.2	0.62	0.649	72	204
gene-Syncc8109_2665	CP006882	2545	226	CBASS__QueC	5.1999999999999996e-27	92.4	0.952	0.92	3	210
gene-Syncc8109_2665	CP006882	2545	226	Dpd__QueC	7.499999999999999e-41	137.1	0.941	0.934	5	215
