Orthogroup	CP000029.1	CP001340.1	CP027476.1	CP045224.1	CP045225.1	NC_002516.2	NC_009641.1	NC_017564.1	NC_017565.1	NC_018289.1	NZ_CP059180.1	U00096.3
OG0004575												gene-b4795
OG0004579										gene-MSMEI_RS10580		
OG0004580								gene-Y11_RS07030				
OG0004581										gene-MSMEI_RS01045		
OG0004582								gene-Y11_RS02670				
OG0004583										gene-MSMEI_RS29200		
OG0004584						gene-PA1837a						
OG0004585										gene-MSMEI_RS06370		
OG0004586				gene-FTB24_16965								
OG0004587				gene-FTB24_06010								
OG0004588												gene-b1145
OG0004589	gene-SERP1629											
OG0004590				gene-FTB24_03655								
OG0004591						gene-PA2661						
OG0004592										gene-MSMEI_RS27785		
OG0004593		gene-CCNA_02919										
OG0004594				gene-FTB24_02260								
OG0004595								gene-Y11_RS23910				
OG0004596		gene-CCNA_02517										
OG0004597		gene-CCNA_01724										
OG0004598												gene-b4725
OG0004599				gene-FTB24_10770								
OG0004600									gene-Y11_RS20790			
OG0004601										gene-MSMEI_RS05935		
OG0004602	gene-SERP1566											
OG0004603						gene-PA4384						
OG0004604				gene-FTB24_06965								
OG0004605				gene-FTB24_08535								
OG0004606				gene-FTB24_11615								
OG0004607												gene-b2205
OG0004608			gene-NRS_1417									
OG0004609										gene-MSMEI_RS00505		
OG0004610								gene-Y11_RS05250				
OG0004611		gene-CCNA_00948										
OG0004612		gene-CCNA_03072										
OG0004613										gene-MSMEI_RS08790		
OG0004614										gene-MSMEI_RS35885		
OG0004615										gene-MSMEI_RS20850		
OG0004616										gene-MSMEI_RS25720		
OG0004617		gene-CCNA_02089										
OG0004618				gene-FTB24_01640								
OG0004619	gene-SERP1377											
OG0004620								gene-Y11_RS15405				
OG0004621						gene-PA2663						
OG0004622						gene-PA0385						
OG0004623								gene-Y11_RS20320				
OG0004624				gene-FTB24_12265								
OG0004625		gene-CCNA_01296										
OG0004626	gene-SERP0628											
OG0004627	gene-SERP1530											
OG0004628		gene-CCNA_03917										
OG0004629						gene-PA0414						
OG0004630						gene-PA2224						
OG0004631										gene-MSMEI_RS18100		
OG0004632		gene-CCNA_03922										
OG0004633	gene-SERP2085											
OG0004634		gene-CCNA_02086										
OG0004635										gene-MSMEI_RS25375		
OG0004636		gene-CCNA_01801										
OG0004637				gene-FTB24_15260								
OG0004638			gene-NRS_2547									
OG0004639		gene-CCNA_03349										
OG0004640												gene-b4738
OG0004641						gene-PA3451						
OG0004642						gene-PA4630						
OG0004643												gene-b2034
OG0004644				gene-FTB24_17235								
OG0004645												gene-b3677
OG0004646										gene-MSMEI_RS09585		
OG0004647										gene-MSMEI_RS31470		
OG0004648	gene-SERP1520											
OG0004649						gene-PA2669						
OG0004650				gene-FTB24_05490								
OG0004651				gene-FTB24_12785								
OG0004652												gene-b1171
OG0004653												gene-b2443
OG0004654				gene-FTB24_12150								
OG0004655										gene-MSMEI_RS35890		
OG0004656		gene-CCNA_02866										
OG0004657						gene-PA1348						
OG0004658										gene-MSMEI_RS19415		
OG0004659										gene-MSMEI_RS28315		
OG0004660										gene-MSMEI_RS04025		
OG0004661				gene-FTB24_14455								
OG0004662		gene-CCNA_03882										
OG0004663										gene-MSMEI_RS17410		
OG0004664										gene-MSMEI_RS26705		
OG0004665				gene-FTB24_03260								
OG0004666										gene-MSMEI_RS27855		
OG0004667								gene-Y11_RS10705				
OG0004668		gene-CCNA_03988										
OG0004669	gene-SERP2214											
OG0004670		gene-CCNA_03525										
OG0004671				gene-FTB24_07455								
OG0004672				gene-FTB24_09130								
OG0004673										gene-MSMEI_RS31480		
OG0004674						gene-PA3952						
OG0004675				gene-FTB24_16430								
OG0004676		gene-CCNA_03972										
OG0004677												gene-b0056
OG0004678												gene-b0013
OG0004679				gene-FTB24_07900								
OG0004680				gene-FTB24_09365								
OG0004681										gene-MSMEI_RS03225		
OG0004682										gene-MSMEI_RS21685		
OG0004683										gene-MSMEI_RS13020		
OG0004684	gene-SERP1903											
OG0004685		gene-CCNA_02004										
OG0004686		gene-CCNA_02741										
OG0004687		gene-CCNA_01007										
OG0004688		gene-CCNA_00859										
OG0004689		gene-CCNA_00409										
OG0004690				gene-FTB24_15425								
OG0004691										gene-MSMEI_RS23515		
OG0004692		gene-CCNA_03813										
OG0004693	gene-SERP1890											
OG0004694						gene-PA5515						
OG0004695						gene-PA3663						
OG0004696		gene-CCNA_00934										
OG0004697		gene-CCNA_00150										
OG0004698												gene-b2056
OG0004699				gene-FTB24_14985								
OG0004700						gene-PA4349						
OG0004701										gene-MSMEI_RS20915		
OG0004702								gene-Y11_RS19885				
OG0004703				gene-FTB24_14645								
OG0004704												gene-b1957
OG0004705												gene-b2971
OG0004706										gene-MSMEI_RS18680		
OG0004707		gene-CCNA_00617										
OG0004708										gene-MSMEI_RS16040		
OG0004709						gene-PA0284						
OG0004710										gene-MSMEI_RS33925		
OG0004711		gene-CCNA_02066										
OG0004712								gene-Y11_RS04380				
OG0004713							gene-NWMN_RS11050					
OG0004714						gene-PA1431						
OG0004715				gene-FTB24_00985								
OG0004716										gene-MSMEI_RS07875		
OG0004717		gene-CCNA_02872										
OG0004718		gene-CCNA_00724										
OG0004719						gene-PA2439						
OG0004720												gene-b1755
OG0004721				gene-FTB24_14375								
OG0004722										gene-MSMEI_RS30970		
OG0004723										gene-MSMEI_RS06730		
OG0004724										gene-MSMEI_RS04805		
OG0004725				gene-FTB24_01170								
OG0004726								gene-Y11_RS07680				
OG0004727		gene-CCNA_03728										
OG0004728				gene-FTB24_17615								
OG0004729						gene-PA0690						
OG0004730										gene-MSMEI_RS28450		
OG0004731										gene-MSMEI_RS27540		
