# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13084821_sorted.bam" "SRR13084827_sorted.bam" "SRR13084839_sorted.bam" "SRR13084830_sorted.bam" "SRR13084822_sorted.bam" "SRR13084838_sorted.bam" "SRR13084833_sorted.bam" "SRR13084829_sorted.bam" "SRR13084817_sorted.bam" "SRR13084834_sorted.bam" "SRR13084835_sorted.bam" "SRR13084831_sorted.bam" "SRR13084828_sorted.bam" "SRR13084826_sorted.bam" "SRR13084823_sorted.bam" "SRR13084840_sorted.bam" "SRR13084818_sorted.bam" "SRR13084820_sorted.bam" "SRR13084836_sorted.bam" "SRR13084825_sorted.bam" "SRR13084832_sorted.bam" "SRR13084824_sorted.bam" "SRR13084819_sorted.bam" "SRR13084837_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13084821_sorted.bam	SRR13084827_sorted.bam	SRR13084839_sorted.bam	SRR13084830_sorted.bam	SRR13084822_sorted.bam	SRR13084838_sorted.bam	SRR13084833_sorted.bam	SRR13084829_sorted.bam	SRR13084817_sorted.bam	SRR13084834_sorted.bam	SRR13084835_sorted.bam	SRR13084831_sorted.bam	SRR13084828_sorted.bam	SRR13084826_sorted.bam	SRR13084823_sorted.bam	SRR13084840_sorted.bam	SRR13084818_sorted.bam	SRR13084820_sorted.bam	SRR13084836_sorted.bam	SRR13084825_sorted.bam	SRR13084832_sorted.bam	SRR13084824_sorted.bam	SRR13084819_sorted.bam	SRR13084837_sorted.bam
gene-b0001	U00096.3	190	255	+	66	1598	1359	1839	2999	2124	6911	1053	3886	7394	2423	7241	1796	2461	2773	9522	1734	2620	1694	8060	1745	6371	2605	1368	2705
gene-b0002	U00096.3	337	2799	+	2463	4595	3087	4410	6816	2615	4720	3434	11868	16256	3312	12873	6259	3302	5768	18008	6235	15776	3323	8665	8589	4401	14282	4889	6725
gene-b0003	U00096.3	2801	3733	+	933	2367	1566	2301	4314	1616	2612	1826	7219	9731	1864	7419	3963	1767	3443	10024	3293	9381	2002	4811	5478	2367	8294	3359	4726
gene-b0004	U00096.3	3734	5020	+	1287	2696	1766	2744	5674	1925	3244	2034	8808	11487	2397	9177	5661	2300	4639	12019	4036	11648	2477	6181	7788	2819	10302	4481	6915
gene-b0005	U00096.3	5234	5530	+	297	113	67	136	342	65	298	107	278	298	95	324	280	55	250	364	138	508	149	470	353	253	342	211	349
gene-b0006	U00096.3	5683	6459	-	777	428	316	379	697	228	577	343	1123	1061	238	1033	661	291	629	1330	414	1006	376	706	638	595	792	443	668
gene-b0007	U00096.3	6529	7959	-	1431	133	83	75	170	79	173	114	250	344	99	317	138	119	154	383	183	263	89	248	147	175	218	109	165
gene-b0008	U00096.3	8238	9191	+	954	1883	1274	1903	5156	1535	3035	1363	6052	6378	1707	6292	3423	1450	4118	7994	2314	4773	1852	4410	3200	2738	4291	3064	5171
gene-b0009	U00096.3	9306	9893	+	588	499	346	404	852	206	874	366	1215	1204	297	1208	876	242	998	1381	328	1133	554	934	745	753	1176	675	1038
gene-b0010	U00096.3	9928	10494	-	567	641	354	583	804	313	915	529	592	548	419	647	957	331	755	541	567	804	470	1072	738	773	654	654	1277
