ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-PBI_KAMPY_1	75	333	HNH endonuclease	DNA, RNA and nucleotide metabolism	333	82	0.516	2.449e-22	333	115.112373	5.264127977179933e-33	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_2	143	226	minor tail protein	tail	226	98	0.428	1.854e-26	226	184.106873	3.102024868266307e-54	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_3	104	1126	hypothetical protein	unknown function	1126	145	0.688	3.1289999999999996e-44	1126	158.020294	1.6544051715211588e-46	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_4	357	819	tail protein	tail	819	155	0.342	4.9669999999999996e-45	819	429.269958	7.432472253632622e-128	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_5	220	356	minor tail protein	tail	356	196	0.48	1.529e-59	356	245.007294	3.592018333741276e-72	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_6	123	1540	hypothetical protein	unknown function	1540	109	0.484	3.0090000000000003e-31	1540	167.304184	8.749452818358002e-49	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_7	45	1087	hypothetical protein	unknown function	1087	66	0.748	5.125e-18	1087	93.650688	9.462801778772558e-27	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_8	500	1519	endolysin	lysis	1519	274	0.509	2.2279999999999997e-81	317	680.005188	4.93430069427296e-204	#f35f49	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_9	153	526	holin	lysis	526	153	0.596	2.348e-46	526	207.011368	2.8429574709631065e-61	#f35f49	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_10	326	102	endolysin	lysis	102	144	0.324	9.437999999999998e-41	102	320.209595	4.4573866235993266e-95	#f35f49	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_11	565	9	terminase large subunit	head and packaging	9	557	0.527	2.3380000000000003e-178	9	387.418396	4.148017341123787e-115	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_12	483	104	portal protein	head and packaging	104	421	0.506	1.084e-132	104	626.089111	1.0660414439626569e-187	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_13	286	193	head maturation protease	head and packaging	193	169	0.333	2.9290000000000003e-48	193	376.357025	6.730941281769708e-112	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_14	170	233	head scaffolding protein	head and packaging	233	102	0.397	4.544e-28	233	187.364487	5.716610202203354e-55	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_15	310	10	major head protein	head and packaging	10	117	0.275	2.4870000000000002e-30	10	261.239532	6.0173652670053255e-77	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_16	68	748	head-tail connector protein	connector	748	62	0.584	4.624e-16	748	90.03035	2.189862858796735e-25	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_17	118	137	head-tail adaptor Ad1	connector	137	100	0.487	1.073e-27	137	164.99884	3.1784875243267786e-48	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_18	55	830	head-tail connector protein	connector	830	69	0.806	2.466e-18	830	107.230438	5.438445277353978e-31	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_19	120	320	head closure Hc1	connector	320	189	0.763	4.79e-59	320	204.027191	1.2370324062651054e-60	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_20	130	321	tail completion or Neck1 protein	connector	321	112	0.497	1.497e-32	321	160.564682	3.773833505728056e-47	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-PBI_KAMPY_21	145	123	tail terminator	connector	123	86	0.366	5.412e-23	123	154.090836	4.1102521149513806e-45	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
