# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13160338_sorted.bam" "SRR13160334_sorted.bam" "SRR13160330_sorted.bam" "SRR13160332_sorted.bam" "SRR13160348_sorted.bam" "SRR13160335_sorted.bam" "SRR13160333_sorted.bam" "SRR13160331_sorted.bam" "SRR13160339_sorted.bam" "SRR13160350_sorted.bam" "SRR13160346_sorted.bam" "SRR13160336_sorted.bam" "SRR13160344_sorted.bam" "SRR13160345_sorted.bam" "SRR13160327_sorted.bam" "SRR13160329_sorted.bam" "SRR13160337_sorted.bam" "SRR13160341_sorted.bam" "SRR13160343_sorted.bam" "SRR13160328_sorted.bam" "SRR13160349_sorted.bam" "SRR13160347_sorted.bam" "SRR13160342_sorted.bam" "SRR13160340_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13160338_sorted.bam	SRR13160334_sorted.bam	SRR13160330_sorted.bam	SRR13160332_sorted.bam	SRR13160348_sorted.bam	SRR13160335_sorted.bam	SRR13160333_sorted.bam	SRR13160331_sorted.bam	SRR13160339_sorted.bam	SRR13160350_sorted.bam	SRR13160346_sorted.bam	SRR13160336_sorted.bam	SRR13160344_sorted.bam	SRR13160345_sorted.bam	SRR13160327_sorted.bam	SRR13160329_sorted.bam	SRR13160337_sorted.bam	SRR13160341_sorted.bam	SRR13160343_sorted.bam	SRR13160328_sorted.bam	SRR13160349_sorted.bam	SRR13160347_sorted.bam	SRR13160342_sorted.bam	SRR13160340_sorted.bam
gene-PA0001	NC_002516.2	483	2027	+	1545	132	132	758	686	144	164	356	156	710	353	165	11	545	144	819	742	197	328	844	1042	76	58	627	758
gene-PA0002	NC_002516.2	2056	3159	+	1104	62	94	410	384	95	72	147	95	512	287	134	9	493	106	371	479	105	261	562	593	64	49	422	517
gene-PA0003	NC_002516.2	3169	4278	+	1110	148	196	905	909	109	198	500	166	581	256	224	19	550	140	954	948	238	384	822	1200	78	74	490	768
gene-PA0004	NC_002516.2	4275	6695	+	2421	323	339	2078	2345	283	405	742	467	1622	468	486	39	1244	441	1488	2129	509	1086	2554	2562	202	124	1805	1983
gene-PA0005	NC_002516.2	7018	7791	-	774	23	20	116	89	12	26	50	19	31	427	32	4	235	22	108	108	34	27	111	130	8	22	70	57
gene-PA0006	NC_002516.2	7803	8339	-	537	18	33	95	87	12	27	48	16	55	184	21	3	186	7	100	96	21	37	55	110	7	20	32	50
gene-PA0007	NC_002516.2	8671	10377	+	1707	19	22	66	37	13	17	43	9	112	500	38	2	328	21	71	76	25	71	127	77	10	49	92	133
gene-PA0008	NC_002516.2	10434	12488	-	2055	60	68	408	503	83	82	112	136	289	700	130	10	490	81	310	451	104	195	592	601	56	51	397	356
gene-PA0009	NC_002516.2	12488	13435	-	948	18	35	137	179	34	46	52	67	48	266	43	4	266	46	114	176	28	69	195	186	20	30	159	99
gene-PA0010	NC_002516.2	13540	14091	+	552	2	3	19	11	2	0	12	4	25	64	2	0	122	2	24	13	5	21	8	18	1	19	11	15
gene-PA0011	NC_002516.2	14235	15122	+	888	20	26	136	135	22	24	71	29	150	180	37	2	313	31	159	131	42	87	127	205	11	36	81	165
