	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	ClassThreshold	ClassMax
0	NZ_CP136842.1	RefSeq	gene	199.0	372.0	.	-	.	gene-R0792_RS00010	R0792_RS00010	Gene	protein_coding	R0792_RS00010	gene-R0792_RS00010	DUF1427 family protein	None	None
1	NZ_CP136842.1	RefSeq	gene	456.0	1244.0	.	-	.	gene-R0792_RS00015	R0792_RS00015	Gene	protein_coding	R0792_RS00015	gene-R0792_RS00015	AraC family transcriptional regulator	None	None
2	NZ_CP136842.1	RefSeq	gene	1566.0	2639.0	.	+	.	gene-R0792_RS00020	hppD	Gene	protein_coding	R0792_RS00020	hppD	4-hydroxyphenylpyruvate dioxygenase	None	None
3	NZ_CP136842.1	RefSeq	gene	2937.0	4355.0	.	+	.	gene-R0792_RS00025	R0792_RS00025	Gene	protein_coding	R0792_RS00025	gene-R0792_RS00025	amino acid permease	None	None
4	NZ_CP136842.1	RefSeq	gene	4508.0	4891.0	.	+	.	gene-R0792_RS00030	R0792_RS00030	Gene	protein_coding	R0792_RS00030	gene-R0792_RS00030	lysozyme inhibitor	None	None
5	NZ_CP136842.1	RefSeq	gene	5012.0	5425.0	.	+	.	gene-R0792_RS00035	arfB	Gene	protein_coding	R0792_RS00035	arfB	alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB	None	None
6	NZ_CP136842.1	RefSeq	gene	5448.0	6380.0	.	-	.	gene-R0792_RS00040	pbpG	Gene	protein_coding	R0792_RS00040	pbpG	D-alanyl-D-alanine endopeptidase	None	None
7	NZ_CP136842.1	RefSeq	gene	6694.0	7893.0	.	-	.	gene-R0792_RS00045	R0792_RS00045	Gene	protein_coding	R0792_RS00045	gene-R0792_RS00045	amino acid aminotransferase	None	None
8	NZ_CP136842.1	RefSeq	gene	7890.0	8246.0	.	-	.	gene-R0792_RS00050	R0792_RS00050	Gene	protein_coding	R0792_RS00050	gene-R0792_RS00050	4a-hydroxytetrahydrobiopterin dehydratase	None	None
9	NZ_CP136842.1	RefSeq	gene	8351.0	9139.0	.	-	.	gene-R0792_RS00055	phhA	Gene	protein_coding	R0792_RS00055	phhA	phenylalanine 4-monooxygenase	None	None
10	NZ_CP136842.1	RefSeq	gene	9424.0	10983.0	.	+	.	gene-R0792_RS00060	R0792_RS00060	Gene	protein_coding	R0792_RS00060	gene-R0792_RS00060	sigma-54-dependent phenylalanine hydroxylase transcriptional regulator PhhR	None	None
11	NZ_CP136842.1	RefSeq	gene	11201.0	11467.0	.	-	.	gene-R0792_RS00065	R0792_RS00065	Gene	protein_coding	R0792_RS00065	gene-R0792_RS00065	DUF2790 domain-containing protein	None	None
12	NZ_CP136842.1	RefSeq	gene	11736.0	13931.0	.	-	.	gene-R0792_RS00070	R0792_RS00070	Gene	protein_coding	R0792_RS00070	gene-R0792_RS00070	FUSC family protein	None	None
13	NZ_CP136842.1	RefSeq	gene	14151.0	15095.0	.	+	.	gene-R0792_RS00075	R0792_RS00075	Gene	protein_coding	R0792_RS00075	gene-R0792_RS00075	LysR family transcriptional regulator	None	None
14	NZ_CP136842.1	RefSeq	gene	15229.0	16125.0	.	-	.	gene-R0792_RS00080	R0792_RS00080	Gene	protein_coding	R0792_RS00080	gene-R0792_RS00080	LysR substrate-binding domain-containing protein	None	None
15	NZ_CP136842.1	RefSeq	gene	16242.0	17069.0	.	+	.	gene-R0792_RS00085	R0792_RS00085	Gene	protein_coding	R0792_RS00085	gene-R0792_RS00085	FAS1-like dehydratase domain-containing protein	None	None
16	NZ_CP136842.1	RefSeq	gene	17115.0	18275.0	.	+	.	gene-R0792_RS00090	R0792_RS00090	Gene	protein_coding	R0792_RS00090	gene-R0792_RS00090	acyl-CoA dehydrogenase family protein	None	None
17	NZ_CP136842.1	RefSeq	gene	18290.0	18670.0	.	+	.	gene-R0792_RS00095	R0792_RS00095	Gene	protein_coding	R0792_RS00095	gene-R0792_RS00095	VOC family protein	None	None
18	NZ_CP136842.1	RefSeq	gene	18709.0	20061.0	.	+	.	gene-R0792_RS00100	R0792_RS00100	Gene	protein_coding	R0792_RS00100	gene-R0792_RS00100	MmgE/PrpD family protein	None	None
19	NZ_CP136842.1	RefSeq	gene	20117.0	21319.0	.	+	.	gene-R0792_RS00105	R0792_RS00105	Gene	protein_coding	R0792_RS00105	gene-R0792_RS00105	CaiB/BaiF CoA transferase family protein	None	None
20	NZ_CP136842.1	RefSeq	gene	21330.0	22157.0	.	+	.	gene-R0792_RS00110	R0792_RS00110	Gene	protein_coding	R0792_RS00110	gene-R0792_RS00110	HpcH/HpaI aldolase/citrate lyase family protein	None	None
21	NZ_CP136842.1	RefSeq	gene	22271.0	23266.0	.	+	.	gene-R0792_RS00115	R0792_RS00115	Gene	protein_coding	R0792_RS00115	gene-R0792_RS00115	TRAP transporter substrate-binding protein	None	None
22	NZ_CP136842.1	RefSeq	gene	23315.0	23953.0	.	+	.	gene-R0792_RS00120	R0792_RS00120	Gene	protein_coding	R0792_RS00120	gene-R0792_RS00120	TRAP transporter small permease	None	None
23	NZ_CP136842.1	RefSeq	gene	23950.0	25233.0	.	+	.	gene-R0792_RS00125	dctM	Gene	protein_coding	R0792_RS00125	dctM	C4-dicarboxylate TRAP transporter large permease protein DctM	None	None
24	NZ_CP136842.1	RefSeq	gene	25415.0	27370.0	.	+	.	gene-R0792_RS00130	acs	Gene	protein_coding	R0792_RS00130	acs	acetate--CoA ligase	None	None
25	NZ_CP136842.1	RefSeq	gene	27911.0	28690.0	.	+	.	gene-R0792_RS00135	R0792_RS00135	Gene	protein_coding	R0792_RS00135	gene-R0792_RS00135	ABC transporter substrate-binding protein	None	None
26	NZ_CP136842.1	RefSeq	gene	28809.0	29498.0	.	+	.	gene-R0792_RS00140	R0792_RS00140	Gene	protein_coding	R0792_RS00140	gene-R0792_RS00140	ABC transporter permease	None	None
27	NZ_CP136842.1	RefSeq	gene	29515.0	30213.0	.	+	.	gene-R0792_RS00145	R0792_RS00145	Gene	protein_coding	R0792_RS00145	gene-R0792_RS00145	ABC transporter permease	None	None
28	NZ_CP136842.1	RefSeq	gene	30227.0	31339.0	.	+	.	gene-R0792_RS00150	R0792_RS00150	Gene	protein_coding	R0792_RS00150	gene-R0792_RS00150	M14 family metallopeptidase	None	None
29	NZ_CP136842.1	RefSeq	gene	31358.0	32122.0	.	+	.	gene-R0792_RS00155	aotP	Gene	protein_coding	R0792_RS00155	aotP	arginine/ornithine transport ATP-binding protein AotP	None	None
30	NZ_CP136842.1	RefSeq	gene	32155.0	33144.0	.	+	.	gene-R0792_RS00160	argR	Gene	protein_coding	R0792_RS00160	argR	transcriptional regulator ArgR	None	None
31	NZ_CP136842.1	RefSeq	gene	33165.0	33488.0	.	-	.	gene-R0792_RS00165	R0792_RS00165	Gene	protein_coding	R0792_RS00165	gene-R0792_RS00165	hypothetical protein	None	None
32	NZ_CP136842.1	RefSeq	gene	33655.0	34875.0	.	+	.	gene-R0792_RS00170	aruC	Gene	protein_coding	R0792_RS00170	aruC	bifunctional succinylornithine transaminase/acetylornithine aminotransferase	None	None
33	NZ_CP136842.1	RefSeq	gene	35074.0	36090.0	.	+	.	gene-R0792_RS00175	aruF	Gene	protein_coding	R0792_RS00175	aruF	arginine/ornithine succinyltransferase subunit alpha	None	None
34	NZ_CP136842.1	RefSeq	gene	36102.0	37124.0	.	+	.	gene-R0792_RS00180	astA	Gene	protein_coding	R0792_RS00180	astA	arginine N-succinyltransferase	None	None
35	NZ_CP136842.1	RefSeq	gene	37167.0	38633.0	.	+	.	gene-R0792_RS00185	astD	Gene	protein_coding	R0792_RS00185	astD	succinylglutamate-semialdehyde dehydrogenase	None	None
36	NZ_CP136842.1	RefSeq	gene	38630.0	39976.0	.	+	.	gene-R0792_RS00190	astB	Gene	protein_coding	R0792_RS00190	astB	N-succinylarginine dihydrolase	None	None
37	NZ_CP136842.1	RefSeq	gene	39990.0	40280.0	.	+	.	gene-R0792_RS00195	R0792_RS00195	Gene	protein_coding	R0792_RS00195	gene-R0792_RS00195	hypothetical protein	None	None
38	NZ_CP136842.1	RefSeq	gene	40294.0	41292.0	.	+	.	gene-R0792_RS00200	astE	Gene	protein_coding	R0792_RS00200	astE	succinylglutamate desuccinylase	None	None
39	NZ_CP136842.1	RefSeq	gene	41437.0	42441.0	.	+	.	gene-R0792_RS00205	ltaE	Gene	protein_coding	R0792_RS00205	ltaE	low-specificity L-threonine aldolase	None	None
40	NZ_CP136842.1	RefSeq	gene	42563.0	45187.0	.	+	.	gene-R0792_RS00210	alaS	Gene	protein_coding	R0792_RS00210	alaS	alanine--tRNA ligase	None	None
41	NZ_CP136842.1	RefSeq	gene	45335.0	46573.0	.	+	.	gene-R0792_RS00215	R0792_RS00215	Gene	protein_coding	R0792_RS00215	gene-R0792_RS00215	aspartate kinase	None	None
42	NZ_CP136842.1	RefSeq	gene	46758.0	46943.0	.	+	.	gene-R0792_RS00220	csrA	Gene	protein_coding	R0792_RS00220	csrA	carbon storage regulator CsrA	None	None
43	NZ_CP136842.1	RefSeq	gene	47005.0	47094.0	.	+	.	gene-R0792_RS00225	R0792_RS00225	Gene	tRNA	R0792_RS00225	gene-R0792_RS00225	tRNA-Ser	None	None
44	NZ_CP136842.1	RefSeq	gene	47212.0	47288.0	.	+	.	gene-R0792_RS00230	R0792_RS00230	Gene	tRNA	R0792_RS00230	gene-R0792_RS00230	tRNA-Arg	None	None
45	NZ_CP136842.1	RefSeq	gene	47400.0	47476.0	.	+	.	gene-R0792_RS00235	R0792_RS00235	Gene	tRNA	R0792_RS00235	gene-R0792_RS00235	tRNA-Arg	None	None
46	NZ_CP136842.1	RefSeq	gene	47574.0	48287.0	.	-	.	gene-R0792_RS00240	alpR	Gene	protein_coding	R0792_RS00240	alpR	transcriptional regulator AlpR	None	None
47	NZ_CP136842.1	RefSeq	gene	48458.0	48988.0	.	+	.	gene-R0792_RS00245	R0792_RS00245	Gene	protein_coding	R0792_RS00245	gene-R0792_RS00245	hypothetical protein	None	None
