hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-VC_RS00220	NC_002505.1	44	371	PsyrTA__PsyrA	2.8e-37	125.8	0.701	0.768	24	308
gene-VC_RS00220	NC_002505.1	44	371	ShosTA__ShosA	9.6e-68	225.7	0.766	0.617	60	288
gene-VC_RS00315	NC_002505.1	58	258	CBASS__AG_E1_ThiF	4e-59	197.1	0.992	0.899	10	241
gene-VC_RS00405	NC_002505.1	76	510	DRT2__RmuC	6.4e-119	394.6	0.852	0.765	101	490
gene-VC_RS00495	NC_002505.1	94	255	Gao_Qat__QatD	1.9e-10	37.7	0.724	0.737	59	246
gene-VC_RS00510	NC_002505.1	97	934	UG9__DNA_pol	8.6e-35	117.8	0.754	0.442	505	917
gene-VC_RS00790	NC_002505.1	149	671	Gabija__GajB_3	8.2e-16	55.3	0.506	0.344	19	249
gene-VC_RS00790	NC_002505.1	149	671	Gabija__GajB_1	1.8999999999999998e-44	149.5	0.904	0.891	19	616
gene-VC_RS00790	NC_002505.1	149	671	UG35__UvrD	2.8e-90	300.7	0.519	0.632	1	424
gene-VC_RS00790	NC_002505.1	149	671	Gabija__GajB_2	1.0999999999999999e-107	358.2	0.777	0.967	2	650
gene-VC_RS00855	NC_002505.1	157	529	dCTPdeaminase__dCTPdeaminase	1.0999999999999999e-148	493.2	0.972	0.932	22	514
gene-VC_RS00880	NC_002505.1	162	355	CBASS__Phospholipase	9.1e-115	380.6	0.942	0.963	11	352
gene-VC_RS00885	NC_002505.1	163	436	CBASS__Cyclase_II	5.8e-51	170.7	0.956	0.931	20	425
gene-VC_RS00890	NC_002505.1	164	584	CBASS__AG_E1_ThiF	6e-19	65.6	0.828	0.372	339	555
gene-VC_RS00890	NC_002505.1	164	584	CBASS__AG_E2_Prok-E2_B	6.8e-40	133.1	0.993	0.241	12	152
gene-VC_RS00895	NC_002505.1	165	155	CBASS__Jab	1.1e-59	198.6	0.763	0.981	1	152
gene-VC_RS00935	NC_002505.1	173	723	Gabija__GajB_3	2.9e-18	63.4	0.666	0.382	25	300
gene-VC_RS00935	NC_002505.1	173	723	Gabija__GajB_1	1.6e-38	129.9	0.921	0.828	18	616
gene-VC_RS00935	NC_002505.1	173	723	UG35__UvrD	5.899999999999999e-81	269.9	0.527	0.592	12	439
gene-VC_RS00935	NC_002505.1	173	723	Gabija__GajB_2	9.1e-112	371.7	0.814	0.918	10	673
gene-VC_RS00960	NC_002505.1	178	611	PsyrTA__PsyrT	3.7e-99	329.9	0.504	0.553	17	354
gene-VC_RS01195	NC_002505.1	225	367	Veles__VlsB1	3.7e-129	428.2	0.978	0.989	2	364
gene-VC_RS01195	NC_002505.1	225	367	Veles__VlsB2	2.2000000000000002e-131	435.6	0.941	0.989	1	363
gene-VC_RS01445	NC_002505.1	270	209	DEDDh_I_II_III_IV_V_VI_1	4.5e-33	111.9	0.994	0.78	31	193
gene-VC_RS01535	NC_002505.1	282	446	DISARM__drmC	7.7e-15	52.3	0.694	0.455	211	413
gene-VC_RS01680	NC_002505.1	307	181	DEDDh_I_II_III_IV_V_VI_1	1.6e-13	48.3	0.944	0.856	9	163
gene-VC_RS02010	NC_002505.1	359	177	vcrx091	4.6e-86	284.9	0.662	1.0	1	177
gene-VC_RS02500	NC_002505.1	448	653	Lamassu-Fam__LmuB_SMC_Sir2	8.6e-07	24.6	0.454	0.452	18	312
gene-VC_RS02500	NC_002505.1	448	653	Lamassu-Fam__LmuB_SMC_Lipase	1.7e-12	43.6	0.941	0.951	21	641
gene-VC_RS02500	NC_002505.1	448	653	Lamassu-Fam__LmuB_SMC_Mrr	5.9e-21	71.8	0.957	0.959	3	628
gene-VC_RS02500	NC_002505.1	448	653	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	5.600000000000001e-128	425.8	0.995	0.998	1	652
gene-VC_RS02505	NC_002505.1	449	170	Lamassu-Fam__LmuC_acc_Cap4_nuclease	2e-11	41.9	0.951	0.935	9	167
gene-VC_RS02510	NC_002505.1	450	388	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	6.9e-49	165.2	0.984	0.979	4	383
