Orthogroup	AJ972879.2	JX100813.1	KJ510414.1	MK473382.1	MK797984.1	NC_000866.4	NC_001604.1	NC_004629.1	NC_005880.2	NC_010326.1	NC_041928.1
OG0000000	gene-g069, gene-g107, gene-g287	gene-CbK_gp171	gene-PBI_KAMPY_25	gene-JD032_25, gene-JD032_41		gene-T4p005, gene-T4p060, gene-T4p075, gene-T4p096, gene-T4p233	gene-T7p18, gene-T7p41	gene-PHIKZ056, gene-PHIKZ072, gene-PHIKZ179	gene-CPT_phageK_gp123, gene-CPT_phageK_gp188, gene-CPT_phageK_gp194, gene-CPT_phageK_gp198		gene-FDH45_gp068, gene-FDH45_gp169, gene-FDH45_gp176, gene-FDH45_gp187, gene-FDH45_gp196
OG0000001	gene-g151, gene-g171, gene-g230, gene-g313, gene-g336				gene-EST35_0155, gene-EST35_0196, gene-EST35_0211, gene-EST35_0312, gene-EST35_0339			gene-PHIKZ068			gene-FDH45_gp002, gene-FDH45_gp020, gene-FDH45_gp128, gene-FDH45_gp155
OG0000002					gene-EST35_0124, gene-EST35_0125, gene-EST35_0165, gene-EST35_0166, gene-EST35_0167	gene-T4p154, gene-T4p155		gene-PHIKZ131, gene-PHIKZ132, gene-PHIKZ133, gene-PHIKZ134, gene-PHIKZ135			
OG0000003									gene-CPT_phageK_gp001, gene-CPT_phageK_gp003, gene-CPT_phageK_gp004, gene-CPT_phageK_gp005, gene-CPT_phageK_gp049, gene-CPT_phageK_gp050, gene-CPT_phageK_gp051, gene-CPT_phageK_gp053, gene-CPT_phageK_gp060		
OG0000004	gene-g049, gene-g286	gene-CbK_gp086, gene-CbK_gp118			gene-EST35_0294	gene-T4p017			gene-CPT_phageK_gp206		gene-FDH45_gp179
OG0000005	gene-g143, gene-g145				gene-EST35_0204	gene-T4p163, gene-T4p164, gene-T4p165, gene-T4p166		gene-PHIKZ025			
OG0000006		gene-CbK_gp100, gene-CbK_gp101			gene-EST35_0159, gene-EST35_0300, gene-EST35_0302				gene-CPT_phageK_gp155		gene-FDH45_gp032
OG0000007		gene-CbK_gp112	gene-PBI_KAMPY_50		gene-EST35_0243	gene-T4p234		gene-PHIKZ_p85	gene-CPT_phageK_gp131		gene-FDH45_gp060
OG0000008					gene-EST35_0002, gene-EST35_0003, gene-EST35_0004, gene-EST35_0009, gene-EST35_0010, gene-EST35_0457, gene-EST35_0459						
OG0000009						gene-T4p030, gene-T4p042, gene-T4p132, gene-T4p148, gene-T4p176, gene-T4p183, gene-T4p238					
OG0000010	gene-g061				gene-EST35_0139	gene-T4p054		gene-PHIKZ165	gene-CPT_phageK_gp138		gene-FDH45_gp052
OG0000011	gene-g083							gene-PHIKZ144, gene-PHIKZ181	gene-CPT_phageK_gp158		gene-FDH45_gp028, gene-FDH45_gp029
OG0000012	gene-g334				gene-EST35_0138	gene-T4p057		gene-PHIKZ_p19	gene-CPT_phageK_gp140		gene-FDH45_gp050
OG0000013		gene-CbK_gp111			gene-EST35_0244	gene-T4p230		gene-PHIKZ305	gene-CPT_phageK_gp130		gene-FDH45_gp061
OG0000014		gene-CbK_gp123	gene-PBI_KAMPY_45				gene-T7p29		gene-CPT_phageK_gp125	gene-PPLUZ19_gp19	gene-FDH45_gp067
