sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NC_002506.1_Menshen_10	Menshen	Menshen	Defense	gene-VC_RS14295	gene-VC_RS14305	gene-VC_RS14295,gene-VC_RS14300,gene-VC_RS14305	3	Menshen__NsnA,Menshen__NsnB,Menshen__NsnC_2726213746
NC_002506.1_Ogmios_13	Ogmios	Ogmios	Defense	gene-VC_RS14815	gene-VC_RS14815	gene-VC_RS14815	1	Ogmios__VCA0308
NC_002506.1_Nantosuelta_11	Nantosuelta	Nantosuelta	Defense	gene-VC_RS14890	gene-VC_RS14890	gene-VC_RS14890	1	Nantosuelta__VCA0322
NC_002506.1_Sirona_15	Sirona	Sirona	Defense	gene-VC_RS15085	gene-VC_RS15085	gene-VC_RS15085	1	Sirona__VCA0356
NC_002506.1_Epona_7	Epona	Epona	Defense	gene-VC_RS15140	gene-VC_RS15140	gene-VC_RS15140	1	Epona__VCA0366
NC_002506.1_Sucellos_16	Sucellos	Sucellos	Defense	gene-VC_RS15150	gene-VC_RS15155	gene-VC_RS15150,gene-VC_RS15155	2	Sucellos__SclA_VCA0367,Sucellos__SclB_VCA0368
NC_002506.1_Divona_6	Divona	Divona	Defense	gene-VC_RS15170	gene-VC_RS15170	gene-VC_RS15170	1	Divona__VCA0374
NC_002506.1_Taranis_17	Taranis	Taranis	Defense	gene-VC_RS15290	gene-VC_RS15290	gene-VC_RS15290	1	Taranis__VCA0396
NC_002506.1_Damona_5	Damona	Damona	Defense	gene-VC_RS15300	gene-VC_RS15300	gene-VC_RS15300	1	Damona__VCA0399
NC_002506.1_Cernunnos_3	Cernunnos	Cernunnos	Defense	gene-VC_RS15350	gene-VC_RS15350	gene-VC_RS15350	1	Cernunnos__VCA0410
NC_002506.1_Lugos_9	Lugos	Lugos	Defense	gene-VC_RS15395	gene-VC_RS15395	gene-VC_RS15395	1	Lugos__VCA0409
NC_002506.1_Nemetona_12	Nemetona	Nemetona	Defense	gene-VC_RS15495	gene-VC_RS15495	gene-VC_RS15495	1	Nemetona__VCA0441
NC_002506.1_Toutatis_18	Toutatis	Toutatis	Defense	gene-VC_RS15525	gene-VC_RS15525	gene-VC_RS15525	1	Toutatis__TutB_VCA0447
NC_002506.1_Esos_8	Esos	Esos	Defense	gene-VC_RS15540	gene-VC_RS15540	gene-VC_RS15540	1	Esos__VCA0450
NC_002506.1_Belenos_1	Belenos	Belenos	Defense	gene-VC_RS15575	gene-VC_RS15575	gene-VC_RS15575	1	Belenos__VCA0457
NC_002506.1_Belisama_2	Belisama	Belisama	Defense	gene-VC_RS15580	gene-VC_RS15580	gene-VC_RS15580	1	Belisama__VCA0458
NC_002506.1_PfiAT_14	PfiAT	PfiAT	Defense	gene-VC_RS15760	gene-VC_RS15765	gene-VC_RS15760,gene-VC_RS15765	2	PfiAT__PfiA,PfiAT__PfiT
NC_002506.1_DS-23_4	DS-23	DS-23	Defense	gene-VC_RS16385	gene-VC_RS16385	gene-VC_RS16385	1	DS-23__DS-23
