ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-JG005_00001	218	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00002	233	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00003	165	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00004	620	239	DNA primase/helicase	DNA, RNA and nucleotide metabolism	239	260	0.333	1.4600000000000002e-76	239	665.075562	4.916324834787988e-199	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00005	61	7863	hypothetical protein	unknown function	7863	134	1.0	6.339999999999999e-41	7863	164.289291	8.853927253720884e-49	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00006	81	6115	hypothetical protein	unknown function	6115	108	0.578	1.572e-30	6115	162.297684	4.259505932828506e-48	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00007	63	7814	hypothetical protein	unknown function	7814	123	0.912	6.874e-37	7814	158.983368	4.2615385406698807e-47	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00008	42	6310	hypothetical protein	unknown function	6310	76	0.845	4.265e-21	6310	102.683342	1.2734515748317967e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00009	140	7141	hypothetical protein	unknown function	7141	264	0.898	1.489e-84	7141	297.438599	2.6247307146984933e-89	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00010	100	4991	hypothetical protein	unknown function	4991	120	0.682	1.88e-35	4991	154.062531	2.4616780340278255e-45	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00011	54	6917	hypothetical protein	unknown function	6917	111	0.954	5.8539999999999995e-33	6917	141.490723	1.3088244621014234e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00012	218	7101	hypothetical protein	unknown function	7101	388	0.844	8.74e-126	7101	468.546265	7.309978015362519e-141	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00013	129	4256	hypothetical protein	unknown function	4256	178	0.714	6.977000000000001e-55	4256	201.96434	7.051297413084578e-60	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00014	84	2834	hypothetical protein	unknown function	2834	51	0.454	9.883e-12	2834	101.643951	3.135663464459376e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00015	161	3754	hypothetical protein	unknown function	3754	155	0.569	1.255e-46	3754	168.660126	1.897441089074574e-49	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00016	65	6163	hypothetical protein	unknown function	6163	68	0.623	1.628e-17	6163	115.597588	2.046961509567749e-33	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00017	77	4794	hypothetical protein	unknown function	4794	87	0.51	7.894e-24	4794	125.526947	2.1483897693319064e-36	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00018	77	4794	hypothetical protein	unknown function	4794	83	0.492	1.37e-22	4794	109.191277	2.690668298020221e-31	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00019	378	968	RNA ligase	DNA, RNA and nucleotide metabolism	968	255	0.362	5.006e-76	968	452.084351	3.2999209589835554e-135	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00020	51	7461	hypothetical protein	unknown function	7461	104	0.952	8.018e-31	7461	107.695786	3.863615492687604e-31	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00021	269	6945	hypothetical protein	unknown function	6945	517	0.916	1.387e-169	6945	587.690552	6.135084619019729e-177	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00022	106	7083	hypothetical protein	unknown function	7083	205	0.913	1.505e-64	7083	219.562546	1.1357253531666602e-65	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00023	102	2827	hypothetical protein	unknown function	2827	70	0.492	1.451e-18	2827	141.164749	2.535836445360491e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00024	104	3899	hypothetical protein	unknown function	3899	121	0.635	8.547000000000001e-36	3899	160.996902	1.810001382330846e-47	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00025	101	4172	hypothetical protein	unknown function	4172	138	0.681	1.3959999999999998e-41	4172	159.314026	3.5884600055364423e-47	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00026	145	4349	Rz-like spanin	lysis	4349	149	0.545	2.35e-44	4349	204.933365	9.921289974832994e-61	#f35f49	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00027	79	5847	holin	lysis	5847	102	0.617	3.6539999999999996e-29	5847	158.06694	1.077934086255849e-46	#f35f49	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-JG005_00028	186	2860	endolysin	head and packaging	2860	276	0.732	1.425e-87	2860	319.176208	1.8548425748802824e-95	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
