# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR12539210_sorted.bam" "SRR12539217_sorted.bam" "SRR12539213_sorted.bam" "SRR12539215_sorted.bam" "SRR12539216_sorted.bam" "SRR12539209_sorted.bam" "SRR12539214_sorted.bam" "SRR12539212_sorted.bam" "SRR12539211_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR12539210_sorted.bam	SRR12539217_sorted.bam	SRR12539213_sorted.bam	SRR12539215_sorted.bam	SRR12539216_sorted.bam	SRR12539209_sorted.bam	SRR12539214_sorted.bam	SRR12539212_sorted.bam	SRR12539211_sorted.bam
gene-Saur515_RS10465	NZ_JAKRSL010000012.1	194	1360	+	1167	66	352	76	373	369	48	93	114	108
gene-Saur515_RS10470	NZ_JAKRSL010000012.1	1386	2450	+	1065	57	356	89	399	351	42	99	133	96
gene-Saur515_RS10475	NZ_JAKRSL010000012.1	2460	3758	+	1299	163	646	177	689	648	99	176	233	250
gene-Saur515_RS10480	NZ_JAKRSL010000012.1	3765	5009	+	1245	259	1036	273	1129	1043	172	277	429	375
gene-Saur515_RS10485	NZ_JAKRSL010000012.1	5023	5598	+	576	88	338	102	342	356	59	104	178	132
gene-Saur515_RS10490	NZ_JAKRSL010000012.1	5588	6175	+	588	123	467	114	532	496	64	126	202	146
gene-Saur515_RS10495	NZ_JAKRSL010000012.1	6247	6927	+	681	3278	8730	1761	10321	8569	1552	2961	4521	3725
gene-Saur515_RS10500	NZ_JAKRSL010000012.1	7264	7581	+	318	93	225	46	281	258	52	65	97	93
gene-Saur515_RS10505	NZ_JAKRSL010000012.1	7822	8964	+	1143	175	662	148	764	731	121	161	272	261
gene-Saur515_RS10510	NZ_JAKRSL010000012.1	8969	10171	+	1203	177	787	202	843	802	149	232	358	297
gene-Saur515_RS10515	NZ_JAKRSL010000012.1	10158	11129	+	972	183	755	206	778	767	126	223	322	273
gene-Saur515_RS10520	NZ_JAKRSL010000012.1	11153	13846	+	2694	526	2211	647	2322	2319	320	618	970	874
gene-Saur515_RS10525	NZ_JAKRSL010000012.1	14168	15460	+	1293	1100	4419	1003	4904	4978	633	1201	1843	1697
gene-Saur515_RS10530	NZ_JAKRSL010000012.1	15788	16474	+	687	248	569	148	607	619	113	161	210	208
