	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
5677	NC_017674.1	RefSeq	gene	25.0	327.0	.	-	.	gene-F358_gp01	F358_gp01	Gene	protein_coding	F358_gp01	gene-F358_gp01	hypothetical protein	hypothetical protein	5721	unknown function		
5678	NC_017674.1	RefSeq	gene	383.0	556.0	.	-	.	gene-F358_gp02	F358_gp02	Gene	protein_coding	F358_gp02	gene-F358_gp02	hypothetical protein	hypothetical protein	21072	unknown function		
5679	NC_017674.1	RefSeq	gene	607.0	753.0	.	-	.	gene-F358_gp03	F358_gp03	Gene	protein_coding	F358_gp03	gene-F358_gp03	hypothetical protein	hypothetical protein	16325	unknown function		
5680	NC_017674.1	RefSeq	gene	931.0	2313.0	.	+	.	gene-F358_gp04	F358_gp04	Gene	protein_coding	F358_gp04	gene-F358_gp04	terminase large subunit	terminase large subunit	3717	head and packaging		
5681	NC_017674.1	RefSeq	gene	2350.0	2733.0	.	-	.	gene-F358_gp05	F358_gp05	Gene	protein_coding	F358_gp05	gene-F358_gp05	hypothetical protein	hypothetical protein	5237	unknown function		
5682	NC_017674.1	RefSeq	gene	2730.0	2948.0	.	-	.	gene-F358_gp06	F358_gp06	Gene	protein_coding	F358_gp06	gene-F358_gp06	hypothetical protein	hypothetical protein	5013	unknown function		
5683	NC_017674.1	RefSeq	gene	2948.0	3268.0	.	-	.	gene-F358_gp07	F358_gp07	Gene	protein_coding	F358_gp07	gene-F358_gp07	hypothetical protein	hypothetical protein	5465	unknown function		
5684	NC_017674.1	RefSeq	gene	3344.0	3745.0	.	-	.	gene-F358_gp08	F358_gp08	Gene	protein_coding	F358_gp08	gene-F358_gp08	hypothetical protein	hypothetical protein	4999	unknown function		
5685	NC_017674.1	RefSeq	gene	3748.0	4527.0	.	-	.	gene-F358_gp09	F358_gp09	Gene	protein_coding	F358_gp09	gene-F358_gp09	hypothetical protein	unknown function	421	unknown function		
5686	NC_017674.1	RefSeq	gene	4614.0	5111.0	.	-	.	gene-F358_gp10	F358_gp10	Gene	protein_coding	F358_gp10	gene-F358_gp10	hypothetical protein	hypothetical protein	5024	unknown function		
5687	NC_017674.1	RefSeq	gene	5068.0	5655.0	.	-	.	gene-F358_gp11	F358_gp11	Gene	protein_coding	F358_gp11	gene-F358_gp11	hypothetical protein	hypothetical protein	4784	unknown function		
5688	NC_017674.1	RefSeq	gene	5757.0	6689.0	.	-	.	gene-F358_gp12	F358_gp12	Gene	protein_coding	F358_gp12	gene-F358_gp12	DUF6011 domain-containing protein	hypothetical protein	4046	unknown function		
5689	NC_017674.1	RefSeq	gene	6792.0	7292.0	.	-	.	gene-F358_gp13	F358_gp13	Gene	protein_coding	F358_gp13	gene-F358_gp13	methyltransferase	methyltransferase	6636	other		
5690	NC_017674.1	RefSeq	gene	7312.0	7659.0	.	-	.	gene-F358_gp14	F358_gp14	Gene	protein_coding	F358_gp14	gene-F358_gp14	hypothetical protein	hypothetical protein	5213	unknown function		
5691	NC_017674.1	RefSeq	gene	7908.0	8453.0	.	-	.	gene-F358_gp15	F358_gp15	Gene	protein_coding	F358_gp15	gene-F358_gp15	hypothetical protein	hypothetical protein	28487	unknown function		
5692	NC_017674.1	RefSeq	gene	8425.0	8748.0	.	-	.	gene-F358_gp16	F358_gp16	Gene	protein_coding	F358_gp16	gene-F358_gp16	hypothetical protein	hypothetical protein	5244	unknown function		
5693	NC_017674.1	RefSeq	gene	8780.0	9181.0	.	-	.	gene-F358_gp17	F358_gp17	Gene	protein_coding	F358_gp17	gene-F358_gp17	hypothetical protein	hypothetical protein	5124	unknown function		
5694	NC_017674.1	RefSeq	gene	9362.0	11659.0	.	+	.	gene-F358_gp18	F358_gp18	Gene	protein_coding	F358_gp18	gene-F358_gp18	minor head protein	minor head protein	4660	head and packaging		
5695	NC_017674.1	RefSeq	gene	11659.0	12495.0	.	+	.	gene-F358_gp19	F358_gp19	Gene	protein_coding	F358_gp19	gene-F358_gp19	head morphogenesis	head morphogenesis	324	head and packaging		
5696	NC_017674.1	RefSeq	gene	12515.0	12721.0	.	+	.	gene-F358_gp20	F358_gp20	Gene	protein_coding	F358_gp20	gene-F358_gp20	hypothetical protein	hypothetical protein	2423	unknown function		
5697	NC_017674.1	RefSeq	gene	12718.0	12858.0	.	+	.	gene-F358_gp21	F358_gp21	Gene	protein_coding	F358_gp21	gene-F358_gp21	hypothetical protein	hypothetical protein	5611	unknown function		
5698	NC_017674.1	RefSeq	gene	13370.0	14806.0	.	+	.	gene-F358_gp22	F358_gp22	Gene	protein_coding	F358_gp22	gene-F358_gp22	head maturation protease	head maturation protease	3778	head and packaging		
