hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-CCNA_00005	CP001340.1	5	237	DEDDh_I_II_III_IV_V_VI_1	6.8e-41	137.9	0.994	0.675	5	164
gene-CCNA_00201	CP001340.1	206	226	Zorya__ZorB	5.6e-05	20.4	0.528	0.544	100	222
gene-CCNA_00234	CP001340.1	239	386	Veles__VlsB1	4.2999999999999997e-110	366.1	0.981	0.987	5	385
gene-CCNA_00234	CP001340.1	239	386	Veles__VlsB2	9.399999999999999e-112	371.6	0.941	0.984	5	384
gene-CCNA_00272	CP001340.1	276	429	DRT2__RmuC	2.3e-44	149.4	0.587	0.627	101	369
gene-CCNA_00377	CP001340.1	381	1147	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	7.5e-09	32.9	0.764	0.409	1	469
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_20	5.4e-07	26.6	0.445	0.394	7	147
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_9	1.8e-10	38.2	0.482	0.43	8	161
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_19	9.3e-16	55.8	0.937	0.684	8	252
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_26	2.2e-19	67.3	0.734	0.69	7	253
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_12	8.2e-20	69.1	0.784	0.69	7	253
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_8	3.7e-28	96.3	0.554	0.433	97	251
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_1	7.4e-59	197.3	0.894	0.701	4	254
gene-CCNA_00382	CP001340.1	386	358	RM_Type_II__Type_II_MTases_FAM_3	5.4e-105	348.5	0.903	0.693	7	254
gene-CCNA_00491	CP001340.1	496	212	Dpd__FolE	8.1e-50	166.8	0.961	0.825	37	211
gene-CCNA_00520	CP001340.1	525	312	narp1_adps	2.3999999999999997e-67	224.9	0.905	0.91	27	310
gene-CCNA_00579	CP001340.1	584	599	CARD_NLR__Trypsin	4.8999999999999995e-47	158.5	0.659	0.444	2	267
gene-CCNA_00579	CP001340.1	584	599	CARD_NLR__Trypsin_new	3.1000000000000004e-63	212.0	0.721	0.444	2	267
gene-CCNA_00579	CP001340.1	584	599	CARD_NLR__Endonuclease_new	3.3000000000000003e-78	260.7	0.838	0.481	288	575
gene-CCNA_00579	CP001340.1	584	599	CARD_NLR__Trypsine_Endonuclease_new	1.3e-291	966.7	0.906	0.998	2	599
gene-CCNA_00580	CP001340.1	585	1027	CARD_NLR__NLR_IMG	1e-61	207.3	0.656	0.646	26	688
gene-CCNA_00580	CP001340.1	585	1027	CARD_NLR__NLR_new	1.1e-200	667.6	0.974	0.918	20	962
gene-CCNA_03886	CP001340.1	586	592	CARD_NLR__CARD_Protease_supposed	6.299999999999999e-41	138.6	0.729	0.802	92	566
gene-CCNA_03886	CP001340.1	586	592	CARD_NLR__CARD_Protease_new	6.1e-152	505.2	0.99	0.992	2	588
gene-CCNA_00656	CP001340.1	661	611	RM_Type_II__Type_II_MTases_FAM_33	1.4e-32	111.0	0.494	0.462	128	409
gene-CCNA_00656	CP001340.1	661	611	PrrC__EcoprrI	2.9e-57	193.0	0.956	0.997	2	610
gene-CCNA_00656	CP001340.1	661	611	RM__Type_I_MTases_FAM_0	6.5e-74	247.4	0.848	0.733	2	449
gene-CCNA_00656	CP001340.1	661	611	RM__Type_I_MTases_FAM_3	1.6e-235	781.1	0.716	0.83	2	508
