# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR2932986_sorted.bam" "SRR2932982_sorted.bam" "SRR2932985_sorted.bam" "SRR2932987_sorted.bam" "SRR2932981_sorted.bam" "SRR2932980_sorted.bam" "SRR2932983_sorted.bam" "SRR2932984_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2932986_sorted.bam	SRR2932982_sorted.bam	SRR2932985_sorted.bam	SRR2932987_sorted.bam	SRR2932981_sorted.bam	SRR2932980_sorted.bam	SRR2932983_sorted.bam	SRR2932984_sorted.bam
gene-TX72_RS00005	NC_005070.1	174	1331	+	1158	5	56	20	10	465	457	104	33
gene-TX72_RS00010	NC_005070.1	1333	2058	+	726	2	14	5	4	89	94	19	6
gene-TX72_RS00015	NC_005070.1	2103	4409	+	2307	24	138	49	29	1197	1181	255	105
gene-TX72_RS00020	NC_005070.1	4468	5898	+	1431	30	225	71	40	2018	2193	351	130
gene-TX72_RS00025	NC_005070.1	5899	8373	-	2475	50	239	95	39	1699	1747	431	165
gene-TX72_RS00030	NC_005070.1	8419	9300	-	882	8	34	25	12	240	269	76	22
gene-TX72_RS00035	NC_005070.1	9319	10284	-	966	1	33	11	10	159	186	52	22
gene-TX72_RS00040	NC_005070.1	10334	10978	+	645	1	21	7	4	149	132	38	22
gene-TX72_RS00045	NC_005070.1	11028	11762	+	735	17	136	35	20	1061	964	205	85
gene-TX72_RS00050	NC_005070.1	11766	12401	+	636	10	84	34	12	547	578	148	58
gene-TX72_RS00055	NC_005070.1	12401	13858	+	1458	18	131	43	30	781	832	221	85
gene-TX72_RS00060	NC_005070.1	13895	15316	+	1422	3	22	8	4	95	116	30	10
gene-TX72_RS00065	NC_005070.1	15337	16752	+	1416	13	68	31	8	643	728	138	63
gene-TX72_RS00070	NC_005070.1	16879	17523	+	645	22	119	28	29	861	717	199	105
gene-TX72_RS00075	NC_005070.1	17529	18521	-	993	9	42	6	9	338	329	59	58
gene-TX72_RS00080	NC_005070.1	18563	19069	+	507	5	23	9	10	212	200	42	13
gene-TX72_RS00085	NC_005070.1	19047	20318	+	1272	2	33	11	5	178	195	43	27
gene-TX72_RS00090	NC_005070.1	20293	21366	-	1074	3	14	6	2	83	98	26	12
gene-TX72_RS00100	NC_005070.1	22538	24409	-	1872	14	87	30	24	584	612	132	55
gene-TX72_RS00105	NC_005070.1	24509	25165	+	657	18	59	28	25	436	527	130	74
gene-TX72_RS00110	NC_005070.1	25165	26298	+	1134	15	73	31	35	563	535	142	90
gene-TX72_RS00115	NC_005070.1	26298	26528	+	231	1	12	3	5	79	100	31	27
gene-TX72_RS00120	NC_005070.1	26535	27434	+	900	7	53	19	18	306	339	69	32
gene-TX72_RS00125	NC_005070.1	27409	27750	-	342	11	53	20	11	421	409	99	28
gene-TX72_RS00130	NC_005070.1	27775	28674	-	900	0	18	1	1	81	69	11	6
gene-TX72_RS00135	NC_005070.1	28674	30077	-	1404	7	37	17	5	293	277	44	14
gene-TX72_RS00140	NC_005070.1	30250	31275	+	1026	77	528	195	120	6417	4430	833	321
gene-TX72_RS00145	NC_005070.1	31341	32327	-	987	7	26	14	7	303	293	58	25
gene-TX72_RS00150	NC_005070.1	32324	33400	-	1077	38	199	76	41	1765	1696	332	124
