# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR11805719_sorted.bam" "SRR11805717_sorted.bam" "SRR11805716_sorted.bam" "SRR11805720_sorted.bam" "SRR11805718_sorted.bam" "SRR11805721_sorted.bam" "SRR11805715_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR11805719_sorted.bam	SRR11805717_sorted.bam	SRR11805716_sorted.bam	SRR11805720_sorted.bam	SRR11805718_sorted.bam	SRR11805721_sorted.bam	SRR11805715_sorted.bam
gene-SynWH7803_0001	CT971583.1	174	1343	+	1170	254	610	452	1041	445	822	1296
gene-SynWH7803_0002	CT971583.1	1347	2096	+	750	82	193	140	301	171	233	358
gene-SynWH7803_0003	CT971583.1	2187	4484	+	2298	183	759	345	369	316	464	1321
gene-SynWH7803_0004	CT971583.1	4523	5989	+	1467	170	650	472	626	371	605	1308
gene-SynWH7803_0005	CT971583.1	5992	8457	-	2466	258	638	613	1154	524	839	1571
gene-SynWH7803_0006	CT971583.1	8547	9443	-	897	85	250	190	370	178	247	689
gene-SynWH7803_0007	CT971583.1	9459	10421	-	963	43	86	73	127	104	111	115
gene-SynWH7803_0008	CT971583.1	10463	11122	+	660	295	975	596	1009	644	793	2589
gene-SynWH7803_0009	CT971583.1	11139	11909	+	771	278	1183	669	1033	622	1058	2173
gene-SynWH7803_0010	CT971583.1	11928	12560	+	633	83	403	243	282	219	312	749
gene-SynWH7803_0011	CT971583.1	12566	14032	+	1467	106	519	309	318	273	387	904
gene-SynWH7803_0012	CT971583.1	14107	15519	+	1413	134	166	155	322	175	278	471
gene-SynWH7803_0013	CT971583.1	15551	16963	+	1413	115	314	239	305	229	319	575
gene-SynWH7803_0014	CT971583.1	17083	17706	+	624	228	1364	545	773	450	766	2578
gene-SynWH7803_0015	CT971583.1	17725	18729	-	1005	118	556	224	321	193	256	826
gene-SynWH7803_0016	CT971583.1	18790	19308	+	519	438	1196	642	549	663	520	1677
gene-SynWH7803_0017	CT971583.1	19343	20539	+	1197	293	556	313	372	343	396	709
gene-SynWH7803_0018	CT971583.1	20602	23637	-	3036	323	582	664	1193	854	1026	816
