	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	annot	PHROG	category	ClassThreshold	ClassMax
2629	NC_005880.2	RefSeq	gene	486.0	785.0	.	+	.	gene-CPT_phageK_gp001	CPT_phageK_gp001	Gene	protein_coding	CPT_phageK_gp001	gene-CPT_phageK_gp001	hypothetical protein	hypothetical protein	654.0	unknown function	early	middle
2630	NC_005880.2	RefSeq	gene	801.0	986.0	.	+	.	gene-CPT_phageK_gp002	CPT_phageK_gp002	Gene	protein_coding	CPT_phageK_gp002	gene-CPT_phageK_gp002	hypothetical protein	hypothetical protein	3204.0	unknown function	early	middle
2631	NC_005880.2	RefSeq	gene	1093.0	1380.0	.	+	.	gene-CPT_phageK_gp003	CPT_phageK_gp003	Gene	protein_coding	CPT_phageK_gp003	gene-CPT_phageK_gp003	hypothetical protein	hypothetical protein	654.0	unknown function	early	early
2632	NC_005880.2	RefSeq	gene	1380.0	1706.0	.	+	.	gene-CPT_phageK_gp004	CPT_phageK_gp004	Gene	protein_coding	CPT_phageK_gp004	gene-CPT_phageK_gp004	hypothetical protein	hypothetical protein	654.0	unknown function	early	early
2633	NC_005880.2	RefSeq	gene	1722.0	2015.0	.	+	.	gene-CPT_phageK_gp005	CPT_phageK_gp005	Gene	protein_coding	CPT_phageK_gp005	gene-CPT_phageK_gp005	hypothetical protein	hypothetical protein	654.0	unknown function	early	early
2634	NC_005880.2	RefSeq	gene	2019.0	2276.0	.	+	.	gene-CPT_phageK_gp006	CPT_phageK_gp006	Gene	protein_coding	CPT_phageK_gp006	gene-CPT_phageK_gp006	hypothetical protein	hypothetical protein	1099.0	unknown function	early	early
2635	NC_005880.2	RefSeq	gene	2354.0	2593.0	.	+	.	gene-CPT_phageK_gp007	CPT_phageK_gp007	Gene	protein_coding	CPT_phageK_gp007	gene-CPT_phageK_gp007	hypothetical protein	hypothetical protein	1099.0	unknown function	early	middle
2636	NC_005880.2	RefSeq	gene	2604.0	2951.0	.	+	.	gene-CPT_phageK_gp008	CPT_phageK_gp008	Gene	protein_coding	CPT_phageK_gp008	gene-CPT_phageK_gp008	hypothetical protein	hypothetical protein	3522.0	unknown function	early	middle
2637	NC_005880.2	RefSeq	gene	3162.0	3500.0	.	-	.	gene-CPT_phageK_gp009	CPT_phageK_gp009	Gene	protein_coding	CPT_phageK_gp009	gene-CPT_phageK_gp009	hypothetical protein	hypothetical protein	3077.0	unknown function	early	middle
2638	NC_005880.2	RefSeq	gene	3811.0	4119.0	.	+	.	gene-CPT_phageK_gp010	CPT_phageK_gp010	Gene	protein_coding	CPT_phageK_gp010	gene-CPT_phageK_gp010	hypothetical protein	hypothetical protein	2601.0	unknown function	None	early
2639	NC_005880.2	RefSeq	gene	4325.0	4612.0	.	+	.	gene-CPT_phageK_gp011	CPT_phageK_gp011	Gene	protein_coding	CPT_phageK_gp011	gene-CPT_phageK_gp011	hypothetical protein	hypothetical protein	3164.0	unknown function	None	early
2640	NC_005880.2	RefSeq	gene	4662.0	4853.0	.	+	.	gene-CPT_phageK_gp012	CPT_phageK_gp012	Gene	protein_coding	CPT_phageK_gp012	gene-CPT_phageK_gp012	hypothetical protein	hypothetical protein	3388.0	unknown function	None	early
2641	NC_005880.2	RefSeq	gene	5170.0	5658.0	.	-	.	gene-CPT_phageK_gp013	CPT_phageK_gp013	Gene	protein_coding	CPT_phageK_gp013	gene-CPT_phageK_gp013	HNH endonuclease	HNH endonuclease	59.0	DNA, RNA and nucleotide metabolism	early	middle
2642	NC_005880.2	RefSeq	gene	5826.0	5984.0	.	+	.	gene-CPT_phageK_gp014	CPT_phageK_gp014	Gene	protein_coding	CPT_phageK_gp014	gene-CPT_phageK_gp014	TreN-like membrane protein	TreN-like membrane protein	3325.0	other	early	early
2643	NC_005880.2	RefSeq	gene	6054.0	6185.0	.	+	.	gene-CPT_phageK_gp015	CPT_phageK_gp015	Gene	protein_coding	CPT_phageK_gp015	gene-CPT_phageK_gp015	hypothetical protein	hypothetical protein	3837.0	unknown function	early	early
2644	NC_005880.2	RefSeq	gene	6353.0	6676.0	.	+	.	gene-CPT_phageK_gp016	CPT_phageK_gp016	Gene	protein_coding	CPT_phageK_gp016	gene-CPT_phageK_gp016	hypothetical protein	hypothetical protein	3276.0	unknown function	None	early
2645	NC_005880.2	RefSeq	gene	6776.0	7012.0	.	+	.	gene-CPT_phageK_gp017	CPT_phageK_gp017	Gene	protein_coding	CPT_phageK_gp017	gene-CPT_phageK_gp017	hypothetical protein	hypothetical protein	3480.0	unknown function	None	early
2646	NC_005880.2	RefSeq	gene	7092.0	7562.0	.	+	.	gene-CPT_phageK_gp018	CPT_phageK_gp018	Gene	protein_coding	CPT_phageK_gp018	gene-CPT_phageK_gp018	hypothetical protein	hypothetical protein	2543.0	unknown function	early	early
2647	NC_005880.2	RefSeq	gene	7621.0	7794.0	.	+	.	gene-CPT_phageK_gp019	CPT_phageK_gp019	Gene	protein_coding	CPT_phageK_gp019	gene-CPT_phageK_gp019	hypothetical protein	hypothetical protein	3789.0	unknown function	early	early
2648	NC_005880.2	RefSeq	gene	7794.0	8063.0	.	+	.	gene-CPT_phageK_gp020	CPT_phageK_gp020	Gene	protein_coding	CPT_phageK_gp020	gene-CPT_phageK_gp020	hypothetical protein	hypothetical protein	3549.0	unknown function	early	early
2649	NC_005880.2	RefSeq	gene	8148.0	8369.0	.	+	.	gene-CPT_phageK_gp021	CPT_phageK_gp021	Gene	protein_coding	CPT_phageK_gp021	gene-CPT_phageK_gp021	hypothetical protein	hypothetical protein	6205.0	unknown function	early	early
2650	NC_005880.2	RefSeq	gene	8666.0	8902.0	.	-	.	gene-CPT_phageK_gp022	CPT_phageK_gp022	Gene	protein_coding	CPT_phageK_gp022	gene-CPT_phageK_gp022	hypothetical protein	hypothetical protein	2884.0	unknown function	early	middle
2651	NC_005880.2	RefSeq	gene	8902.0	9075.0	.	-	.	gene-CPT_phageK_gp023	CPT_phageK_gp023	Gene	protein_coding	CPT_phageK_gp023	gene-CPT_phageK_gp023	hypothetical protein	hypothetical protein	14158.0	unknown function	early	middle
2652	NC_005880.2	RefSeq	gene	9082.0	9336.0	.	-	.	gene-CPT_phageK_gp024	CPT_phageK_gp024	Gene	protein_coding	CPT_phageK_gp024	gene-CPT_phageK_gp024	putative DUF1024 domain protein	hypothetical protein	16296.0	unknown function	early	middle
2653	NC_005880.2	RefSeq	gene	9527.0	10012.0	.	-	.	gene-CPT_phageK_gp025	CPT_phageK_gp025	Gene	protein_coding	CPT_phageK_gp025	gene-CPT_phageK_gp025	hypothetical protein	hypothetical protein	3619.0	unknown function	early	middle
2654	NC_005880.2	RefSeq	gene	10005.0	10436.0	.	-	.	gene-CPT_phageK_gp026	CPT_phageK_gp026	Gene	protein_coding	CPT_phageK_gp026	gene-CPT_phageK_gp026	hypothetical protein	hypothetical protein	2349.0	unknown function	early	middle
2655	NC_005880.2	RefSeq	gene	10450.0	10992.0	.	-	.	gene-CPT_phageK_gp027	CPT_phageK_gp027	Gene	protein_coding	CPT_phageK_gp027	gene-CPT_phageK_gp027	hypothetical protein	hypothetical protein	4045.0	unknown function	early	middle
