# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "ERR1378069_sorted.bam" "ERR1378068_sorted.bam" "ERR1378065_sorted.bam" "ERR1378064_sorted.bam" "ERR1378066_sorted.bam" "ERR1378063_sorted.bam" "ERR1378062_sorted.bam" "ERR1378067_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ERR1378069_sorted.bam	ERR1378068_sorted.bam	ERR1378065_sorted.bam	ERR1378064_sorted.bam	ERR1378066_sorted.bam	ERR1378063_sorted.bam	ERR1378062_sorted.bam	ERR1378067_sorted.bam
gene-BSU_00010	NC_000964.3	410	1750	+	1341	6983	5852	14587	10826	16513	5248	8252	16566
gene-BSU_00020	NC_000964.3	1939	3075	+	1137	6567	4534	9748	6281	10365	4482	8059	15210
gene-BSU_00030	NC_000964.3	3206	3421	+	216	1340	1161	2386	1838	2626	1040	1806	3388
gene-BSU_00040	NC_000964.3	3437	4549	+	1113	8686	7353	14301	10329	15839	6820	9669	16615
gene-BSU_00050	NC_000964.3	4567	4812	+	246	1244	1828	3318	2325	3892	1624	2137	3865
gene-BSU_00060	NC_000964.3	4867	6783	+	1917	17213	15048	24698	18542	27383	14623	18603	28928
gene-BSU_00070	NC_000964.3	6994	9459	+	2466	15138	15703	22117	16736	24430	14326	17946	23146
gene-BSU_rRNA_1	NC_000964.3	9810	11364	+	1555	606	728	564	594	3632	1181	1609	1025
gene-BSU_tRNA_5	NC_000964.3	11464	11540	+	77	48	136	144	115	740	109	126	82
gene-BSU_tRNA_6	NC_000964.3	11552	11627	+	76	216	403	101	110	287	133	87	78
gene-BSU_rRNA_2	NC_000964.3	11709	14636	+	2928	925	901	1086	988	7749	2236	2727	1678
gene-BSU_rRNA_3	NC_000964.3	14692	14810	+	119	8	6	5	16	20	6	13	9
gene-BSU_00080	NC_000964.3	14847	15794	-	948	88	451	2760	2227	3464	281	322	2077
gene-BSU_00090	NC_000964.3	15915	17381	+	1467	19306	24926	21313	15124	24279	22654	21829	24063
gene-BSU_00100	NC_000964.3	17534	18865	+	1332	6648	12508	13414	9011	13946	9742	16891	11201
gene-BSU_00110	NC_000964.3	19062	19946	+	885	6265	6008	8422	5517	9298	6180	7677	8916
gene-BSU_00120	NC_000964.3	19968	20558	+	591	6193	6215	8564	5712	9282	6525	7945	9258
gene-BSU_misc_RNA_1	NC_000964.3	20611	20823	+	213	1412	2232	1756	1126	1871	1759	2169	2130
gene-BSU_00130	NC_000964.3	20880	22157	+	1278	5575	6756	4488	2903	4648	6659	7195	5970
gene-BSU_tRNA_7	NC_000964.3	22292	22384	+	93	807	1060	1186	469	1408	543	538	613
gene-BSU_00140	NC_000964.3	22496	23149	-	654	1125	2518	2630	1968	2996	2129	2458	2534
gene-BSU_00150	NC_000964.3	23146	23769	-	624	1129	2310	2295	1823	2733	1805	2209	2285
gene-BSU_00160	NC_000964.3	23868	25151	-	1284	236	236	1634	1343	1895	374	479	1464
gene-BSU_00170	NC_000964.3	25221	25766	-	546	111	173	646	445	716	172	205	557
gene-BSU_00180	NC_000964.3	25852	26337	+	486	514	438	1068	724	1079	405	766	1079
gene-BSU_misc_RNA_2	NC_000964.3	26379	26732	+	354	131841	255623	67039	95880	187423	198146	103444	77484
gene-BSU_00190	NC_000964.3	26814	28505	+	1692	2483	3940	8923	7255	10322	3770	4171	7713
gene-BSU_00200	NC_000964.3	28529	28852	+	324	1308	1888	1784	1256	1790	1270	1707	2022
gene-BSU_00210	NC_000964.3	28867	29463	+	597	2041	2612	2612	1749	2584	2026	2645	2962
gene-BSU_00220	NC_000964.3	29481	29705	+	225	650	1150	990	638	954	805	1069	1182
gene-BSU_00230	NC_000964.3	29772	30035	+	264	211	371	391	216	356	230	381	434
gene-BSU_rRNA_4	NC_000964.3	30279	31832	+	1554	615	736	615	494	3506	1160	1537	988
gene-BSU_tRNA_8	NC_000964.3	31932	32008	+	77	46	134	289	166	714	111	113	92
gene-BSU_tRNA_9	NC_000964.3	32020	32095	+	76	250	997	169	131	250	143	73	75
gene-BSU_rRNA_5	NC_000964.3	32177	35103	+	2927	933	877	1072	906	7780	2112	2682	1645
gene-BSU_rRNA_26	NC_000964.3	35237	35355	+	119	5	13	20	13	26	25	13	14
gene-BSU_00240	NC_000964.3	35531	35725	+	195	7	24	281	207	352	26	22	194
gene-BSU_00250	NC_000964.3	35845	36459	+	615	359	1566	2480	1850	2929	1570	1182	1866
gene-BSU_00260	NC_000964.3	36478	37638	+	1161	1066	4151	6949	5644	8478	4117	3313	5558
gene-BSU_00270	NC_000964.3	37720	39162	+	1443	1648	3806	11325	9608	14911	3673	3808	8986
gene-BSU_00280	NC_000964.3	39159	39797	+	639	877	2230	5765	4707	7255	1984	2063	4694
gene-BSU_00290	NC_000964.3	39871	40200	+	330	955	2151	4346	3613	5516	2106	2110	3815
gene-BSU_00300	NC_000964.3	40213	40653	+	441	635	2273	3729	3239	4775	1943	2044	3293
